| Economy | Australia |
| --- | --- |
| Economy - overview: | The Australian economy has experienced continuous growth and features low unemployment, contained inflation, very low public debt, and a strong and stable financial system. By 2012, Australia had experienced more than 20 years of continued economic growth, averaging 3.5% a year. Demand for resources and energy from Asia and especially China has grown rapidly, creating a channel for resources investments and growth in commodity exports. The high Australian dollar has hurt the manufacturing sector, while the services sector is the largest part of the Australian economy, accounting for about 70% of GDP and 75% of jobs. Australia was comparatively unaffected by the global financial crisis as the banking system has remained strong and inflation is under control. Australia has benefited from a dramatic surge in its terms of trade in recent years, stemming from rising global commodity prices. Australia is a significant exporter of natural resources, energy, and food. Australia's abundant and diverse natural resources attract high levels of foreign investment and include extensive reserves of coal, iron, copper, gold, natural gas, uranium, and renewable energy sources. A series of major investments, such as the US$40 billion Gorgon Liquid Natural Gas project, will significantly expand the resources sector. Australia is an open market with minimal restrictions on imports of goods and services. The process of opening up has increased productivity, stimulated growth, and made the economy more flexible and dynamic. Australia plays an active role in the World Trade Organization, APEC, the G20, and other trade forums. Australia has bilateral free trade agreements (FTAs) with Chile, Malaysia, New Zealand, Singapore, Thailand, and the US, has a regional FTA with ASEAN and New Zealand, is negotiating agreements with China, India, Indonesia, Japan, and the Republic of Korea, as well as with its Pacific neighbors and the Gulf Cooperation Council countries, and is also working on the Trans-Pacific Partnership Agreement with Brunei Darussalam, Canada, Chile, Malaysia, Mexico, New Zealand, Peru, Singapore, the US, and Vietnam. |
| GDP (purchasing power parity): | $961 billion (2012 est.) |
| GDP (purchasing power parity): | $927 billion (2011 est.) |
| GDP (purchasing power parity): | $905.1 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $1.521 trillion (2012 est.) |
| GDP - real growth rate: | 3.7% (2012 est.) |
| GDP - real growth rate: | 2.4% (2011 est.) |
| GDP - real growth rate: | 2.6% (2010 est.) |
| GDP - per capita (PPP): | $42,000 (2012 est.) |
| GDP - per capita (PPP): | $41,200 (2011 est.) |
| GDP - per capita (PPP): | $40,800 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 25.2% of GDP (2012 est.) |
| Gross national saving: | 25.1% of GDP (2011 est.) |
| Gross national saving: | 24.1% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 54.9% |
| GDP - composition, by end use: | government consumption: 18.2% |
| GDP - composition, by end use: | investment in fixed capital: 28.5% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 20.1% |
| GDP - composition, by end use: | imports of goods and services: -22% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.9% |
| GDP - composition, by sector of origin: | industry: 27.2% |
| GDP - composition, by sector of origin: | services: 68.9% (2012 est.) |
| Agriculture - products: | wheat, barley, sugarcane, fruits; cattle, sheep, poultry |
| Industries: | mining, industrial and transportation equipment, food processing, chemicals, steel |
| Industrial production growth rate: | 3.5% (2012 est.) |
| Labor force: | 12.15 million (2012 est.) |
| Labor force - by occupation: | agriculture: 3.6% |
| Labor force - by occupation: | industry: 21.1% |
| Labor force - by occupation: | services: 75% (2009 est.) |
| Unemployment rate: | 5.2% (2012 est.) |
| Unemployment rate: | 5.1% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (1994) |
| Distribution of family income - Gini index: | 30.3 (2008) |
| Distribution of family income - Gini index: | 35.2 (1994) |
| Budget: | revenues: $504.7 billion |
| Budget: | expenditures: $556.1 billion (2012 est.) |
| Taxes and other revenues: | 33.2% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2012 est.) |
| Public debt: | 32.4% of GDP (2012 est.) |
| Public debt: | 27.1% of GDP (2011 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 1.8% (2012 est.) |
| Inflation rate (consumer prices): | 3.3% (2011 est.) |
| Central bank discount rate: | 3% (February 2013 est.) |
| Central bank discount rate: | 4.35% (31 December 2010 est.) |
| Central bank discount rate: | note: this is the Reserve Bank of Australia's "cash rate target," or policy rate |
| Commercial bank prime lending rate: | 6.98% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 7.74% (31 December 2011 est.) |
| Stock of narrow money: | $534.8 billion (31 December 2012 est.) |
| Stock of narrow money: | $475.9 billion (31 December 2011 est.) |
| Stock of broad money: | $1.708 trillion (31 December 2012 est.) |
| Stock of broad money: | $1.501 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $2.255 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $2.061 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.4 trillion (31 January 2013) |
| Market value of publicly traded shares: | $1.198 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.455 trillion (31 December 2010) |
| Current account balance: | $-57.14 billion (2012 est.) |
| Current account balance: | $-33.14 billion (2011 est.) |
| Exports: | $257.9 billion (2012 est.) |
| Exports: | $271.7 billion (2011 est.) |
| Exports - commodities: | coal, iron ore, gold, meat, wool, alumina, wheat, machinery and transport equipment |
| Exports - partners: | China 29.5%, Japan 19.3%, South Korea 8%, India 4.9% (2012) |
| Imports: | $263 billion (2012 est.) |
| Imports: | $243.3 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment, computers and office machines, telecommunication equipment and parts; crude oil and petroleum products |
