| Economy | Australia |
| --- | --- |
| Economic overview: | Australia is an open market with minimal restrictions on imports of goods and services. The process of opening up has increased productivity, stimulated growth, and made the economy more flexible and dynamic. Australia plays an active role in the WTO, APEC, the G20, and other trade forums. Australiaâ€™s free trade agreement (FTA) with China entered into force in 2015, adding to existing FTAs with the Republic of Korea, Japan, Chile, Malaysia, New Zealand, Singapore, Thailand, and the US, and a regional FTA with ASEAN and New Zealand. Australia continues to negotiate bilateral agreements with Indonesia, as well as larger agreements with its Pacific neighbors and the Gulf Cooperation Council countries, and an Asia-wide Regional Comprehensive Economic Partnership that includes the 10 ASEAN countries and China, Japan, Korea, New Zealand, and India. |
| Economic overview: | Australia is a significant exporter of natural resources, energy, and food. Australia's abundant and diverse natural resources attract high levels of foreign investment and include extensive reserves of coal, iron, copper, gold, natural gas, uranium, and renewable energy sources. A series of major investments, such as the US$40 billion Gorgon Liquid Natural Gas Project, will significantly expand the resources sector. |
| Economic overview: | For nearly two decades up till 2017, Australia had benefited from a dramatic surge in its terms of trade. As export prices increased faster than import prices, the economy experienced continuous growth, low unemployment, contained inflation, very low public debt, and a strong and stable financial system. Australia entered 2018 facing a range of growth constraints, principally driven by the sharp fall in global prices of key export commodities. Demand for resources and energy from Asia and especially China is growing at a slower pace and sharp drops in export prices have impacted growth. |
| GDP real growth rate: | 1.84% (2019 est.) |
| GDP real growth rate: | 2.77% (2018 est.) |
| GDP real growth rate: | 2.45% (2017 est.) |
| Inflation rate (consumer prices): | 1.6% (2019 est.) |
| Inflation rate (consumer prices): | 1.9% (2018 est.) |
| Inflation rate (consumer prices): | 1.9% (2017 est.) |
| Credit ratings: | Fitch rating: AAA (2011) |
| Credit ratings: | Moody's rating: Aaa (2002) |
| Credit ratings: | Standard & Poors rating: AAA (2003) |
| GDP (purchasing power parity) - real: | $1,143,419,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $1,121,637,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $1,090,642,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $1,390,790,000,000 (2019 est.) |
| GDP - per capita (PPP): | $62,753 (2019 est.) |
| GDP - per capita (PPP): | $62,311 (2018 est.) |
| GDP - per capita (PPP): | $61,362 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 21% of GDP (2017 est.) |
| Gross national saving: | 20.5% of GDP (2016 est.) |
| Gross national saving: | 21.5% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 25.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 71.2% (2017 est.) |
| GDP - composition, by end use: | household consumption: 56.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 21.5% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -21% (2017 est.) |
| Ease of Doing Business Index scores: | 79.0 (2020) |
| Agriculture - products: | wheat, barley, sugarcane, fruits; cattle, sheep, poultry |
| Industries: | mining, industrial and transportation equipment, food processing, chemicals, steel |
| Industrial production growth rate: | 1.4% (2017 est.) |
| Labor force: | 12.568 million (2020 est.) |
| Labor force - by occupation: | agriculture: 3.6% |
| Labor force - by occupation: | industry: 21.1% |
| Labor force - by occupation: | services: 75.3% (2009 est.) |
| Unemployment rate: | 5.16% (2019 est.) |
| Unemployment rate: | 5.29% (2018 est.) |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 25.4% (1994) |
| Budget: | revenues: 490 billion (2017 est.) |
| Budget: | expenditures: 496.9 billion (2017 est.) |
| Taxes and other revenues: | 35.5% (of GDP) (2017 est.) |
