| Economy | Australia |
| --- | --- |
| Economy - overview: | Australia is an open market with minimal restrictions on imports of goods and services. The process of opening up has increased productivity, stimulated growth, and made the economy more flexible and dynamic. Australia plays an active role in the WTO, APEC, the G20, and other trade forums. Australiaâ€™s free trade agreement (FTA) with China entered into force in 2015, adding to existing FTAs with the Republic of Korea, Japan, Chile, Malaysia, New Zealand, Singapore, Thailand, and the US, and a regional FTA with ASEAN and New Zealand. Australia continues to negotiate bilateral agreements with Indonesia, as well as larger agreements with its Pacific neighbors and the Gulf Cooperation Council countries, and an Asia-wide Regional Comprehensive Economic Partnership that includes the 10 ASEAN countries and China, Japan, Korea, New Zealand, and India. |
| Economy - overview: | Australia is a significant exporter of natural resources, energy, and food. Australia's abundant and diverse natural resources attract high levels of foreign investment and include extensive reserves of coal, iron, copper, gold, natural gas, uranium, and renewable energy sources. A series of major investments, such as the US$40 billion Gorgon Liquid Natural Gas Project, will significantly expand the resources sector. |
| Economy - overview: | For nearly two decades up till 2017, Australia had benefited from a dramatic surge in its terms of trade. As export prices increased faster than import prices, the economy experienced continuous growth, low unemployment, contained inflation, very low public debt, and a strong and stable financial system. Australia entered 2018 facing a range of growth constraints, principally driven by the sharp fall in global prices of key export commodities. Demand for resources and energy from Asia and especially China is growing at a slower pace and sharp drops in export prices have impacted growth. |
| GDP (purchasing power parity): | $1.248 trillion (2017 est.) |
| GDP (purchasing power parity): | $1.221 trillion (2016 est.) |
| GDP (purchasing power parity): | $1.19 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $1.38 trillion (2017 est.) |
| GDP - real growth rate: | 2.2% (2017 est.) |
| GDP - real growth rate: | 2.6% (2016 est.) |
| GDP - real growth rate: | 2.5% (2015 est.) |
| GDP - per capita (PPP): | $50,400 (2017 est.) |
| GDP - per capita (PPP): | $50,100 (2016 est.) |
| GDP - per capita (PPP): | $49,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 21% of GDP (2017 est.) |
| Gross national saving: | 20.5% of GDP (2016 est.) |
| Gross national saving: | 21.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 56.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.4% (2017 est.) |
