| Economy | Serbia |
| --- | --- |
| Economic overview: | Serbia has a transitional economy largely dominated by market forces, but the state sector remains significant in certain areas. The economy relies on manufacturing and exports, driven largely by foreign investment. MILOSEVIC-era mismanagement of the economy, an extended period of international economic sanctions, civil war, and the damage to Yugoslavia's infrastructure and industry during the NATO airstrikes in 1999 left the economy worse off than it was in 1990. In 2015, Serbiaâ€™s GDP was 27.5% below where it was in 1989. |
| Economic overview: | After former Federal Yugoslav President MILOSEVIC was ousted in September 2000, the Democratic Opposition of Serbia (DOS) coalition government implemented stabilization measures and embarked on a market reform program. Serbia renewed its membership in the IMF in December 2000 and rejoined the World Bank and the European Bank for Reconstruction and Development. Serbia has made progress in trade liberalization and enterprise restructuring and privatization, but many large enterprises - including the power utilities, telecommunications company, natural gas company, and others - remain state-owned. Serbia has made some progress towards EU membership, gaining candidate status in March 2012. In January 2014, Serbia's EU accession talks officially opened and, as of December 2017, Serbia had opened 12 negotiating chapters including one on foreign trade. Serbia's negotiations with the WTO are advanced, with the country's complete ban on the trade and cultivation of agricultural biotechnology products representing the primary remaining obstacle to accession. Serbia maintains a three-year Stand-by Arrangement with the IMF worth approximately $1.3 billion that is scheduled to end in February 2018. The government has shown progress implementing economic reforms, such as fiscal consolidation, privatization, and reducing public spending. |
| Economic overview: | Unemployment in Serbia, while relatively low (16% in 2017) compared with its Balkan neighbors, remains significantly above the European average. Serbia is slowly implementing structural economic reforms needed to ensure the country's long-term prosperity. Serbia reduced its budget deficit to 1.7% of GDP and its public debt to 71% of GDP in 2017. Public debt had more than doubled between 2008 and 2015. Serbia's concerns about inflation and exchange-rate stability preclude the use of expansionary monetary policy. |
| Economic overview: | Major economic challenges ahead include: stagnant household incomes; the need for private sector job creation; structural reforms of state-owned companies; strategic public sector reforms; and the need for new foreign direct investment. Other serious longer-term challenges include an inefficient judicial system, high levels of corruption, and an aging population. Factors favorable to Serbia's economic growth include the economic reforms it is undergoing as part of its EU accession process and IMF agreement, its strategic location, a relatively inexpensive and skilled labor force, and free trade agreements with the EU, Russia, Turkey, and countries that are members of the Central European Free Trade Agreement. |
| GDP real growth rate: | 4.18% (2019 est.) |
| GDP real growth rate: | 4.4% (2018 est.) |
| GDP real growth rate: | 2.05% (2017 est.) |
| Inflation rate (consumer prices): | -0.1% (2019 est.) |
| Inflation rate (consumer prices): | -1.1% (2018 est.) |
| Inflation rate (consumer prices): | 2% (2017 est.) |
| Credit ratings: | Fitch rating: BB+ (2019) |
| Credit ratings: | Moody's rating: Ba3 (2017) |
| Credit ratings: | Standard & Poors rating: BB+ (2019) |
| GDP (purchasing power parity) - real: | $142.474 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $136.668 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $130.789 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $51.449 billion (2019 est.) |
| GDP - per capita (PPP): | $7,268 (2019 est.) |
| GDP - per capita (PPP): | $6,947 (2018 est.) |
| GDP - per capita (PPP): | $6,628 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 15.3% of GDP (2017 est.) |
| Gross national saving: | 16% of GDP (2016 est.) |
| Gross national saving: | 14.1% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 41.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 49.1% (2017 est.) |
| GDP - composition, by end use: | household consumption: 78.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10.1% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 52.5% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -61.3% (2017 est.) |
| Ease of Doing Business Index scores: | 96.6 (2020) |
