| Economy | SERBIA |
| --- | --- |
| Economy - overview: | Serbia has a transitional economy largely dominated by market forces, but the state sector remains significant in certain areas. The economy relies on manufacturing and exports, driven largely by foreign investment. MILOSEVIC-era mismanagement of the economy, an extended period of international economic sanctions, civil war, and the damage to Yugoslavia's infrastructure and industry during the NATO airstrikes in 1999 left the economy worse off than it was in 1990. In 2015, Serbia’s GDP was 27.5% below where it was in 1989. |
| Economy - overview: | After former Federal Yugoslav President MILOSEVIC was ousted in September 2000, the Democratic Opposition of Serbia (DOS) coalition government implemented stabilization measures and embarked on a market reform program. Serbia renewed its membership in the IMF in December 2000 and rejoined the World Bank and the European Bank for Reconstruction and Development. Serbia has made progress in trade liberalization and enterprise restructuring and privatization, but many large enterprises - including the power utilities, telecommunications company, natural gas company, and others - remain state-owned. Serbia has made some progress towards EU membership, signing a Stabilization and Association Agreement with Brussels in May 2008, and with full implementation of the Interim Trade Agreement with the EU in February 2010, gained candidate status in March 2012. In January 2014, Serbia's EU accession talks officially opened, and as of March 2017, Serbia had opened eight negotiating chapters. Serbia's negotiations with the WTO are advanced, with the country's complete ban on the trade and cultivation of agricultural biotechnology products representing the primary remaining obstacle to accession. Serbia maintains a three-year Stand-by Arrangement with the IMF worth approximately $1.3 billion that is scheduled to end in February 2018. The government has shown progress implementing economic reforms, such as fiscal consolidation, privatization, and reducing public spending. |
| Economy - overview: | High unemployment and stagnant household incomes are ongoing political and economic problems. Serbia is slowly implementing structural economic reforms needed to ensure the country's long-term prosperity. In 2016, Serbia reduced its budget deficit to 1.4% and slowed the rate of growth of its public debt as a percent of GDP, more than doubled between 2008 and 2015. Serbia's concerns about inflation and exchange-rate stability preclude the use of expansionary monetary policy. |
| Economy - overview: | Major economic challenges ahead include: high unemployment rates and the need for private sector job creation; structural reforms of state-owned companies; strategic public sector reforms; and the need for new foreign direct investment. Other serious longer-term challenges include an inefficient judicial system, high levels of corruption, and an aging population. Factors favorable to Serbia's economic growth include the economic reforms it is undergoing as part of its EU accession process and IMF agreement, its strategic location, a relatively inexpensive and skilled labor force, and free trade agreements with the EU, Russia, Turkey, and countries that are members of the Central European Free Trade Agreement. |
| GDP (purchasing power parity): | $101.7 billion (2016 est.) |
| GDP (purchasing power parity): | $97.73 billion (2015 est.) |
| GDP (purchasing power parity): | $95.95 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $37.75 billion (2016 est.) |
| GDP - real growth rate: | 2.8% (2016 est.) |
| GDP - real growth rate: | 0.8% (2015 est.) |
| GDP - real growth rate: | -1.8% (2014 est.) |
| GDP - per capita (PPP): | $14,400 (2016 est.) |
| GDP - per capita (PPP): | $13,900 (2015 est.) |
| GDP - per capita (PPP): | $13,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 14% of GDP (2016 est.) |
| Gross national saving: | 14.1% of GDP (2015 est.) |
| Gross national saving: | 11.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 79.3% |
| GDP - composition, by end use: | government consumption: 10.2% |
| GDP - composition, by end use: | investment in fixed capital: 17.8% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 50.9% |
| GDP - composition, by end use: | imports of goods and services: -58.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.9% |
| GDP - composition, by sector of origin: | industry: 41.2% |
| GDP - composition, by sector of origin: | services: 48.9% (2016 est.) |
| Agriculture - products: | wheat, maize, sunflower, sugar beets, grapes/wine, fruits (raspberries, apples, sour cherries), vegetables (tomatoes, peppers, potatoes), beef, pork, and meat products, milk and dairy products |
| Industries: | automobiles, base metals, furniture, food processing, machinery, chemicals, sugar, tires, clothes, pharmaceuticals |
| Industrial production growth rate: | 3.1% (2016 est.) |
| Labor force: | 2.91 million (2016 est.) |
| Labor force - by occupation: | agriculture: 17.8% |
| Labor force - by occupation: | industry: 25.6% |
| Labor force - by occupation: | services: 56.6% (2016 est.) |
| Unemployment rate: | 15.9% (2016 est.) |
| Unemployment rate: | 19.3% (2015 est.) |
| Population below poverty line: | 8.9% (2014 est.) |
| Distribution of family income - Gini index: | 38.7 (2014 est.) |
| Distribution of family income - Gini index: | 28.2 (2008 est.) |
| Budget: | revenues: $16.56 billion |
| Budget: | expenditures: $17.07 billion |
| Budget: | note: this is the consolidated budget, including both central government and local goverment budgets (2016 est.) |
| Taxes and other revenues: | 43.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.4% of GDP (2016 est.) |
| Public debt: | 74% of GDP (2016 est.) |
| Public debt: | 75.9% of GDP (2015 est.) |
| Inflation rate (consumer prices): | 1.1% (2016 est.) |
| Inflation rate (consumer prices): | 1.4% (2015 est.) |
| Central bank discount rate: | 4% (31 December 2016) |
| Central bank discount rate: | 7.5% (12 March 2015) |
| Commercial bank prime lending rate: | 8.45% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.84% (31 December 2015 est.) |
| Stock of narrow money: | $5.189 billion (31 December 2016 est.) |
| Stock of narrow money: | $4.535 billion (31 December 2015 est.) |
| Stock of broad money: | $18.76 billion (31 December 2016 est.) |
| Stock of broad money: | $17.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $20.22 billion (31 December 2016 est.) |
| Stock of domestic credit: | $19.81 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $5.064 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $5.841 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4.525 billion (31 December 2014 est.) |
| Current account balance: | $-1.516 billion (2016 est.) |
| Current account balance: | $-1.751 billion (2015 est.) |
| Exports: | $13.99 billion (2016 est.) |
| Exports: | $12.6 billion (2015 est.) |
| Exports - commodities: | automobiles, iron and steel, rubber, clothes, wheat, fruit and vegetables, nonferrous metals, electric appliances, metal products, weapons and ammunition |
| Exports - partners: | Italy 14.6%, Germany 13.1%, Bosnia and Herzegovina 8.3%, Romania 5.7%, Russia 5.4% (2016) |
| Imports: | $17.99 billion (2016 est.) |
| Imports: | $17.03 billion (2015 est.) |
| Imports - commodities: | machinery and transport equipment, fuels and lubricants, manufactured goods, chemicals, food and live animals, raw materials |
| Imports - partners: | Germany 12.9%, Italy 10.4%, China 8.4%, Russia 7.9%, Hungary 4.6%, Poland 4.4% (2016) |
| Reserves of foreign exchange and gold: | $10.76 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $11.35 billion (31 December 2015 est.) |
| Debt - external: | $30.38 billion (31 December 2016 est.) |
| Debt - external: | $30.81 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $39.02 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $11.95 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Serbian dinars (RSD) per US dollar - |
| Exchange rates: | 111.278 (2016 est.) |
| Exchange rates: | 111.278 (2015 est.) |
| Exchange rates: | 108.811 (2014 est.) |
| Exchange rates: | 88.405 (2013 est.) |
| Exchange rates: | 87.99 (2012 est.) |
