| Economy | NIGER |
| --- | --- |
| Economy - overview: | Niger is a landlocked, sub-Saharan nation, whose economy centers on subsistence crops, livestock, and some of the world's largest uranium deposits. Agriculture contributes approximately 25% of GDP and provides livelihood for 87% of the population. The UN ranked Niger as the second least developed country in the world in 2016 due to multiple factors such as food insecurity, lack of industry, high population growth, a weak educational sector, and few prospects for work outside of subsistence farming and herding. |
| Economy - overview: | Since 2011 public debt has increased due to efforts to scale-up public investment, particularly that related to infrastructure, as well as due to increased security spending. The government relies on foreign donor resources for a large portion of its fiscal budget. The economy in recent years has been hurt by terrorist activity and kidnappings near its uranium mines and by instability in Mali and in the Diffa region of the country; concerns about security have resulted in increased support from regional and international partners on defense. Low uranium prices, demographics, and security expenditures may continue to put pressure on the government’s finances. |
| Economy - overview: | Future growth may be sustained by exploitation of oil, gold, coal, and other mineral resources. Although Niger has sizable reserves of oil, the prolonged drop in oil prices has reduced profitability. Food insecurity and drought remain perennial problems for Niger, and the government plans to invest more in irrigation. Niger’s three-year $131 million IMF Extended Credit Facility (ECF) agreement for the years 2012-15 was extended until the end of 2016. In February 2017, the IMF approved a new 3-year $134 million ECF. A $437 million Millennium Challenge Account compact for Niger, commencing in FY17, will focus on large-scale irrigation infrastructure development and community-based, climate-resilient agriculture, while promoting sustainable increases in agricultural productivity and sales. |
| Economy - overview: | Formal private sector investment needed for economic diversification and growth remains a challenge, given the country’s limited domestic markets, access to credit, and competitiveness. Although President ISSOUFOU is courting foreign investors, including those from the US, as of April 2017, there were no US firms operating in Niger. |
| GDP (purchasing power parity): | $20.39 billion (2016 est.) |
| GDP (purchasing power parity): | $19.17 billion (2015 est.) |
| GDP (purchasing power parity): | $18.24 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $7.492 billion (2016 est.) |
| GDP - real growth rate: | 5% (2016 est.) |
| GDP - real growth rate: | 4% (2015 est.) |
| GDP - real growth rate: | 7.5% (2014 est.) |
| GDP - per capita (PPP): | $1,100 (2016 est.) |
| GDP - per capita (PPP): | $1,100 (2015 est.) |
| GDP - per capita (PPP): | $1,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 24.1% of GDP (2016 est.) |
| Gross national saving: | 24.4% of GDP (2015 est.) |
| Gross national saving: | 23.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 65.8% |
| GDP - composition, by end use: | government consumption: 13.7% |
| GDP - composition, by end use: | investment in fixed capital: 41.7% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 16.4% |
| GDP - composition, by end use: | imports of goods and services: -37.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 44.7% |
| GDP - composition, by sector of origin: | industry: 14.9% |
| GDP - composition, by sector of origin: | services: 40.3% (2016 est.) |
| Agriculture - products: | cowpeas, cotton, peanuts, millet, sorghum, cassava (manioc, tapioca), rice; cattle, sheep, goats, camels, donkeys, horses, poultry |
| Industries: | uranium mining, petroleum, cement, brick, soap, textiles, food processing, chemicals, slaughterhouses |
| Industrial production growth rate: | 4.8% (2016 est.) |
| Labor force: | 6.614 million (2016 est.) |
| Labor force - by occupation: | agriculture: 87% |
| Labor force - by occupation: | industry: 4% |
| Labor force - by occupation: | services: 9% (2016 est.) |
| Unemployment rate: | 2.6% (2016 est.) |
| Unemployment rate: | 2.6% (2015 est.) |
| Population below poverty line: | 45.4% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.7% |
| Household income or consumption by percentage share: | highest 10%: 28.5% (2007) |
| Distribution of family income - Gini index: | 34 (2007) |
| Distribution of family income - Gini index: | 50.5 (1995) |
| Budget: | revenues: $1.545 billion |
| Budget: | expenditures: $2.036 billion (2016 est.) |
| Taxes and other revenues: | 20.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -6.6% of GDP (2016 est.) |
| Public debt: | 45.9% of GDP (2016 est.) |
| Public debt: | 41.3% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.3% (2016 est.) |
| Inflation rate (consumer prices): | 1% (2015 est.) |
| Central bank discount rate: | 4.25% (31 December 2015) |
| Central bank discount rate: | 4.25% (31 December 2014) |
| Commercial bank prime lending rate: | 5.3% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 5.15% (31 December 2015 est.) |
| Stock of narrow money: | $1.535 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.508 billion (31 December 2015 est.) |
| Stock of broad money: | $2.018 billion (31 December 2016 est.) |
| Stock of broad money: | $1.909 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.267 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.145 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-1.159 billion (2016 est.) |
| Current account balance: | $-1.486 billion (2015 est.) |
| Exports: | $1.101 billion (2016 est.) |
| Exports: | $1.087 billion (2015 est.) |
