| Economy | Tanzania |
| --- | --- |
| Economy - overview: | Tanzania is one of the world's poorest economies in terms of per capita income, however, it has achieved high overall growth rates based on gold production and tourism. Tanzania has largely completed its transition to a liberalized market economy, though the government retains a presence in sectors such as telecommunications, banking, energy, and mining. The economy depends on agriculture, which accounts for more than one-quarter of GDP, provides 85% of exports, and employs about 80% of the work force. The World Bank, the IMF, and bilateral donors have provided funds to rehabilitate Tanzania's aging economic infrastructure, including rail and port infrastructure that are important trade links for inland countries. Recent banking reforms have helped increase private-sector growth and investment, and the government has increased spending on agriculture to 7% of its budget. The financial sector in Tanzania has expanded in recent years and foreign-owned banks account for about 48% of the banking industry's total assets. Competition among foreign commercial banks has resulted in significant improvements in the efficiency and quality of financial services, though interest rates are still relatively high, reflecting high fraud risk. All land in Tanzania is owned by the government, which can lease land for up to 99 years. Proposed reforms to allow for land ownership, particularly foreign land ownership, remain unpopular. Continued donor assistance and solid macroeconomic policies supported a positive growth rate, despite the world recession. In 2008, Tanzania received the world's largest Millennium Challenge Compact grant, worth $698 million, and in December 2012 the Millennium Challenge Corporation selected Tanzania for a second Compact. Dar es Salaam used fiscal stimulus and loosened monetary policy to ease the impact of the global recession. GDP growth in 2009-13 was a respectable 6-7% per year due to high gold prices and increased production. |
| GDP (purchasing power parity): | $79.29 billion (2013 est.) |
| GDP (purchasing power parity): | $74.12 billion (2012 est.) |
| GDP (purchasing power parity): | $69.31 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $31.94 billion (2013 est.) |
| GDP - real growth rate: | 7% (2013 est.) |
| GDP - real growth rate: | 6.9% (2012 est.) |
| GDP - real growth rate: | 6.4% (2011 est.) |
| GDP - per capita (PPP): | $1,700 (2013 est.) |
| GDP - per capita (PPP): | $1,600 (2012 est.) |
| GDP - per capita (PPP): | $1,600 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 25.7% of GDP (2013 est.) |
| Gross national saving: | 25.2% of GDP (2012 est.) |
| Gross national saving: | 17.4% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 60.3% |
| GDP - composition, by end use: | government consumption: 17.2% |
| GDP - composition, by end use: | investment in fixed capital: 40.2% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 30.1% |
| GDP - composition, by end use: | imports of goods and services: -48.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 27.6% |
| GDP - composition, by sector of origin: | industry: 25% |
| GDP - composition, by sector of origin: | services: 47.4% (2013 est.) |
| Agriculture - products: | coffee, sisal, tea, cotton, pyrethrum (insecticide made from chrysanthemums), cashew nuts, tobacco, cloves, corn, wheat, cassava (manioc, tapioca), bananas, fruits, vegetables; cattle, sheep, goats |
| Industries: | agricultural processing (sugar, beer, cigarettes, sisal twine); mining (diamonds, gold, and iron), salt, soda ash; cement, oil refining, shoes, apparel, wood products, fertilizer |
| Industrial production growth rate: | 7.4% (2013 est.) |
| Labor force: | 25.59 million (2013 est.) |
