| Economy | BELGIUM |
| --- | --- |
| Economy - overview: | Belgium’s central geographic location and highly developed transport network have helped develop a well-diversified economy, with a broad mix of transport, services, manufacturing, and high tech. Industry is concentrated mainly in the more heavily-populated region of Flanders in the north. Belgium is 100% reliant on foreign sources of fossil fuels, and the planned closure of its seven nuclear plants by 2025 should increase its dependence on foreign energy. Its role as a regional logistical hub makes its economy vulnerable to shifts in foreign demand, particularly with EU trading partners. Roughly three-quarters of Belgium's trade is with other EU countries. |
| Economy - overview: | Belgium’s GDP grew by 1.4% in 2016, unemployment at yearend was 8.4%, and the budget deficit was 2.7% of GDP. The economy largely recovered from the March 2016 terrorist attacks, which mainly impacted the Brussels region tourist and hospitality industry. Prime Minister Charles MICHEL's center-right government has pledged to further reduce the deficit in response to EU pressure to decrease Belgium's high public debt of about 107% of GDP, but such efforts could also dampen economic growth. In addition to restrained public spending, low wage growth and higher inflation promise to curtail a more robust recovery in private consumption. |
| Economy - overview: | The government has pledged to pursue a reform program to improve Belgium’s competitiveness, including changes to tax policy, labor market rules, and welfare benefits. These changes have generally made Belgian wages more competitive regionally, but risk worsening tensions with trade unions and triggering extended strikes. |
| GDP (purchasing power parity): | $509 billion (2016 est.) |
| GDP (purchasing power parity): | $496.7 billion (2015 est.) |
| GDP (purchasing power parity): | $484.2 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $466.6 billion (2016 est.) |
| GDP - real growth rate: | 1.2% (2016 est.) |
| GDP - real growth rate: | 1.5% (2015 est.) |
| GDP - real growth rate: | 1.6% (2014 est.) |
| GDP - per capita (PPP): | $45,000 (2016 est.) |
| GDP - per capita (PPP): | $44,800 (2015 est.) |
| GDP - per capita (PPP): | $44,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 22.3% of GDP (2016 est.) |
| Gross national saving: | 23.6% of GDP (2015 est.) |
| Gross national saving: | 22.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 51.2% |
| GDP - composition, by end use: | government consumption: 23.6% |
| GDP - composition, by end use: | investment in fixed capital: 23% |
| GDP - composition, by end use: | investment in inventories: -0.2% |
| GDP - composition, by end use: | exports of goods and services: 84.5% |
| GDP - composition, by end use: | imports of goods and services: -82.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% |
| GDP - composition, by sector of origin: | industry: 22.3% |
| GDP - composition, by sector of origin: | services: 77% (2016 est.) |
| Agriculture - products: | sugar beets, fresh vegetables, fruits, grain, tobacco; beef, veal, pork, milk |
| Industries: | engineering and metal products, motor vehicle assembly, transportation equipment, scientific instruments, processed food and beverages, chemicals, pharmaceuticals, base metals, textiles, glass, petroleum |
| Industrial production growth rate: | 2.2% (2016 est.) |
| Labor force: | 5.291 million (2016 est.) |
| Labor force - by occupation: | agriculture: 1.3% |
| Labor force - by occupation: | industry: 18.6% |
| Labor force - by occupation: | services: 80.1% (2013 est.) |
| Unemployment rate: | 7.9% (2016 est.) |
| Unemployment rate: | 8.5% (2015 est.) |
| Population below poverty line: | 15.1% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (2006) |
| Distribution of family income - Gini index: | 25.9 (2013 est.) |
| Distribution of family income - Gini index: | 28.7 (1996) |
| Budget: | revenues: $236.9 billion |
| Budget: | expenditures: $249.1 billion (2016 est.) |
| Taxes and other revenues: | 50.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2016 est.) |
| Public debt: | 106% of GDP (2016 est.) |
| Public debt: | 106% of GDP (2015 est.) |
