| Economy | Belgium |
| --- | --- |
| Economy - overview: | Belgiumâ€™s central geographic location and highly developed transport network have helped develop a well-diversified economy, with a broad mix of transport, services, manufacturing, and high tech. Service and high-tech industries are concentrated in the northern Flanders region while the southern region of Wallonia is home to industries like coal and steel manufacturing. Belgium is completely reliant on foreign sources of fossil fuels, and the planned closure of its seven nuclear plants by 2025 should increase its dependence on foreign energy. Its role as a regional logistical hub makes its economy vulnerable to shifts in foreign demand, particularly with EU trading partners. Roughly three-quarters of Belgium's trade is with other EU countries, and the port of Zeebrugge conducts almost half its trade with the United Kingdom alone, leaving Belgiumâ€™s economy vulnerable to the outcome of negotiations on the UKâ€™s exit from the EU. |
| Economy - overview: | Belgiumâ€™s GDP grew by 1.7% in 2017 and the budget deficit was 1.5% of GDP. Unemployment stood at 7.3%, however the unemployment rate is lower in Flanders than Wallonia, 4.4% compared to 9.4%, because of industrial differences between the regions. The economy largely recovered from the March 2016 terrorist attacks that mainly impacted the Brussels region tourist and hospitality industry. Prime Minister Charles MICHEL's center-right government has pledged to further reduce the deficit in response to EU pressure to decrease Belgium's high public debt of about 104% of GDP, but such efforts would also dampen economic growth. In addition to restrained public spending, low wage growth and higher inflation promise to curtail a more robust recovery in private consumption. |
| Economy - overview: | The government has pledged to pursue a reform program to improve Belgiumâ€™s competitiveness, including changes to labor market rules and welfare benefits. These changes have generally made Belgian wages more competitive regionally, but have raised tensions with trade unions, which have called for extended strikes. In 2017, Belgium approved a tax reform plan to ease corporate rates from 33% to 29% by 2018 and down to 25% by 2020. The tax plan also included benefits for innovation and SMEs, intended to spur competitiveness and private investment. |
| GDP (purchasing power parity): | $529.2 billion (2017 est.) |
| GDP (purchasing power parity): | $520.2 billion (2016 est.) |
| GDP (purchasing power parity): | $513 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $493.7 billion (2017 est.) |
| GDP - real growth rate: | 1.7% (2017 est.) |
| GDP - real growth rate: | 1.4% (2016 est.) |
| GDP - real growth rate: | 1.4% (2015 est.) |
| GDP - per capita (PPP): | $46,600 (2017 est.) |
| GDP - per capita (PPP): | $46,000 (2016 est.) |
| GDP - per capita (PPP): | $45,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 24.5% of GDP (2017 est.) |
| Gross national saving: | 24% of GDP (2016 est.) |
| Gross national saving: | 23.4% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 51.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 23.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 85.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -84.4% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 22.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 77.2% (2017 est.) |
| Agriculture - products: | sugar beets, fresh vegetables, fruits, grain, tobacco; beef, veal, pork, milk |
| Industries: | engineering and metal products, motor vehicle assembly, transportation equipment, scientific instruments, processed food and beverages, chemicals, pharmaceuticals, base metals, textiles, glass, petroleum |
| Industrial production growth rate: | 0.2% (2017 est.) |
| Labor force: | 5.324 million (2017 est.) |
| Labor force - by occupation: | agriculture: 1.3% |
| Labor force - by occupation: | industry: 18.6% |
| Labor force - by occupation: | services: 80.1% (2013 est.) |
| Unemployment rate: | 7.1% (2017 est.) |
| Unemployment rate: | 7.9% (2016 est.) |
