| Economy | AUSTRIA |
| --- | --- |
| Economy - overview: | Austria, with its well-developed market economy, skilled labor force, and high standard of living, is closely tied to other EU economies, especially Germany's. Its economy features a large service sector, a relatively sound industrial sector, and a small, but highly developed agricultural sector. |
| Economy - overview: | Economic growth has been relatively weak in recent years, approaching 0.9% in 2015. Austria's 5.8% unemployment rate, while low by European standards, is at its highest rate since the end of World War II, driven by an increased number of refugees and EU migrants entering the labor market. Without extensive vocational training programs and generous early retirement, the unemployment rate would be even higher. |
| Economy - overview: | Although Austria's fiscal position compares favorably with other euro-zone countries, it faces several external risks, such as unexpectedly weak world economic growth threatening the export market, Austrian banks' continued exposure to Central and Eastern Europe, repercussions from the Hypo Alpe Adria bank collapse, political and economic uncertainties caused by the European sovereign debt crisis, the current refugee crisis, and continued unrest in Russia/Ukraine. Early signs point towards a slight improvement in 2016, driven by low interest rates on government debt. Currently, the budget deficit stands at 2.7% of GDP and public debt has reached a post-war high of 84.2% of the GDP. |
| GDP (purchasing power parity): | $404.3 billion (2015 est.) |
| GDP (purchasing power parity): | $400.8 billion (2014 est.) |
| GDP (purchasing power parity): | $399.4 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $374.1 billion (2015 est.) |
| GDP - real growth rate: | 0.9% (2015 est.) |
| GDP - real growth rate: | 0.4% (2014 est.) |
| GDP - real growth rate: | 0.3% (2013 est.) |
| GDP - per capita (PPP): | $47,300 (2015 est.) |
| GDP - per capita (PPP): | $47,100 (2014 est.) |
| GDP - per capita (PPP): | $47,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 25.4% of GDP (2015 est.) |
| Gross national saving: | 25% of GDP (2014 est.) |
| Gross national saving: | 25.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 52.6% |
| GDP - composition, by end use: | government consumption: 19.9% |
| GDP - composition, by end use: | investment in fixed capital: 22.6% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 53% |
| GDP - composition, by end use: | imports of goods and services: -48.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.3% |
| GDP - composition, by sector of origin: | industry: 28.3% |
| GDP - composition, by sector of origin: | services: 70.4% (2015 est.) |
| Agriculture - products: | grains, potatoes, wine, fruit; dairy products, cattle, pigs, poultry; lumber and other forestry products |
| Industries: | construction, machinery, vehicles and parts, food, metals, chemicals, lumber, paper and paperboard, communications equipment, tourism |
| Industrial production growth rate: | 0.8% (2015 est.) |
| Labor force: | 3.889 million (2015 est.) |
