| Economy | ECUADOR |
| --- | --- |
| Economy - overview: | Ecuador is substantially dependent on its petroleum resources, which have accounted for more than half of the country's export earnings and approximately 25% of public sector revenues in recent years. |
| Economy - overview: | In 1999/2000, Ecuador's economy suffered from a banking crisis, with GDP contracting by 5.3% and poverty increasing significantly. In March 2000, the Congress approved a series of structural reforms that also provided for the adoption of the US dollar as legal tender. Dollarization stabilized the economy, and positive growth returned in the years that followed, helped by high oil prices, remittances, and increased non-traditional exports. The economy grew an average of 4.3% per year from 2002 to 2006, the highest five-year average in 25 years. After moderate growth in 2007, the economy reached a growth rate of 6.4% in 2008, buoyed by high global petroleum prices and increased public sector investment. President Rafael CORREA Delgado, who took office in January 2007, defaulted in December 2008 on Ecuador's sovereign debt, which, with a total face value of approximately US$3.2 billion, represented about 30% of Ecuador's public external debt. In May 2009, Ecuador bought back 91% of its "defaulted" bonds via an international reverse auction. |
| Economy - overview: | Economic policies under the CORREA administration - for example, an announcement in late 2009 of its intention to terminate 13 bilateral investment treaties, including one with the US - have generated economic uncertainty and discouraged private investment. China has become Ecuador's largest foreign lender since Quito defaulted in 2008, allowing the government to maintain a high rate of social spending; Ecuador contracted with the Chinese government for more than $9.9 billion in forward oil sales, project financing, and budget support loans as of December 2013. |
| Economy - overview: | The level of foreign investment in Ecuador continues to be one of the lowest in the region as a result of an unstable regulatory environment, weak rule of law, and the crowding-out effect of public investments. Faced with a 2013 trade deficit of $1.1 billion, Ecuador erected technical barriers to trade in December 2013, causing tensions with its largest trading partners. Ecuador also decriminalized intellectual property rights violations in February 2014. In March, 2015 Ecuador imposed tariff surcharges for 15 months from 5% to 45% on an estimated 32% of imports. In 2014, oil output increased slightly and production remained steady in 2015. In 2015, however, lower oil prices forced CORREA to cut the budget twice, and the government has considered further budget and subsidy cuts for 2016. |
| GDP (purchasing power parity): | $183.4 billion (2015 est.) |
| GDP (purchasing power parity): | $183.3 billion (2014 est.) |
| GDP (purchasing power parity): | $176.8 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $98.83 billion (2015 est.) |
| GDP - real growth rate: | 0% (2015 est.) |
| GDP - real growth rate: | 3.7% (2014 est.) |
| GDP - real growth rate: | 4.6% (2013 est.) |
| GDP - per capita (PPP): | $11,300 (2015 est.) |
| GDP - per capita (PPP): | $11,400 (2014 est.) |
| GDP - per capita (PPP): | $11,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 25.2% of GDP (2015 est.) |
| Gross national saving: | 28.1% of GDP (2014 est.) |
| Gross national saving: | 27.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 61% |
| GDP - composition, by end use: | government consumption: 14.6% |
| GDP - composition, by end use: | investment in fixed capital: 27% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 21.1% |
| GDP - composition, by end use: | imports of goods and services: -24.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.1% |
| GDP - composition, by sector of origin: | industry: 34.1% |
| GDP - composition, by sector of origin: | services: 59.7% (2015 est.) |
| Agriculture - products: | bananas, coffee, cocoa, rice, potatoes, cassava (manioc, tapioca), plantains, sugarcane; cattle, sheep, pigs, beef, pork, dairy products; fish, shrimp; balsa wood |
| Industries: | petroleum, food processing, textiles, wood products, chemicals |
| Industrial production growth rate: | 0.3% |
| Industrial production growth rate: | note: excludes oil refining (2015 est.) |
| Labor force: | 4.873 million (2015 est.) |
| Labor force - by occupation: | agriculture: 27.8% |
| Labor force - by occupation: | industry: 17.8% |
| Labor force - by occupation: | services: 54.4% (2012) |
| Unemployment rate: | 4.3% (2015 est.) |
| Unemployment rate: | 4.3% (2014 est.) |
| Population below poverty line: | 25.6% (December 2013 est) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 35.4% |
| Household income or consumption by percentage share: | note: data for urban households only (2012 est.) |
| Distribution of family income - Gini index: | 48.5 (December 2013) |
| Distribution of family income - Gini index: | 50.5 (December 2010) |
| Distribution of family income - Gini index: | note: data are for urban households |
| Budget: | revenues: $33.59 billion |
| Budget: | expenditures: $38.68 billion (2015 est.) |
| Taxes and other revenues: | 34% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2015 est.) |
| Public debt: | 30.5% of GDP (2015 est.) |
| Public debt: | 27.7% of GDP (2014 est.) |
| Fiscal year: | calendar year |
