| Economy | ECUADOR |
| --- | --- |
| Economy - overview: | Ecuador is substantially dependent on its petroleum resources, which have accounted for more than half of the country's export earnings and approximately 25% of public sector revenues in recent years. |
| Economy - overview: | In 1999/2000, Ecuador's economy suffered from a banking crisis, with GDP contracting by 5.3% and poverty increasing significantly. In March 2000, the Congress approved a series of structural reforms that also provided for the adoption of the US dollar as legal tender. Dollarization stabilized the economy, and positive growth returned in the years that followed, helped by high oil prices, remittances, and increased non-traditional exports. The economy grew an average of 4.3% per year from 2002 to 2006, the highest five-year average in 25 years. After moderate growth in 2007, the economy reached a growth rate of 6.4% in 2008, buoyed by high global petroleum prices and increased public sector investment. President Rafael CORREA Delgado, who took office in January 2007, defaulted in December 2008 on Ecuador's sovereign debt, which, with a total face value of approximately US$3.2 billion, represented about 30% of Ecuador's public external debt. In May 2009, Ecuador bought back 91% of its "defaulted" bonds via an international reverse auction. |
| Economy - overview: | Economic policies under the CORREA administration - for example, an announcement in late 2009 of its intention to terminate 13 bilateral investment treaties, including one with the US - have generated economic uncertainty and discouraged private investment. China has become Ecuador's largest foreign lender since Quito defaulted in 2008, allowing the government to maintain a high rate of social spending; Ecuador contracted with the Chinese government for more than $9.9 billion in forward oil sales, project financing, and budget support loans as of December 2013. |
| Economy - overview: | The level of foreign investment in Ecuador continues to be one of the lowest in the region as a result of an unstable regulatory environment, weak rule of law, and the crowding-out effect of public investments. Faced with a 2013 trade deficit of $1.1 billion, Ecuador erected technical barriers to trade in December 2013, causing tensions with its largest trading partners. Ecuador also decriminalized intellectual property rights violations in February 2014. In March, 2015 Ecuador imposed tariff surcharges from 5% to 45% on an estimated 32% of imports. In 2014, oil output increased slightly and production remained steady in 2015 however the oil price decrease from 2014 onward affected government revenue. Ecuador’s economy fell in to recession in 2015 and remained in recession in 2016. As a result, CORREA cut the budget twice in 2015, and reduced it further in 2016. |
| GDP (purchasing power parity): | $184.9 billion (2016 est.) |
| GDP (purchasing power parity): | $185.3 billion (2015 est.) |
| GDP (purchasing power parity): | $183 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $97.8 billion (2016 est.) |
| GDP - real growth rate: | -1.5% (2016 est.) |
| GDP - real growth rate: | 0.2% (2015 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - per capita (PPP): | $11,200 (2016 est.) |
| GDP - per capita (PPP): | $11,500 (2015 est.) |
| GDP - per capita (PPP): | $11,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 24.9% of GDP (2016 est.) |
| Gross national saving: | 24.7% of GDP (2015 est.) |
| Gross national saving: | 27.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 62.5% |
| GDP - composition, by end use: | government consumption: 14.3% |
| GDP - composition, by end use: | investment in fixed capital: 23.5% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 19.3% |
| GDP - composition, by end use: | imports of goods and services: -19.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.4% |
| GDP - composition, by sector of origin: | industry: 33.8% |
| GDP - composition, by sector of origin: | services: 59.7% (2016 est.) |
| Agriculture - products: | bananas, coffee, cocoa, rice, potatoes, cassava (manioc, tapioca), plantains, sugarcane; cattle, sheep, pigs, beef, pork, dairy products; fish, shrimp; balsa wood |
| Industries: | petroleum, food processing, textiles, wood products, chemicals |
| Industrial production growth rate: | -0.7% |
| Industrial production growth rate: | note: excludes oil refining (2016 est.) |
| Labor force: | 7.874 million (2016 est.) |
| Labor force - by occupation: | agriculture: 27.8% |
| Labor force - by occupation: | industry: 17.8% |
| Labor force - by occupation: | services: 54.4% (2012) |
| Unemployment rate: | 5.2% (2016 est.) |
| Unemployment rate: | 4.3% (2015 est.) |
| Population below poverty line: | 25.6% (December 2013 est) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 35.4% |
| Household income or consumption by percentage share: | note: data for urban households only (2012 est.) |
| Distribution of family income - Gini index: | 48.5 (December 2013) |
| Distribution of family income - Gini index: | 50.5 (December 2010) |
| Distribution of family income - Gini index: | note: data are for urban households |
| Budget: | revenues: $30.31 billion |
| Budget: | expenditures: $37.63 billion (2016 est.) |
| Taxes and other revenues: | 30.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -7.5% of GDP (2016 est.) |
| Public debt: | 36.4% of GDP (2016 est.) |
