| Economy | Burundi |
| --- | --- |
| Economy - overview: | Burundi is a landlocked, resource-poor country with an underdeveloped manufacturing sector. The economy is predominantly agricultural; agriculture accounts for just over 30% of GDP and employs more than 90% of the population. Burundi's primary exports are coffee and tea, which account for 90% of foreign exchange earnings, though exports are a relatively small share of GDP. Burundi's export earnings - and its ability to pay for imports - rests primarily on weather conditions and international coffee and tea prices. An ethnic-based war that lasted for over a decade resulted in more than 200,000 deaths, forced more than 48,000 refugees into Tanzania, and displaced 140,000 others internally. Only one in two children go to school, and approximately one in 15 adults has HIV/AIDS. Food, medicine, and electricity remain in short supply. Less than 2% of the population has electricity in its homes. Burundi's GDP grew around 4% annually in 2006-12. Political stability and the end of the civil war have improved aid flows and economic activity has increased, but underlying weaknesses - a high poverty rate, poor education rates, a weak legal system, a poor transportation network, overburdened utilities, and low administrative capacity - risk undermining planned economic reforms. The purchasing power of most Burundians has decreased as wage increases have not kept up with inflation. Burundi will remain heavily dependent on aid from bilateral and multilateral donors - foreign aid represents 42% of Burundi''s national income, the second highest rate in Sub-Saharan Africa. Burundi joined the East African Community in 2009, which should boost Burundi's regional trade ties, and also in 2009 received $700 million in debt relief. Government corruption is hindering the development of a healthy private sector as companies seek to navigate an environment with ever changing rules. |
| GDP (purchasing power parity): | $5.43 billion (2012 est.) |
| GDP (purchasing power parity): | $5.22 billion (2011 est.) |
| GDP (purchasing power parity): | $5.01 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $2.439 billion (2012 est.) |
| GDP - real growth rate: | 4% (2012 est.) |
| GDP - real growth rate: | 4.2% (2011 est.) |
| GDP - real growth rate: | 3.8% (2010 est.) |
| GDP - per capita (PPP): | $600 (2012 est.) |
| GDP - per capita (PPP): | $600 (2011 est.) |
| GDP - per capita (PPP): | $600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | -0.8% of GDP (2012 est.) |
| Gross national saving: | 6.3% of GDP (2011 est.) |
| Gross national saving: | 7.8% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 88.9% |
| GDP - composition, by end use: | government consumption: 24.9% |
| GDP - composition, by end use: | investment in fixed capital: 22.1% |
| GDP - composition, by end use: | investment in inventories: -5.5% |
| GDP - composition, by end use: | exports of goods and services: 9% |
| GDP - composition, by end use: | imports of goods and services: -39.3% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 34.7% |
| GDP - composition, by sector of origin: | industry: 18.3% |
| GDP - composition, by sector of origin: | services: 47% (2012 est.) |
| Agriculture - products: | coffee, cotton, tea, corn, sorghum, sweet potatoes, bananas, cassava (manioc); beef, milk, hides |
| Industries: | light consumer goods such as blankets, shoes, soap, and beer; assembly of imported components; public works construction; food processing |
| Industrial production growth rate: | 4% (2012 est.) |
| Labor force: | 4.245 million (2007) |
| Labor force - by occupation: | agriculture: 93.6% |
| Labor force - by occupation: | industry: 2.3% |
| Labor force - by occupation: | services: 4.1% (2002 est.) |
| Unemployment rate: | NA% |
| Population below poverty line: | 68% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.1% |
