| Economy | BURUNDI |
| --- | --- |
| Economy - overview: | Burundi is a landlocked, resource-poor country with an underdeveloped manufacturing sector. The economy is predominantly agricultural; agriculture accounts for just over 40% of GDP and employs more than 90% of the population. Burundi's primary exports are coffee and tea, which account for 90% of foreign exchange earnings, though exports are a relatively small share of GDP. Therefore, Burundi's export earnings - and its ability to pay for imports - rests primarily on weather conditions and international coffee and tea prices. An ethnic-based war that lasted until 2005 resulted in more than 200,000 deaths, forced more than 48,000 refugees into Tanzania, and displaced 140,000 others internally. Food, medicine, and electricity remain in short supply. Burundi's GDP grew around 4% annually in 2006-14. Political stability and the end of the civil war have improved aid flows and economic activity has increased, but underlying weaknesses - a high poverty rate, poor education rates, a weak legal system, a poor transportation network, overburdened utilities, and low administrative capacity - risk undermining planned economic reforms. Government corruption is hindering the development of a healthy private sector as companies have to deal with ever changing rules. The purchasing power of most Burundians has decreased as wage increases have not kept up with inflation. Burundi will remain heavily dependent on aid from bilateral and multilateral donors - foreign aid represents 42% of Burundi's national income, the second highest rate in Sub-Saharan Africa. Burundi joined the East African Community (EAC) in 2009, and regional infrastructure improvements driven by the EAC and funded by the World Bank may help improve Burundi&rsquo;s transport connections and lower transportation costs. |
| GDP (purchasing power parity): | $8.378 billion (2014 est.) |
| GDP (purchasing power parity): | $7.999 billion (2013 est.) |
| GDP (purchasing power parity): | $7.657 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $3.094 billion (2014 est.) |
| GDP - real growth rate: | 4.7% (2014 est.) |
| GDP - real growth rate: | 4.5% (2013 est.) |
| GDP - real growth rate: | 4% (2012 est.) |
| GDP - per capita (PPP): | $900 (2014 est.) |
| GDP - per capita (PPP): | $900 (2013 est.) |
| GDP - per capita (PPP): | $800 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 2.4% of GDP (2014 est.) |
| Gross national saving: | 1.6% of GDP (2013 est.) |
| Gross national saving: | 2.7% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 74.6% |
| GDP - composition, by end use: | government consumption: 21.9% |
| GDP - composition, by end use: | investment in fixed capital: 27.9% |
| GDP - composition, by end use: | investment in inventories: -1.7% |
| GDP - composition, by end use: | exports of goods and services: 7.1% |
| GDP - composition, by end use: | imports of goods and services: -29.6% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 40.3% |
| GDP - composition, by sector of origin: | industry: 17.1% |
| GDP - composition, by sector of origin: | services: 42.5% (2014 est.) |
| Agriculture - products: | coffee, cotton, tea, corn, sorghum, sweet potatoes, bananas, cassava (manioc, tapioca); beef, milk, hides |
| Industries: | light consumer goods (blankets, shoes, soap, beer); assembly of imported components; public works construction; food processing |
| Industrial production growth rate: | 6% (2014 est.) |
| Labor force: | 4.806 million (2014 est.) |
| Labor force - by occupation: | agriculture: 93.6% |
| Labor force - by occupation: | industry: 2.3% |
| Labor force - by occupation: | services: 4.1% (2002 est.) |
| Unemployment rate: | NA% |
| Population below poverty line: | 68% (2002 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.1% |
| Household income or consumption by percentage share: | highest 10%: 28% (2006) |
| Distribution of family income - Gini index: | 42.4 (1998) |
| Budget: | revenues: $847.3 million |
| Budget: | expenditures: $933.2 million (2014 est.) |
| Taxes and other revenues: | 27.9% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.8% of GDP (2014 est.) |
| Public debt: | 38.6% of GDP (2014 est.) |
| Public debt: | 38.6% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.4% (2014 est.) |
| Inflation rate (consumer prices): | 7.9% (2013 est.) |
| Central bank discount rate: | 11.25% (31 December 2010) |
| Central bank discount rate: | 10% (31 December 2009) |
| Commercial bank prime lending rate: | 15% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 15.15% (31 December 2013 est.) |
| Stock of narrow money: | $394.9 million (31 December 2014 est.) |
| Stock of narrow money: | $375.2 million (31 December 2013 est.) |
| Stock of broad money: | $551.4 million (31 December 2014 est.) |
