| Economy | Pakistan |
| --- | --- |
| Economic overview: | Decades of internal political disputes and low levels of foreign investment have led to underdevelopment in Pakistan. Pakistan has a large English-speaking population, with English-language skills less prevalent outside urban centers. Despite some progress in recent years in both security and energy, a challenging security environment, electricity shortages, and a burdensome investment climate have traditionally deterred investors. Agriculture accounts for one-fifth of output and two-fifths of employment. Textiles and apparel account for more than half of Pakistan's export earnings; Pakistan's failure to diversify its exports has left the country vulnerable to shifts in world demand. Pakistanâ€™s GDP growth has gradually increased since 2012, and was 5.3% in 2017. Official unemployment was 6% in 2017, but this fails to capture the true picture, because much of the economy is informal and underemployment remains high. Human development continues to lag behind most of the region. |
| Economic overview: | In 2013, Pakistan embarked on a $6.3 billion IMF Extended Fund Facility, which focused on reducing energy shortages, stabilizing public finances, increasing revenue collection, and improving its balance of payments position. The program concluded in September 2016. Although Pakistan missed several structural reform criteria, it restored macroeconomic stability, improved its credit rating, and boosted growth. The Pakistani rupee has remained relatively stable against the US dollar since 2015, though it declined about 10% between November 2017 and March 2018. Balance of payments concerns have reemerged, however, as a result of a significant increase in imports and weak export and remittance growth. |
| Economic overview: | Pakistan must continue to address several longstanding issues, including expanding investment in education, healthcare, and sanitation; adapting to the effects of climate change and natural disasters; improving the countryâ€™s business environment; and widening the countryâ€™s tax base. Given demographic challenges, Pakistanâ€™s leadership will be pressed to implement economic reforms, promote further development of the energy sector, and attract foreign investment to support sufficient economic growth necessary to employ its growing and rapidly urbanizing population, much of which is under the age of 25. |
| Economic overview: | In an effort to boost development, Pakistan and China are implementing the "China-Pakistan Economic Corridor" (CPEC) with $60 billion in investments targeted towards energy and other infrastructure projects. Pakistan believes CPEC investments will enable growth rates of over 6% of GDP by laying the groundwork for increased exports. CPEC-related obligations, however, have raised IMF concern about Pakistanâ€™s capital outflows and external financing needs over the medium term. |
| GDP real growth rate: | 5.4% (2017 est.) |
| GDP real growth rate: | 4.6% (2016 est.) |
| GDP real growth rate: | 4.1% (2015 est.) |
| GDP real growth rate: | note: data are for fiscal years |
| Inflation rate (consumer prices): | 9.3% (2019 est.) |
