| Economy | Pakistan |
| --- | --- |
| Economy - overview: | Decades of internal political disputes and low levels of foreign investment have led to slow growth and underdevelopment in Pakistan. Agriculture accounts for more than one-fifth of output and two-fifths of employment. Textiles account for most of Pakistan's export earnings, and Pakistan's failure to expand a viable export base for other manufactures has left the country vulnerable to shifts in world demand. Official unemployment was 6.6% in 2013, but this fails to capture the true picture, because much of the economy is informal and underemployment remains high. Over the past few years, low growth and high inflation, led by a spurt in food prices, have increased the amount of poverty. As a result of political and economic instability, the Pakistani rupee has depreciated more than 40% since 2007. The government agreed to an International Monetary Fund Standby Arrangement in November 2008 in response to a balance of payments crisis. Although the economy has stabilized since the crisis, it has failed to recover. Foreign investment has not returned, due to investor concerns related to governance, energy, security, and a slow-down in the global economy. Remittances from overseas workers, averaging about $1 billion a month since March 2011, remain a bright spot for Pakistan. However, after a small current account surplus in fiscal year 2011 (July 2010/June 2011), Pakistan's current account turned to deficit in the following two years, spurred by higher prices for imported oil and lower prices for exported cotton. Pakistan remains stuck in a low-income, low-growth trap, with growth averaging about 3.5% per year from 2008 to 2013. Pakistan must address long standing issues related to government revenues and energy production in order to spur the amount of economic growth that will be necessary to employ its growing and rapidly urbanizing population, more than half of which is under 22. Other long term challenges include expanding investment in education and healthcare, adapting to the effects of climate change and natural disasters, and reducing dependence on foreign donors. |
| GDP (purchasing power parity): | $574.1 billion (2013 est.) |
| GDP (purchasing power parity): | $554.2 billion (2012 est.) |
| GDP (purchasing power parity): | $531 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $236.5 billion (2013 est.) |
| GDP - real growth rate: | 3.6% (2013 est.) |
| GDP - real growth rate: | 4.4% (2012 est.) |
| GDP - real growth rate: | 3.7% (2011 est.) |
| GDP - per capita (PPP): | $3,100 (2013 est.) |
| GDP - per capita (PPP): | $3,100 (2012 est.) |
| GDP - per capita (PPP): | $3,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 12.7% of GDP (2013 est.) |
| Gross national saving: | 13.3% of GDP (2012 est.) |
| Gross national saving: | 12.9% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 81% |
| GDP - composition, by end use: | government consumption: 10.8% |
| GDP - composition, by end use: | investment in fixed capital: 12.6% |
| GDP - composition, by end use: | investment in inventories: 1.6% |
| GDP - composition, by end use: | exports of goods and services: 12.7% |
| GDP - composition, by end use: | imports of goods and services: -18.8% |
