| Economy | INDONESIA |
| --- | --- |
| Economy - overview: | Indonesia, the largest economy in Southeast Asia, has seen a slowdown in growth since 2012, mostly due to the end of the commodities export boom. During the global financial crisis, Indonesia outperformed its regional neighbors and joined China and India as the only G20 members posting growth. Indonesia’s annual budget deficit is capped at 3% of GDP, and the Government of Indonesia lowered its debt-to-GDP ratio from a peak of 100% shortly after the Asian financial crisis in 1999 to less than 27 percent today. While Fitch and Moody's Investors upgraded Indonesia's credit rating to investment grade in December 2011, Standard & Poor’s has yet to raise Indonesia’s rating to this status amid several constraints to foreign direct investment in the country, such as a high level of protectionism. |
| Economy - overview: | Indonesia still struggles with poverty and unemployment, inadequate infrastructure, corruption, a complex regulatory environment, and unequal resource distribution among its regions. President Joko WIDODO - elected in July 2014 – seeks to develop Indonesia’s maritime resources and pursue other infrastructure development, including significantly increasing its electrical power generation capacity. Fuel subsidies were significantly reduced in early 2015, a move which has helped the government redirect its spending to development priorities. Indonesia, with the nine other ASEAN members, will continue to move towards participation in the ASEAN Economic Community, though full implementation of economic integration has not yet materialized. |
| GDP (purchasing power parity): | $3.031 trillion (2016 est.) |
| GDP (purchasing power parity): | $2.85 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.688 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $932.4 billion (2016 est.) |
| GDP - real growth rate: | 5% (2016 est.) |
| GDP - real growth rate: | 4.9% (2015 est.) |
| GDP - real growth rate: | 5% (2014 est.) |
| GDP - per capita (PPP): | $11,700 (2016 est.) |
| GDP - per capita (PPP): | $11,300 (2015 est.) |
| GDP - per capita (PPP): | $10,900 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 32.5% of GDP (2016 est.) |
| Gross national saving: | 32.1% of GDP (2015 est.) |
| Gross national saving: | 31.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 57.7% |
| GDP - composition, by end use: | government consumption: 9.5% |
| GDP - composition, by end use: | investment in fixed capital: 32.6% |
| GDP - composition, by end use: | investment in inventories: -0.5% |
| GDP - composition, by end use: | exports of goods and services: 19.1% |
| GDP - composition, by end use: | imports of goods and services: -18.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 14% |
| GDP - composition, by sector of origin: | industry: 40.8% |
| GDP - composition, by sector of origin: | services: 45.3% (2016 est.) |
| Agriculture - products: | rubber and similar products, palm oil, poultry, beef, forest products, shrimp, cocoa, coffee, medicinal herbs, essential oil, fish and its similar products, and spices |
| Industries: | petroleum and natural gas, textiles, automotive, electrical appliances, apparel, footwear, mining, cement, medical instruments and appliances, handicrafts, chemical fertilizers, plywood, rubber, processed food, jewelry, and tourism |
| Industrial production growth rate: | 3.9% (2016 est.) |
| Labor force: | 125.4 million (2016 est.) |
| Labor force - by occupation: | agriculture: 32% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 47% (2016 est.) |
| Unemployment rate: | 5.6% (2016 est.) |
| Unemployment rate: | 6.2% (2015 est.) |
| Population below poverty line: | 10.9% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.2% (2010) |
| Distribution of family income - Gini index: | 36.8 (2009) |
| Distribution of family income - Gini index: | 39.4 (2005) |
| Budget: | revenues: $116.9 billion |
| Budget: | expenditures: $140.1 billion (2016 est.) |
| Taxes and other revenues: | 12.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.5% of GDP (2016 est.) |
| Public debt: | 31.5% of GDP (2016 est.) |
