| Economy | INDONESIA |
| --- | --- |
| Economy - overview: | Indonesia has seen a slowdown in growth since 2012, mostly due to the end of the commodities export boom. During the global financial crisis, Indonesia outperformed its regional neighbors and joined China and India as the only G20 members posting growth. The government has promoted fiscally conservative policies, resulting in a debt-to-GDP ratio of less than 25% and historically low rates of inflation. Fitch and Moody's upgraded Indonesia's credit rating to investment grade in December 2011. Indonesia still struggles with poverty and unemployment, inadequate infrastructure, corruption, a complex regulatory environment, a current account deficit, and unequal resource distribution among regions. President Joko WIDODO - elected in July 2014 - has emphasized maritime and other infrastructure development, and especially increased electric power capacity, since taking office. Fuel subsidies were almost completely removed in early 2015, a move which could help the government increase spending on its development priorities. Indonesia, with the nine other ASEAN members, will continue to move towards participation in the ASEAN Economic Community, though full implementation of economic integration will not be completed by the previously-set deadline of year-end 2015. |
| GDP (purchasing power parity): | $2.676 trillion (2014 est.) |
| GDP (purchasing power parity): | $2.548 trillion (2013 est.) |
| GDP (purchasing power parity): | $2.413 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $888.6 billion (2014 est.) |
| GDP - real growth rate: | 5% (2014 est.) |
| GDP - real growth rate: | 5.6% (2013 est.) |
| GDP - real growth rate: | 6% (2012 est.) |
| GDP - per capita (PPP): | $10,600 (2014 est.) |
| GDP - per capita (PPP): | $10,100 (2013 est.) |
| GDP - per capita (PPP): | $9,600 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 30.9% of GDP (2014 est.) |
| Gross national saving: | 30.7% of GDP (2013 est.) |
| Gross national saving: | 32.3% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 56.2% |
| GDP - composition, by end use: | government consumption: 9% |
| GDP - composition, by end use: | investment in fixed capital: 33.6% |
| GDP - composition, by end use: | investment in inventories: 1.9% |
| GDP - composition, by end use: | exports of goods and services: 23.5% |
| GDP - composition, by end use: | imports of goods and services: -24.4% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.2% |
| GDP - composition, by sector of origin: | industry: 45.5% |
| GDP - composition, by sector of origin: | services: 40.3% (2014 est.) |
| Agriculture - products: | rubber and similar products, palm oil, poultry, beef, forest products, shrimp, cocoa, coffee, medicinal herbs, essential oil, fish and its similar products, and spices |
| Industries: | petroleum and natural gas, textiles, automotive, electrical appliances, apparel, footwear, mining, cement, medical instruments and appliances, handicrafts, chemical fertilizers, plywood, rubber, processed food, jewelry, and tourism |
| Industrial production growth rate: | 4.9% (2014 est.) |
| Labor force: | 124.3 million (2014 est.) |
| Labor force - by occupation: | agriculture: 38.9% |
| Labor force - by occupation: | industry: 13.2% |
| Labor force - by occupation: | services: 47.9% (2012 est.) |
| Unemployment rate: | 6.1% (2014 est.) |
| Unemployment rate: | 6.3% (2013 est.) |
| Population below poverty line: | 11.3% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 28.2% (2010) |
| Distribution of family income - Gini index: | 36.8 (2009) |
| Distribution of family income - Gini index: | 39.4 (2005) |
| Budget: | revenues: $134.7 billion |
| Budget: | expenditures: $155.2 billion (2014 est.) |
| Taxes and other revenues: | 15.7% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2014 est.) |
| Public debt: | 23.9% of GDP (2014 est.) |
| Public debt: | 23.9% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.4% (2014 est.) |
| Inflation rate (consumer prices): | 6.4% (2013 est.) |
| Central bank discount rate: | 6.37% (31 December 2010) |
| Central bank discount rate: | 6.46% (31 December 2009) |
| Central bank discount rate: | note: this figure represents the 3-month SBI rate; the Bank of Indonesia has not employed the one-month SBI since September 2010 |
| Commercial bank prime lending rate: | 12.6% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 11.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | note: these figures represent the average annualized rate on working capital loans |
| Stock of narrow money: | $78.7 billion (31 December 2014 est.) |
| Stock of narrow money: | $72.78 billion (31 December 2013 est.) |
| Stock of broad money: | $348.6 billion (31 December 2014 est.) |
| Stock of broad money: | $305.8 billion (31 December 2013 est.) |
| Stock of domestic credit: | $388.1 billion (31 December 2014 est.) |
| Stock of domestic credit: | $329.7 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $396.8 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $390.1 billion (31 December 2011) |
| Market value of publicly traded shares: | $360.4 billion (31 December 2010 est.) |
| Current account balance: | -$26.23 billion (2014 est.) |
| Current account balance: | -$29.13 billion (2013 est.) |
| Exports: | $175.3 billion (2014 est.) |
| Exports: | $182.1 billion (2013 est.) |
| Exports - commodities: | palm oil, oil and gas, ores and slags, electrical appliances, plywood, textiles, rubber |
| Exports - partners: | Japan 13.1%, China 10%, Singapore 9.5%, US 9.4%, India 7%, South Korea 6%, Malaysia 5.5% (2014) |
| Imports: | $168.4 billion (2014 est.) |
| Imports: | $176.3 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, electronic equipment, chemicals, fuels, foodstuffs |
| Imports - partners: | China 17.2%, Singapore 14.1%, Japan 9.6%, South Korea 6.7%, Malaysia 6.1%, Thailand 5.5%, US 4.6% (2014) |
| Reserves of foreign exchange and gold: | $111.9 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $99.39 billion (31 December 2013 est.) |
| Debt - external: | $278.5 billion (31 December 2014 est.) |
| Debt - external: | $259.1 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $255 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $230.3 billion (31 December 2013 est.) |
