| Economy | Indonesia |
| --- | --- |
| Economy - overview: | Indonesia, a vast polyglot nation, grew more than 6% annually in 2010-12. The government made economic advances under the first administration of President YUDHOYONO (2004-09), introducing significant reforms in the financial sector, including tax and customs reforms, the use of Treasury bills, and capital market development and supervision. During the global financial crisis, Indonesia outperformed its regional neighbors and joined China and India as the only G20 members posting growth in 2009. The government has promoted fiscally conservative policies, resulting in a debt-to-GDP ratio of less than 25%, a fiscal deficit below 3%, and historically low rates of inflation. Fitch and Moody's upgraded Indonesia's credit rating to investment grade in December 2011. Indonesia still struggles with poverty and unemployment, inadequate infrastructure, corruption, a complex regulatory environment, and unequal resource distribution among regions. The government in 2013 faces the ongoing challenge of improving Indonesia''s insufficient infrastructure to remove impediments to economic growth, labor unrest over wages, and reducing its fuel subsidy program in the face of high oil prices. |
| GDP (purchasing power parity): | $1.204 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.133 trillion (2011 est.) |
| GDP (purchasing power parity): | $1.064 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $866.7 billion (2012 est.) |
| GDP - real growth rate: | 6.2% (2012 est.) |
| GDP - real growth rate: | 6.5% (2011 est.) |
| GDP - real growth rate: | 6.2% (2010 est.) |
| GDP - per capita (PPP): | $4,900 (2012 est.) |
| GDP - per capita (PPP): | $4,700 (2011 est.) |
| GDP - per capita (PPP): | $4,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 32.6% of GDP (2012 est.) |
| Gross national saving: | 33.1% of GDP (2011 est.) |
| Gross national saving: | 33% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 54.6% |
| GDP - composition, by end use: | government consumption: 8.9% |
| GDP - composition, by end use: | investment in fixed capital: 33.2% |
| GDP - composition, by end use: | investment in inventories: 2.2% |
| GDP - composition, by end use: | exports of goods and services: 24.3% |
| GDP - composition, by end use: | imports of goods and services: -25.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.4% |
| GDP - composition, by sector of origin: | industry: 47% |
| GDP - composition, by sector of origin: | services: 38.6% (2012 est.) |
| Agriculture - products: | rubber and similar products, palm oil, poultry, beef, forest products, shrimp, cocoa, coffee, medicinal herbs, essential oil, fish and its similar products, and spices |
| Industries: | petroleum and natural gas, textiles, automotive, electrical appliances, apparel, footwear, mining, cement, medical instuments and appliances, handicrafts, chemical fertilizers, plywood, rubber, processed food, jewelry, and tourism |
| Industrial production growth rate: | 5.2% (2012 est.) |
| Labor force: | 118.1 million (2012 est.) |
| Labor force - by occupation: | agriculture: 38.9% |
| Labor force - by occupation: | industry: 22.2% |
| Labor force - by occupation: | services: 47.9% (2012 est.) |
| Unemployment rate: | 6.1% (2012 est.) |
| Unemployment rate: | 6.6% (2011 est.) |
| Population below poverty line: | 11.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 29.9% (2009) |
| Distribution of family income - Gini index: | 36.8 (2009) |
| Distribution of family income - Gini index: | 39.4 (2005) |
| Budget: | revenues: $144.3 billion |
| Budget: | expenditures: $162.8 billion (2012 est.) |
| Taxes and other revenues: | 16.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2012 est.) |
| Public debt: | 23% of GDP (2012 est.) |
| Public debt: | 22.6% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.3% (2012 est.) |
| Inflation rate (consumer prices): | 5.4% (2011 est.) |
| Central bank discount rate: | 6.37% (31 December 2010) |
| Central bank discount rate: | 6.46% (31 December 2009) |
