| Economy | Cameroon |
| --- | --- |
| Economy - overview: | Cameroonâ€™s market-based, diversified economy features oil and gas, timber, aluminum, agriculture, mining and the service sector. Oil remains Cameroonâ€™s main export commodity, and despite falling global oil prices, still accounts for nearly 40% of exports. Cameroonâ€™s economy suffers from factors that often impact underdeveloped countries, such as stagnant per capita income, a relatively inequitable distribution of income, a top-heavy civil service, endemic corruption, continuing inefficiencies of a large parastatal system in key sectors, and a generally unfavorable climate for business enterprise. |
| Economy - overview: | Since 1990, the government has embarked on various IMF and World Bank programs designed to spur business investment, increase efficiency in agriculture, improve trade, and recapitalize the nation's banks. The IMF continues to press for economic reforms, including increased budget transparency, privatization, and poverty reduction programs. The Government of Cameroon provides subsidies for electricity, food, and fuel that have strained the federal budget and diverted funds from education, healthcare, and infrastructure projects, as low oil prices have led to lower revenues. |
| Economy - overview: | Cameroon devotes significant resources to several large infrastructure projects currently under construction, including a deep seaport in Kribi and the Lom Pangar Hydropower Project. Cameroonâ€™s energy sector continues to diversify, recently opening a natural gas-powered electricity generating plant. Cameroon continues to seek foreign investment to improve its inadequate infrastructure, create jobs, and improve its economic footprint, but its unfavorable business environment remains a significant deterrent to foreign investment. |
| GDP (purchasing power parity): | $89.54 billion (2017 est.) |
| GDP (purchasing power parity): | $86.47 billion (2016 est.) |
| GDP (purchasing power parity): | $82.63 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $34.99 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 3.5% (2017 est.) |
| GDP - real growth rate: | 4.6% (2016 est.) |
| GDP - real growth rate: | 5.7% (2015 est.) |
| GDP - per capita (PPP): | $3,700 (2017 est.) |
| GDP - per capita (PPP): | $3,700 (2016 est.) |
| GDP - per capita (PPP): | $3,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 25.5% of GDP (2017 est.) |
| Gross national saving: | 25.2% of GDP (2016 est.) |
| Gross national saving: | 23.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 66.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 11.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 21.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -20.9% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 26.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 56.8% (2017 est.) |
| Agriculture - products: | coffee, cocoa, cotton, rubber, bananas, oilseed, grains, cassava (manioc, tapioca); livestock; timber |
| Industries: | petroleum production and refining, aluminum production, food processing, light consumer goods, textiles, lumber, ship repair |
| Industrial production growth rate: | 3.3% (2017 est.) |
| Labor force: | 9.912 million (2017 est.) |
| Labor force - by occupation: | agriculture: 70% |
| Labor force - by occupation: | industry: 13% |
| Labor force - by occupation: | services: 17% (2001 est.) |
| Unemployment rate: | 4.3% (2014 est.) |
| Unemployment rate: | 30% (2001 est.) |
| Population below poverty line: | 30% (2001 est.) |
| Household income or consumption by percentage share: | lowest 10%: 35.4% (2001) |
