| Economy | Philippines |
| --- | --- |
| Economy - overview: | Philippine GDP growth, which cooled from 7.6% in 2010 to 3.9% in 2011, expanded to 6.6% in 2012 - meeting the government's targeted 6%-7% growth range. The 2012 expansion partly reflected a rebound from depressed 2011 export and public sector spending levels. The economy has weathered global economic and financial downturns better than its regional peers due to minimal exposure to troubled international securities, lower dependence on exports, relatively resilient domestic consumption, large remittances from four- to five-million overseas Filipino workers, and a rapidly expanding business process outsourcing industry. The current account balance had recorded consecutive surpluses since 2003; international reserves are at record highs; the banking system is stable; and the stock market was Asia's second best-performer in 2012. Efforts to improve tax administration and expenditure management have helped ease the Philippines' tight fiscal situation and reduce high debt levels. The Philippines received several credit rating upgrades on its sovereign debt in 2012, and has had little difficulty tapping domestic and international markets to finance its deficits. Achieving a higher growth path nevertheless remains a pressing challenge. Economic growth in the Philippines averaged 4.5% during the MACAPAGAL-ARROYO administration but poverty worsened during her term. Growth has accelerated under the AQUINO government, but with limited progress thus far in bringing down unemployment, which hovers around 7%, and improving the quality of jobs. Underemployment is nearly 20% and more than 40% of the employed are estimated to be working in the informal sector. The AQUINO administration has been working to boost the budgets for education, health, cash transfers to the poor, and other social spending programs, and is relying on the private sector to help fund major infrastructure projects under its Public-Private Partnership program. Long term challenges include reforming governance and the judicial system, building infrastructure, improving regulatory predictability, and the ease of doing business, attracting higher levels of local and foreign investments. The Philippine Constitution and the other laws continue to restrict foreign ownership in important activities/sectors (such as land ownership and public utilities). |
| GDP (purchasing power parity): | $419.6 billion (2012 est.) |
| GDP (purchasing power parity): | $392.8 billion (2011 est.) |
| GDP (purchasing power parity): | $379 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $246.8 billion (2012 est.) |
| GDP - real growth rate: | 6.8% (2012 est.) |
| GDP - real growth rate: | 3.6% (2011 est.) |
| GDP - real growth rate: | 7.6% (2010 est.) |
| GDP - per capita (PPP): | $4,400 (2012 est.) |
| GDP - per capita (PPP): | $4,200 (2011 est.) |
| GDP - per capita (PPP): | $4,100 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 21.3% of GDP (2012 est.) |
| Gross national saving: | 23.6% of GDP (2011 est.) |
| Gross national saving: | 25% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 74.2% |
| GDP - composition, by end use: | government consumption: 10.5% |
| GDP - composition, by end use: | investment in fixed capital: 19.4% |
| GDP - composition, by end use: | investment in inventories: -0.9% |
| GDP - composition, by end use: | exports of goods and services: 30.8% |
| GDP - composition, by end use: | imports of goods and services: -34% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.8% |
| GDP - composition, by sector of origin: | industry: 31.1% |
| GDP - composition, by sector of origin: | services: 57.1% (2012 est.) |
| Agriculture - products: | sugarcane, coconuts, rice, corn, bananas, cassavas, pineapples, mangoes; pork, eggs, beef; fish |
| Industries: | electronics assembly, garments, footwear, pharmaceuticals, chemicals, wood products, food processing, petroleum refining, fishing |
| Industrial production growth rate: | 6.8% (2012 est.) |
| Labor force: | 40.43 million (2012 est.) |
| Labor force - by occupation: | agriculture: 32% |
| Labor force - by occupation: | industry: 15% |
| Labor force - by occupation: | services: 53% (2012 est.) |
| Unemployment rate: | 7% (2012 est.) |
| Unemployment rate: | 7% (2011 est.) |
| Population below poverty line: | 26.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 33.6% (2009 est.) |
| Distribution of family income - Gini index: | 44.8 (2009) |
| Distribution of family income - Gini index: | 46.6 (2003) |
| Budget: | revenues: $36.35 billion |
| Budget: | expenditures: $42.1 billion (2012 est.) |
| Taxes and other revenues: | 14.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.3% of GDP (2012 est.) |
| Public debt: | 51.5% of GDP (2012 est.) |
| Public debt: | 51% of GDP (2011 est.) |
| Public debt: | note: data cover debt issued by the national government, and excludes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by social security institutions, government-owned and controlled corporations, the Central Bank, and local government units |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.2% (2012 est.) |
| Inflation rate (consumer prices): | 4.7% (2011 est.) |
| Central bank discount rate: | 5.3% (31 December 2012 est.) |
| Central bank discount rate: | 5.6% (31 December 2011 est.) |
