| Economy | PHILIPPINES |
| --- | --- |
| Economy - overview: | The economy has weathered global economic shocks better than its regional peers due to less exposure to troubled international securities, lower dependence on exports, relatively resilient domestic consumption, large remittances from four- to five-million overseas Filipino workers, and a rapidly expanding outsourcing industry. The current account balance has recorded consecutive surpluses since 2003, international reserves remain at comfortable levels, and the banking system is stable; the stock market resumed an upward trajectory in 2014, climbing to new record highs during the first four months of 2015. Efforts to improve tax administration and management of expenditures have helped ease the Philippines' tight fiscal situation and reduce debt levels. Nevertheless, government taxation and spending remain weak. The Philippines has received investment-grade credit ratings on its sovereign debt under the AQUINO administration and has had little difficulty financing its deficits. Economic growth has accelerated, averaging 6.0% per year from 2011-2014, compared with 4.5% under the MACAPAGAL-ARROYO government; competitiveness has improved; and foreign direct investment hit a historic high in 2014, although it continues to lag compared with the rest of the region. Unemployment has remained high, hovering at around 7% of the population, and underemployment is nearly 20%. At least 40% of the employed work in the informal sector and poverty afflicts about a quarter of the population. The AQUINO administration has been working to boost expenditures for education, health, transfers to the poor, and other social spending programs. Infrastructure remains underfunded and the government is relying on the private sector to help with major projects under its Public-Private Partnership program. Other long term challenges include reforming governance, the judicial system, and the regulatory environment, and improving the ease of doing business. The Philippine Constitution and other laws restrict foreign ownership in important activities/sectors - such as land ownership and public utilities. Some progress has been made in establishing a Customs Modernization Act to meet international standards and commitments. |
| GDP (purchasing power parity): | $692.2 billion (2014 est.) |
| GDP (purchasing power parity): | $652.4 billion (2013 est.) |
| GDP (purchasing power parity): | $608.7 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $284.9 billion (2014 est.) |
| GDP - real growth rate: | 6.1% (2014 est.) |
| GDP - real growth rate: | 7.2% (2013 est.) |
| GDP - real growth rate: | 6.8% (2012 est.) |
| GDP - per capita (PPP): | $7,000 (2014 est.) |
| GDP - per capita (PPP): | $6,600 (2013 est.) |
| GDP - per capita (PPP): | $6,100 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 23.9% of GDP (2014 est.) |
| Gross national saving: | 23.8% of GDP (2013 est.) |
| Gross national saving: | 20.9% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 72.5% |
| GDP - composition, by end use: | government consumption: 10.7% |
| GDP - composition, by end use: | investment in fixed capital: 20.5% |
| GDP - composition, by end use: | investment in inventories: -0.8% |
| GDP - composition, by end use: | exports of goods and services: 29.1% |
| GDP - composition, by end use: | imports of goods and services: -32% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.3% |
| GDP - composition, by sector of origin: | industry: 31.2% |
| GDP - composition, by sector of origin: | services: 57.4% (2014 est.) |
| Agriculture - products: | sugarcane, coconuts, rice, corn, bananas, cassava (manioc, tapioca), pineapples, mangoes; pork, eggs, beef; fish |
