| Economy | NIGERIA |
| --- | --- |
| Economy - overview: | Following an April 2014 statistical "rebasing" exercise, Nigeria has emerged as Africa's largest economy, with 2014 GDP estimated at US$479 billion. Oil has been a dominant source of government revenues since the 1970s. Regulatory constraints and security risks have limited new investment in oil and natural gas, and Nigeria's oil production contracted in 2012 and 2013. Nevertheless, the Nigerian economy has continued to grow at a rapid 6%-8% per annum (pre-rebasing), driven by growth in agriculture, telecommunications, and services, and the medium-term outlook for Nigeria is good, assuming oil output stabilizes and oil prices remain strong. Fiscal authorities pursued countercyclical policies in 2011-13, significantly reducing the budget deficit. Monetary policy has also been contractionary. Following the 2008-9 global financial crises, the banking sector was effectively recapitalized and regulation enhanced. Despite its strong fundamentals, oil-rich Nigeria has been hobbled by inadequate power supply, lack of infrastructure, delays in the passage of legislative reforms, an inefficient property registration system, restrictive trade policies, an inconsistent regulatory environment, a slow and ineffective judicial system, unreliable dispute resolution mechanisms, insecurity, and pervasive corruption. Economic diversification and strong growth have not translated into a significant decline in poverty levels - over 62% of Nigeria's 170 million people live in extreme poverty. President JONATHAN has established an economic team that includes experienced and reputable members and has announced plans to increase transparency, continue to diversify production, and further improve fiscal management. The government is working to develop stronger public-private partnerships for roads, agriculture, and power. |
| GDP (purchasing power parity): | $1.049 trillion (2014 est.) |
| GDP (purchasing power parity): | $986.8 billion (2013 est.) |
| GDP (purchasing power parity): | $936.3 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $573.7 billion (2014 est.) |
| GDP - real growth rate: | 6.3% (2014 est.) |
| GDP - real growth rate: | 5.4% (2013 est.) |
| GDP - real growth rate: | 4.3% (2012 est.) |
| GDP - per capita (PPP): | $6,000 (2014 est.) |
| GDP - per capita (PPP): | $5,700 (2013 est.) |
| GDP - per capita (PPP): | $5,400 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 17.4% of GDP (2014 est.) |
| Gross national saving: | 18.6% of GDP (2013 est.) |
| Gross national saving: | 19.3% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 72.5% |
| GDP - composition, by end use: | government consumption: 8.4% |
| GDP - composition, by end use: | investment in fixed capital: 16.4% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 14.9% |
| GDP - composition, by end use: | imports of goods and services: -12.1% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.6% |
| GDP - composition, by sector of origin: | industry: 25.6% |
| GDP - composition, by sector of origin: | services: 53.8% (2014 est.) |
