| Economy | Nigeria |
| --- | --- |
| Economy - overview: | Oil-rich Nigeria has been hobbled by political instability, corruption, inadequate infrastructure, and poor macroeconomic management, but in 2008 began pursuing economic reforms. Nigeria's former military rulers failed to diversify the economy away from its overdependence on the capital-intensive oil sector, which provides 95% of foreign exchange earnings and about 80% of budgetary revenues. Following the signing of an IMF stand-by agreement in August 2000, Nigeria received a debt-restructuring deal from the Paris Club and a $1 billion credit from the IMF, both contingent on economic reforms. Nigeria pulled out of its IMF program in April 2002, after failing to meet spending and exchange rate targets, making it ineligible for additional debt forgiveness from the Paris Club. In November 2005, Abuja won Paris Club approval for a debt-relief deal that eliminated $18 billion of debt in exchange for $12 billion in payments - a total package worth $30 billion of Nigeria's total $37 billion external debt. Since 2008 the government has begun to show the political will to implement the market-oriented reforms urged by the IMF, such as modernizing the banking system, removing subsidies, and resolving regional disputes over the distribution of earnings from the oil industry. GDP rose strongly in 2007-12 because of growth in non-oil sectors and robust global crude oil prices. President JONATHAN has established an economic team that includes experienced and reputable members and has announced plans to increase transparency, diversify economic growth, and improve fiscal management. Lack of infrastructure and slow implementation of reforms are key impediments to growth. The government is working toward developing stronger public-private partnerships for roads, agriculture, and power. Nigeria's financial sector was hurt by the global financial and economic crises, but the Central Bank governor has taken measures to restructure and strengthen the sector to include imposing mandatory higher minimum capital requirements. |
| GDP (purchasing power parity): | $444.3 billion (2012 est.) |
| GDP (purchasing power parity): | $416.9 billion (2011 est.) |
| GDP (purchasing power parity): | $388.3 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $266.6 billion (2012 est.) |
| GDP - real growth rate: | 6.6% (2012 est.) |
| GDP - real growth rate: | 7.4% (2011 est.) |
| GDP - real growth rate: | 8% (2010 est.) |
| GDP - per capita (PPP): | $2,700 (2012 est.) |
| GDP - per capita (PPP): | $2,600 (2011 est.) |
| GDP - per capita (PPP): | $2,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 15.9% of GDP (2012 est.) |
| Gross national saving: | 15.4% of GDP (2011 est.) |
| Gross national saving: | 17.9% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 47.4% |
| GDP - composition, by end use: | government consumption: 11.8% |
| GDP - composition, by end use: | investment in fixed capital: 8.2% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 55.4% |
| GDP - composition, by end use: | imports of goods and services: -22.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 30.9% |
| GDP - composition, by sector of origin: | industry: 43% |
| GDP - composition, by sector of origin: | services: 26% (2012 est.) |
| Agriculture - products: | cocoa, peanuts, cotton, palm oil, corn, rice, sorghum, millet, cassava (tapioca), yams, rubber; cattle, sheep, goats, pigs; timber; fish |
| Industries: | crude oil, coal, tin, columbite; rubber products, wood; hides and skins, textiles, cement and other construction materials, food products, footwear, chemicals, fertilizer, printing, ceramics, steel |
| Industrial production growth rate: | 2.3% (2012 est.) |
