| Economy | Uruguay |
| --- | --- |
| Economy - overview: | Uruguay has a free market economy characterized by an export-oriented agricultural sector, a well-educated workforce, and high levels of social spending. Uruguay has sought to expand trade within the Common Market of the South (Mercosur) and with non-Mercosur members, and President VAZQUEZ has maintained his predecessor's mix of pro-market policies and a strong social safety net.Â  |
| Economy - overview: | Following financial difficulties in the late 1990s and early 2000s, Uruguay's economic growth averaged 8% annually during the 2004-08 period. The 2008-09 global financial crisis put a brake on Uruguay's vigorous growth, which decelerated to 2.6% in 2009. Nevertheless, the country avoided a recession and kept growth rates positive, mainly through higher public expenditure and investment; GDP growth reached 8.9% in 2010 but slowed markedly in the 2012-16 period as a result of a renewed slowdown in the global economy and in Uruguay's main trade partners and Mercosur counterparts, Argentina and Brazil. Reforms in those countries should give Uruguay an economic boost. Growth picked up in 2017. |
| GDP (purchasing power parity): | $78.16 billion (2017 est.) |
| GDP (purchasing power parity): | $76.14 billion (2016 est.) |
| GDP (purchasing power parity): | $74.87 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $59.18 billion (2017 est.) |
| GDP - real growth rate: | 2.7% (2017 est.) |
| GDP - real growth rate: | 1.7% (2016 est.) |
| GDP - real growth rate: | 0.4% (2015 est.) |
| GDP - per capita (PPP): | $22,400 (2017 est.) |
| GDP - per capita (PPP): | $21,900 (2016 est.) |
| GDP - per capita (PPP): | $21,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 17.2% of GDP (2017 est.) |
| Gross national saving: | 18.6% of GDP (2016 est.) |
| Gross national saving: | 18.7% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 66.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16.7% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 21.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -18.4% (2017 est.) |
