| Economy | URUGUAY |
| --- | --- |
| Economy - overview: | Uruguay has a free market economy characterized by an export-oriented agricultural sector, a well-educated workforce, and high levels of social spending. Uruguay has sought to expand trade within the Common Market of the South (Mercosur) and with non-Mercosur members, and President VAZQUEZ has maintained his predecessor’s mix of pro-market policies and a strong social safety net. |
| Economy - overview: | Following financial difficulties in the late 1990s and early 2000s, Uruguay's economic growth averaged 8% annually during the period 2004-08. The 2008-09 global financial crisis put a brake on Uruguay's vigorous growth, which decelerated to 2.6% in 2009. Nevertheless, the country managed to avoid a recession and keep positive growth rates, mainly through higher public expenditure and investment; GDP growth reached 8.9% in 2010 but slowed in 2012-13 as a result of a renewed slowdown in the global economy and in Uruguay's main trade partners and Mercosur counterparts, Argentina and Brazil. |
| GDP (purchasing power parity): | $71.43 billion (2015 est.) |
| GDP (purchasing power parity): | $70.39 billion (2014 est.) |
| GDP (purchasing power parity): | $68.01 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $53.79 billion (2015 est.) |
| GDP - real growth rate: | 1.5% (2015 est.) |
| GDP - real growth rate: | 3.5% (2014 est.) |
| GDP - real growth rate: | 5.1% (2013 est.) |
| GDP - per capita (PPP): | $21,500 (2015 est.) |
| GDP - per capita (PPP): | $21,300 (2014 est.) |
| GDP - per capita (PPP): | $20,600 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 16.1% of GDP (2015 est.) |
| Gross national saving: | 16.4% of GDP (2014 est.) |
| Gross national saving: | 18.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 66.7% |
| GDP - composition, by end use: | government consumption: 13.9% |
| GDP - composition, by end use: | investment in fixed capital: 19.8% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 22.3% |
| GDP - composition, by end use: | imports of goods and services: -22.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.2% |
| GDP - composition, by sector of origin: | industry: 25% |
| GDP - composition, by sector of origin: | services: 68.7% (2015 est.) |
| Agriculture - products: | soybeans, rice, wheat; beef, dairy products; fish; lumber, cellulose |
| Industries: | food processing, electrical machinery, transportation equipment, petroleum products, textiles, chemicals, beverages |
| Industrial production growth rate: | 1.2% (2015 est.) |
| Labor force: | 1.725 million (2015 est.) |
| Labor force - by occupation: | agriculture: 13% |
| Labor force - by occupation: | industry: 14% |
| Labor force - by occupation: | services: 73% (2010 est.) |
| Unemployment rate: | 7.5% (2015 est.) |
| Unemployment rate: | 6.6% (2014 est.) |
| Population below poverty line: | 18.6% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 34.4% (2010 est.) |
| Distribution of family income - Gini index: | 45.3 (2010) |
| Distribution of family income - Gini index: | 44.8 (1999) |
| Budget: | revenues: $15.21 billion |
| Budget: | expenditures: $17.11 billion (2015 est.) |
| Taxes and other revenues: | 28.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.5% of GDP (2015 est.) |
| Public debt: | 66.3% of GDP (2015 est.) |
| Public debt: | 61% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.7% (2015 est.) |
| Inflation rate (consumer prices): | 8.9% (2014 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 8.75% (31 December 2011) |
| Central bank discount rate: | note: Uruguay's central bank uses the benchmark interest rate, rather than the discount rate, to conduct monetary policy; the rates shown here are the benchmark rates |
| Commercial bank prime lending rate: | 15.84% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 15.53% (31 December 2014 est.) |
| Stock of narrow money: | $4.022 billion (31 December 2015 est.) |
| Stock of narrow money: | $4.89 billion (31 December 2014 est.) |
| Stock of broad money: | $8.568 billion (31 December 2014 est.) |
| Stock of broad money: | $8.919 billion (31 December 2013 est.) |
| Stock of domestic credit: | $17.2 billion (31 December 2015 est.) |
| Stock of domestic credit: | $19.67 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $175.4 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $174.6 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $156.9 million (31 December 2010 est.) |
| Current account balance: | -$2.12 billion (2015 est.) |
| Current account balance: | -$2.494 billion (2014 est.) |
| Exports: | $9.067 billion (2015 est.) |
| Exports: | $10.34 billion (2014 est.) |
| Exports - commodities: | beef, soybeans, cellulose, rice, wheat, wood, dairy products; wool |
| Exports - partners: | China 15%, Brazil 14.4%, US 6.5%, Argentina 4.9% (2015) |
| Imports: | $9.345 billion (2015 est.) |
| Imports: | $11.25 billion (2014 est.) |
| Imports - commodities: | refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones |
| Imports - partners: | Brazil 18.2%, China 17.4%, Argentina 12.6%, US 9.1%, Germany 4.5%, Nigeria 4.1% (2015) |
| Reserves of foreign exchange and gold: | $15.63 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $17.55 billion (31 December 2014 est.) |
| Debt - external: | $20.07 billion (31 December 2015 est.) |
| Debt - external: | $19.03 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $21.65 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $21.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $153.5 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $139.2 million (31 December 2014 est.) |
| Exchange rates: | Uruguayan pesos (UYU) per US dollar - |
| Exchange rates: | 27.52 (2015 est.) |
| Exchange rates: | 23.246 (2014 est.) |
| Exchange rates: | 23.246 (2013 est.) |
| Exchange rates: | 20.31 (2012 est.) |
| Exchange rates: | 19.314 (2011 est.) |
