| Economy | PERU |
| --- | --- |
| Economy - overview: | Peru's economy reflects its varied topography - an arid lowland coastal region, the central high sierra of the Andes, the dense forest of the Amazon, with tropical lands bordering Colombia and Brazil. A wide range of important mineral resources are found in the mountainous and coastal areas, and Peru's coastal waters provide excellent fishing grounds. Peru is the world's second largest producer of silver and third largest producer of copper. |
| Economy - overview: | The Peruvian economy grew by an average of 5.6% from 2009-13 with a stable exchange rate and low inflation, which in 2013 was just below the upper limit of the Central Bank target range of 1% to 3%. This growth was due partly to high international prices for Peru's metals and minerals exports, which account for almost 60% of the country's total exports. Growth slipped in 2014 and 2015, due to weaker world prices for these resources. Despite Peru's strong macroeconomic performance, dependence on minerals and metals exports and imported foodstuffs makes the economy vulnerable to fluctuations in world prices. |
| Economy - overview: | Peru's rapid expansion coupled with cash transfers and other programs have helped to reduce the national poverty rate by 28 percentage points since 2002, but inequality persists and continues to pose a challenge for the Ollanta HUMALA administration, which has championed a policy of social inclusion and a more equitable distribution of income. Poor infrastructure hinders the spread of growth to Peru's non-coastal areas. The HUMALA administration passed several economic stimulus packages in 2014 to bolster growth, including reforms to environmental regulations in order to spur investment in Peru’s lucrative mining sector, a move that was opposed by some environmental groups. However, in 2015, mining investment fell as global commodity prices remained low and social conflicts plagued the sector. |
| Economy - overview: | Peru's free trade policy has continued under the HUMALA administration; since 2006, Peru has signed trade deals with the US, Canada, Singapore, China, Korea, Mexico, Japan, the EU, the European Free Trade Association, Chile, Thailand, Costa Rica, Panama, Venezuela, concluded negotiations with Guatemala and the Trans-Pacific Partnership, and begun trade talks with Honduras, El Salvador, India, Indonesia, and Turkey. Peru also has signed a trade pact with Chile, Colombia, and Mexico, called the Pacific Alliance, that seeks integration of services, capital, investment and movement of people. Since the US-Peru Trade Promotion Agreement entered into force in February 2009, total trade between Peru and the US has doubled. |
| GDP (purchasing power parity): | $389.1 billion (2015 est.) |
| GDP (purchasing power parity): | $376.9 billion (2014 est.) |
| GDP (purchasing power parity): | $368.1 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $192.1 billion (2015 est.) |
| GDP - real growth rate: | 3.3% (2015 est.) |
| GDP - real growth rate: | 2.4% (2014 est.) |
| GDP - real growth rate: | 5.9% (2013 est.) |
| GDP - per capita (PPP): | $12,200 (2015 est.) |
| GDP - per capita (PPP): | $12,000 (2014 est.) |
| GDP - per capita (PPP): | $11,900 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 21.6% of GDP (2015 est.) |
| Gross national saving: | 22.3% of GDP (2014 est.) |
| Gross national saving: | 23.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 63.5% |
| GDP - composition, by end use: | government consumption: 13% |
| GDP - composition, by end use: | investment in fixed capital: 24.3% |
| GDP - composition, by end use: | investment in inventories: 1.6% |
| GDP - composition, by end use: | exports of goods and services: 21.1% |
| GDP - composition, by end use: | imports of goods and services: -23.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.3% |
| GDP - composition, by sector of origin: | industry: 34.6% |
| GDP - composition, by sector of origin: | services: 58.1% (2015 est.) |
| Agriculture - products: | artichokes, asparagus, avocados, blueberries, coffee, cocoa, cotton, sugarcane, rice, potatoes, corn, plantains, grapes, oranges, pineapples, guavas, bananas, apples, lemons, pears, coca, tomatoes, mangoes, barley, medicinal plants, quinoa, palm oil, marigold, onion, wheat, dry beans; poultry, beef, pork, dairy products; guinea pigs; fish |
| Industries: | mining and refining of minerals; steel, metal fabrication; petroleum extraction and refining, natural gas and natural gas liquefaction; fishing and fish processing, cement, glass, textiles, clothing, food processing, beer, soft drinks, rubber, machinery, electrical machinery, chemicals, furniture |
| Industrial production growth rate: | 1.5% (2015 est.) |
| Labor force: | 16.64 million |
| Labor force: | note: individuals older than 14 years of age (2015 est.) |
| Labor force - by occupation: | agriculture: 25.8% |
| Labor force - by occupation: | industry: 17.4% |
| Labor force - by occupation: | services: 56.8% (2011) |
| Unemployment rate: | 5.2% (2015 est.) |
| Unemployment rate: | 5.5% (2014 est.) |
| Unemployment rate: | note: data are for metropolitan Lima; widespread underemployment |
| Population below poverty line: | 25.8% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2010 est.) |
| Distribution of family income - Gini index: | 45.3 (2012) |
| Distribution of family income - Gini index: | 51 (2005) |
| Budget: | revenues: $56.71 billion |
| Budget: | expenditures: $60.8 billion (2015 est.) |
| Taxes and other revenues: | 29.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2015 est.) |
| Public debt: | 23.3% of GDP (2015 est.) |
| Public debt: | 20.1% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.5% (2015 est.) |
| Inflation rate (consumer prices): | 3.2% (2014 est.) |
| Inflation rate (consumer prices): | note: data are for metropolitan Lima, annual average |
| Central bank discount rate: | 5.05% (31 December 2012) |
| Central bank discount rate: | 5.05% (31 December 2011) |
| Commercial bank prime lending rate: | 16.1% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 15.74% (31 December 2014 est.) |
| Commercial bank prime lending rate: | note: domestic currency lending rate, 90 day maturity |
| Stock of narrow money: | $29.86 billion (31 December 2015 est.) |
| Stock of narrow money: | $32.93 billion (31 December 2014 est.) |
| Stock of broad money: | $91.26 billion (31 December 2014 est.) |
| Stock of broad money: | $84.1 billion (31 December 2013 est.) |
| Stock of domestic credit: | $49.92 billion (31 December 2015 est.) |
| Stock of domestic credit: | $48.12 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $153.4 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $121.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $160.9 billion (31 December 2013 est.) |
| Current account balance: | -$8.431 billion (2015 est.) |
| Current account balance: | -$8.091 billion (2014 est.) |
| Exports: | $34.16 billion (2015 est.) |
| Exports: | $39.53 billion (2014 est.) |
| Exports - commodities: | copper, gold, lead, zinc, tin, iron ore, molybdenum, silver; crude petroleum and petroleum products, natural gas; coffee, asparagus and other vegetables, fruit, apparel and textiles, fishmeal, fish, chemicals, fabricated metal products and machinery, alloys |
| Exports - partners: | China 22.1%, US 15.2%, Switzerland 8.1%, Canada 7% (2015) |
| Imports: | $36.99 billion (2015 est.) |
| Imports: | $40.48 billion (2014 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, plastics, machinery, vehicles, TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines |
| Imports - partners: | China 22.7%, US 20.7%, Brazil 5.1%, Mexico 4.5% (2015) |
| Reserves of foreign exchange and gold: | $61.59 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $62.51 billion (31 December 2014 est.) |
| Debt - external: | $67.87 billion (31 December 2015 est.) |
| Debt - external: | $66.47 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $86.11 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $79.71 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $2.815 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.127 billion (31 December 2014 est.) |
| Exchange rates: | nuevo sol (PEN) per US dollar - |
| Exchange rates: | 3.185 (2015 est.) |
| Exchange rates: | 2.8383 (2014 est.) |
| Exchange rates: | 2.8383 (2013 est.) |
| Exchange rates: | 2.64 (2012 est.) |
| Exchange rates: | 2.7541 (2011 est.) |
