| Economy | LITHUANIA |
| Public debt: | note: official data; data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.7% (2015 est.) |
| Inflation rate (consumer prices): | 0.2% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2013) |
| Central bank discount rate: | 0.3% (31 December 2012) |
| Commercial bank prime lending rate: | 3.1% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 3.5% (31 December 2014 est.) |
| Stock of narrow money: | $19.4 billion (31 December 2015 est.) |
| Stock of narrow money: | $14.67 billion (31 December 2014 est.) |
| Stock of broad money: | $22.25 billion (31 December 2014 est.) |
| Stock of broad money: | $22.41 billion (31 December 2013 est.) |
| Stock of domestic credit: | $24.43 billion (31 December 2015 est.) |
| Stock of domestic credit: | $22.34 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $3.964 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $4.075 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $5.661 billion (31 December 2010 est.) |
| Current account balance: | -$932 million (2015 est.) |
| Current account balance: | $1.734 billion (2014 est.) |
| Exports: | $24.81 billion (2015 est.) |
| Exports: | $31.5 billion (2014 est.) |
| Exports - commodities: | refined fuel, machinery and equipment, chemicals, textiles, foodstuffs, plastics |
| Exports - partners: | Russia 13.7%, Latvia 9.8%, Poland 9.7%, Germany 7.8%, Estonia 5.3%, Belarus 4.6%, UK 4.5%, US 4.4%, Netherlands 4% (2015) |
| Imports: | $26.93 billion (2015 est.) |
| Imports: | $32.75 billion (2014 est.) |
| Imports - commodities: | oil, natural gas, machinery and equipment, transport equipment, chemicals, textiles and clothing, metals |
| Imports - partners: | Russia 16.9%, Germany 11.5%, Poland 10.3%, Latvia 7.6%, Netherlands 5.1%, Italy 4.5% (2015) |
| Reserves of foreign exchange and gold: | $1.697 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $8.728 billion (31 December 2014 est.) |
| Debt - external: | $30.81 billion (31 December 2014 est.) |
| Debt - external: | $33.64 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $15.63 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $17.19 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $3.427 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.404 billion (31 December 2014 est.) |
| Exchange rates: | litai (LTL) per US dollar - |
| Exchange rates: | 0.9012 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7525 (2013 est.) |
| Exchange rates: | 2.69 (2012 est.) |
| Exchange rates: | 2.481 (2011 est.) |
