| Economy | Lithuania |
| --- | --- |
| Economy - overview: | After the country declared independence from the Soviet Union in 1990, Lithuania faced an initial dislocation that is typical during transitions from a planned economy to a free-market economy. Macroeconomic stabilization policies, including privatization of most state-owned enterprises, and a strong commitment to a currency board arrangement led to an open and rapidly growing economy and rising consumer demand. Foreign investment and EU funding aided in the transition. Lithuania joined the WTO in May 2001, the EU in May 2004, and the euro zone in January 2015, and is now working to complete the OECD accession roadmap it received in July 2015. In 2017, joined the OECD Working Group on Bribery, an important step in the OECD accession process. |
| Economy - overview: | The Lithuanian economy was severely hit by the 2008-09 global financial crisis, but it has rebounded and become one of the fastest growing in the EU. Increases in exports, investment, and wage growth that supported consumption helped the economy grow by 3.6% in 2017. In 2015, Russia was Lithuaniaâ€™s largest trading partner, followed by Poland, Germany, and Latvia; goods and services trade between the US and Lithuania totaled $2.2 billion. Lithuania opened a self-financed liquefied natural gas terminal in January 2015, providing the first non-Russian supply of natural gas to the Baltic States and reducing Lithuaniaâ€™s dependence on Russian gas from 100% to approximately 30% in 2016. |
| Economy - overview: | Lithuaniaâ€™s ongoing recovery hinges on improving the business environment, especially by liberalizing labor laws, and improving competitiveness and export growth, the latter hampered by economic slowdowns in the EU and Russia. In addition, a steady outflow of young and highly educated people is causing a shortage of skilled labor, which, combined with a rapidly aging population, could stress public finances and constrain long-term growth. |
| GDP (purchasing power parity): | $91.47 billion (2017 est.) |
| GDP (purchasing power parity): | $88.07 billion (2016 est.) |
| GDP (purchasing power parity): | $86.05 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $47.26 billion (2017 est.) |
| GDP - real growth rate: | 3.9% (2017 est.) |
| GDP - real growth rate: | 2.3% (2016 est.) |
| GDP - real growth rate: | 2% (2015 est.) |
| GDP - per capita (PPP): | $32,400 (2017 est.) |
| GDP - per capita (PPP): | $30,700 (2016 est.) |
| GDP - per capita (PPP): | $29,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 18% of GDP (2017 est.) |
| Gross national saving: | 16.2% of GDP (2016 est.) |
| Gross national saving: | 17.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 63.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 16.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -1.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 81.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -79.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 29.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 67.2% (2017 est.) |
| Agriculture - products: | grain, potatoes, sugar beets, flax, vegetables; beef, milk, eggs, pork, cheese; fish |
| Industries: | metal-cutting machine tools, electric motors, televisions, refrigerators and freezers, petroleum refining, shipbuilding (small ships), furniture, textiles, food processing, fertilizer, agricultural machinery, optical equipment, lasers, electronic components, computers, amber jewelry, information technology, video game development, app/software development, biotechnology |
| Industrial production growth rate: | 5.9% (2017 est.) |
| Labor force: | 1.467 million (2017 est.) |
| Labor force - by occupation: | agriculture: 9.1% |
| Labor force - by occupation: | industry: 25.2% |
| Labor force - by occupation: | services: 65.8% (2015 est.) |
| Unemployment rate: | 7.1% (2017 est.) |
| Unemployment rate: | 7.9% (2016 est.) |
| Population below poverty line: | 22.2% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 28.8% (2015) |
| Distribution of family income - Gini index: | 37.9 (2015) |
| Distribution of family income - Gini index: | 35 (2014) |
| Budget: | revenues: 15.92 billion (2017 est.) |
| Budget: | expenditures: 15.7 billion (2017 est.) |
| Taxes and other revenues: | 33.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 0.5% (of GDP) (2017 est.) |
| Public debt: | 39.7% of GDP (2017 est.) |
| Public debt: | 40.1% of GDP (2016 est.) |
| Public debt: | note: official data; data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.7% (2017 est.) |
| Inflation rate (consumer prices): | 0.7% (2016 est.) |
| Central bank discount rate: | 0% (31 December 2017 est.) |
| Central bank discount rate: | 0.05% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 2.8% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 2.83% (31 December 2016 est.) |
| Stock of narrow money: | $25.61 billion (31 December 2017 est.) |
| Stock of narrow money: | $20.93 billion (31 December 2016 est.) |
| Stock of broad money: | $25.61 billion (31 December 2017 est.) |
| Stock of broad money: | $20.93 billion (31 December 2016 est.) |
| Stock of domestic credit: | $36.91 billion (31 December 2017 est.) |
| Stock of domestic credit: | $28.55 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $6.76 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $6.799 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $7.127 billion (31 December 2014 est.) |
| Current account balance: | $364 million (2017 est.) |
| Current account balance: | -$479 million (2016 est.) |
| Exports: | $29.12 billion (2017 est.) |
| Exports: | $24.23 billion (2016 est.) |
| Exports - partners: | Russia 15%, Latvia 9.9%, Poland 8.1%, Germany 7.3%, US 5.2%, Estonia 5%, Sweden 4.8% (2017) |
| Exports - commodities: | refined fuel, machinery and equipment, chemicals, textiles, foodstuffs, plastics |
| Imports: | $31.56 billion (2017 est.) |
| Imports: | $26.21 billion (2016 est.) |
| Imports - commodities: | oil, natural gas, machinery and equipment, transport equipment, chemicals, textiles and clothing, metals |
