| Economy | Lithuania |
| --- | --- |
| Economic overview: | After the country declared independence from the Soviet Union in 1990, Lithuania faced an initial dislocation that is typical during transitions from a planned economy to a free-market economy. Macroeconomic stabilization policies, including privatization of most state-owned enterprises, and a strong commitment to a currency board arrangement led to an open and rapidly growing economy and rising consumer demand. Foreign investment and EU funding aided in the transition. Lithuania joined the WTO in May 2001, the EU in May 2004, and the euro zone in January 2015, and is now working to complete the OECD accession roadmap it received in July 2015. In 2017, joined the OECD Working Group on Bribery, an important step in the OECD accession process. |
| Economic overview: | The Lithuanian economy was severely hit by the 2008-09 global financial crisis, but it has rebounded and become one of the fastest growing in the EU. Increases in exports, investment, and wage growth that supported consumption helped the economy grow by 3.6% in 2017. In 2015, Russia was Lithuaniaâ€™s largest trading partner, followed by Poland, Germany, and Latvia; goods and services trade between the US and Lithuania totaled $2.2 billion. Lithuania opened a self-financed liquefied natural gas terminal in January 2015, providing the first non-Russian supply of natural gas to the Baltic States and reducing Lithuaniaâ€™s dependence on Russian gas from 100% to approximately 30% in 2016. |
| Economic overview: | Lithuaniaâ€™s ongoing recovery hinges on improving the business environment, especially by liberalizing labor laws, and improving competitiveness and export growth, the latter hampered by economic slowdowns in the EU and Russia. In addition, a steady outflow of young and highly educated people is causing a shortage of skilled labor, which, combined with a rapidly aging population, could stress public finances and constrain long-term growth. |
| GDP real growth rate: | 4.33% (2019 est.) |
| GDP real growth rate: | 3.99% (2018 est.) |
| GDP real growth rate: | 4.37% (2017 est.) |
| Inflation rate (consumer prices): | 2.3% (2019 est.) |
| Inflation rate (consumer prices): | 2.7% (2018 est.) |
| Inflation rate (consumer prices): | 3.7% (2017 est.) |
| Credit ratings: | Fitch rating: A (2020) |
| Credit ratings: | Moody's rating: A3 (2015) |
| Credit ratings: | Standard & Poors rating: A+ (2020) |
| GDP (purchasing power parity) - real: | $96.258 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $92.269 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $88.726 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $54.597 billion (2019 est.) |
| GDP - per capita (PPP): | $18,844 (2019 est.) |
| GDP - per capita (PPP): | $17,794 (2018 est.) |
| GDP - per capita (PPP): | $16,846 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 18% of GDP (2017 est.) |
| Gross national saving: | 16.2% of GDP (2016 est.) |
| Gross national saving: | 17.8% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 29.4% (2017 est.) |
| GDP - composition, by sector of origin: | services: 67.2% (2017 est.) |
| GDP - composition, by end use: | household consumption: 63.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 16.6% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.8% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -1.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 81.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -79.3% (2017 est.) |
