| Economy | RWANDA |
| --- | --- |
| Economy - overview: | Rwanda is a rural country with about 90% of the population engaged in subsistence agriculture and some mineral and agro-processing. Tourism, minerals, coffee and tea are Rwanda's main sources of foreign exchange. Despite Rwanda's fertile ecosystem, food production often does not keep pace with demand, requiring food imports. Energy shortages, instability in neighboring states, and lack of adequate transportation linkages to other countries continue to handicap private sector growth. |
| Economy - overview: | The 1994 genocide decimated Rwanda's fragile economic base, severely impoverished the population, particularly women, and temporarily stalled the country's ability to attract private and external investment. However, Rwanda has made substantial progress in stabilizing and rehabilitating its economy to pre-1994 levels. GDP has rebounded with an average annual growth of 7%-8% since 2003 and inflation has been reduced to single digits. Nonetheless, in 2015, 39% of the population lived below the poverty line, according to government statistics, compared to 57% in 2006. |
| Economy - overview: | Africa's most densely populated country is trying to overcome the limitations of its small, landlocked economy by leveraging regional trade; Rwanda joined the East African Community and is aligning its budget, trade, and immigration policies with its regional partners. The government has embraced an expansionary fiscal policy to reduce poverty by improving education, infrastructure, and foreign and domestic investment, and pursuing market-oriented reforms. In recognition of Rwanda's successful management of its macro economy, in 2010, the IMF graduated Rwanda to a Policy Support Instrument. |
| Economy - overview: | The Rwandan Government is seeking to become a regional leader in information and communication technologies. In 2012, Rwanda completed the first modern Special Economic Zone (SEZ) in Kigali. The SEZ seeks to attract investment in all sectors, but specifically in agribusiness, information and communications, trade and logistics, mining, and construction. |
| GDP (purchasing power parity): | $20.42 billion (2015 est.) |
| GDP (purchasing power parity): | $19.1 billion (2014 est.) |
| GDP (purchasing power parity): | $17.85 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $8.267 billion (2015 est.) |
| GDP - real growth rate: | 6.9% (2015 est.) |
| GDP - real growth rate: | 7% (2014 est.) |
| GDP - real growth rate: | 4.7% (2013 est.) |
| GDP - per capita (PPP): | $1,800 (2015 est.) |
| GDP - per capita (PPP): | $1,700 (2014 est.) |
| GDP - per capita (PPP): | $1,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 12.8% of GDP (2015 est.) |
| Gross national saving: | 12.9% of GDP (2014 est.) |
| Gross national saving: | 15.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 77.8% |
| GDP - composition, by end use: | government consumption: 12.3% |
| GDP - composition, by end use: | investment in fixed capital: 25.7% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 14.4% |
| GDP - composition, by end use: | imports of goods and services: -30.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 34.6% |
| GDP - composition, by sector of origin: | industry: 15.1% |
| GDP - composition, by sector of origin: | services: 50.3% (2015 est.) |
| Agriculture - products: | coffee, tea, pyrethrum (insecticide made from chrysanthemums), bananas, beans, sorghum, potatoes; livestock |
| Industries: | cement, agricultural products, small-scale beverages, soap, furniture, shoes, plastic goods, textiles, cigarettes |
| Industrial production growth rate: | 6.5% (2015 est.) |
| Labor force: | 5.852 million (2015 est.) |
| Labor force - by occupation: | agriculture: 90% |
| Labor force - by occupation: | industry and services: 10% (2000) |
| Unemployment rate: | NA% |
| Population below poverty line: | 39.1% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 43.2% (2011 est.) |
| Distribution of family income - Gini index: | 46.8 (2000) |
| Distribution of family income - Gini index: | 28.9 (1985) |
| Budget: | revenues: $1.969 billion |
