| Economy | Moldova |
| --- | --- |
| Economy - overview: | Moldova remains one of the poorest countries in Europe despite recent progress from its small economic base. With its moderate climate and good farmland, Moldova's economy relies heavily on its agriculture sector, featuring fruits, vegetables, wine, and tobacco. With few natural energy resources, Moldova imports almost all of its energy supplies from Russia and Ukraine. Moldova's dependence on Russian energy is underscored by an estimated $4.3 billion debt to Russian natural gas supplier Gazprom due largely to unreimbursed natural gas consumption in the separatist Transnistria region. Previous Russian decisions to ban Moldovan wine and agricultural products, coupled with their decision to double the price Moldova paid for Russian natural gas and the large debt continue to hamper economic growth. Moldova also depends heavily on the annual $1 billion in remittances from the estimated one million Moldovans working in Europe and former Soviet Bloc countries. During the global financial crisis in 2009, Moldova experienced a 6% contraction of its GDP, a shrinkage due to increased unemployment and decrease in remittances. To stabilize the country, the IMF allocated $186 million to Moldova to cover its immediate budgetary needs in the fall of 2009, and the Moldovan Government agreeing with the IMF to a new program worth $574 million. In 2010, an upturn in the world economy boosted GDP growth to about 7% and inflation to more than 7%. Economic reforms have been slow because of corruption and strong political forces backing government controls. Nevertheless, the government's primary goal of EU integration has resulted in some market-oriented progress. The granting of EU trade preferences has encouraged higher growth rates, but the agreements are unlikely to serve as a panacea, given the extent to which export success depends on higher quality standards and other factors. The economy had modest growth in 2011, expanding by 6.8%. However, in 2012, with the Euro crisis and a devastating drought, Moldova's GDP stalled at an estimated 0.3% growth over 2011. Moldova's economic future remains vulnerable to political uncertainty, weak administrative capacity, vested bureaucratic interests, higher fuel prices and the concerns of foreign investors as well as the presence of an illegal separatist regime in Moldova's Transnistria region. |
| GDP (purchasing power parity): | $12.03 billion (2012 est.) |
| GDP (purchasing power parity): | $12.12 billion (2011 est.) |
| GDP (purchasing power parity): | $11.35 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $7.154 billion (2012 est.) |
| GDP - real growth rate: | -0.8% (2012 est.) |
| GDP - real growth rate: | 6.8% (2011 est.) |
| GDP - real growth rate: | 7.1% (2010 est.) |
| GDP - per capita (PPP): | $3,400 (2012 est.) |
| GDP - per capita (PPP): | $3,400 (2011 est.) |
| GDP - per capita (PPP): | $3,200 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 16.1% of GDP (2012 est.) |
| Gross national saving: | 11.8% of GDP (2011 est.) |
| Gross national saving: | 16.1% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 97.2% |
| GDP - composition, by end use: | government consumption: 22.3% |
| GDP - composition, by end use: | investment in fixed capital: 21.8% |
| GDP - composition, by end use: | investment in inventories: 1.5% |
| GDP - composition, by end use: | exports of goods and services: 45.2% |
| GDP - composition, by end use: | imports of goods and services: -88% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.1% |
| GDP - composition, by sector of origin: | industry: 19.8% |
| GDP - composition, by sector of origin: | services: 67.1% (2012 est.) |
| Agriculture - products: | vegetables, fruits, grapes, grain, sugar beets, sunflower seed, tobacco; beef, milk; wine |
| Industries: | sugar, vegetable oil, food processing, agricultural machinery; foundry equipment, refrigerators and freezers, washing machines; hosiery, shoes, textiles |
| Industrial production growth rate: | -3% (2012 est.) |
| Labor force: | 1.215 million (2012 est.) |
| Labor force - by occupation: | agriculture: 27.5% |
| Labor force - by occupation: | industry: 13.1% |
| Labor force - by occupation: | services: 59.4% (2011 est.) |
| Unemployment rate: | 5.6% (2012 est.) |
| Unemployment rate: | 6.7% (2011 est.) |
| Population below poverty line: | 21.9% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 26% (2010 est.) |
| Distribution of family income - Gini index: | 38 (2008) |
| Distribution of family income - Gini index: | 33.2 (2003) |
| Budget: | revenues: $2.749 billion |
| Budget: | expenditures: $2.9 billion (2012 est.) |
| Taxes and other revenues: | 38.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2012 est.) |
| Public debt: | 17.8% of GDP (2012 est.) |
| Public debt: | 18.9% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.5% (2012 est.) |
| Inflation rate (consumer prices): | 7.6% (2011 est.) |
| Commercial bank prime lending rate: | 13.4% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 14.44% (31 December 2011 est.) |
| Stock of narrow money: | $1.708 billion (31 December 2012 est.) |
| Stock of narrow money: | $1.484 billion (31 December 2011 est.) |
| Stock of broad money: | $3.498 billion (31 December 2011 est.) |
| Stock of broad money: | $3.049 billion (31 December 2010 est.) |
| Stock of domestic credit: | $2.908 billion (31 December 2012 est.) |
| Stock of domestic credit: | $2.772 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $20.7 million (31 December 2010 est.) |
| Market value of publicly traded shares: | $22 million (31 December 2010) |
| Current account balance: | $-510.9 million (2012 est.) |
| Current account balance: | $-790.4 million (2011 est.) |
| Exports: | $2.228 billion (2012 est.) |
| Exports: | $2.277 billion (2011 est.) |
| Exports - commodities: | foodstuffs, textiles, machinery |
| Exports - partners: | Russia 20.8%, Romania 19.8%, Italy 11.5%, Turkey 5.9%, Ukraine 5.4%, Germany 4.7% (2012) |
| Imports: | $5.152 billion (2012 est.) |
| Imports: | $5.147 billion (2011 est.) |
| Imports - commodities: | mineral products and fuel, machinery and equipment, chemicals, textiles |
| Imports - partners: | Ukraine 17.6%, Romania 16.6%, Germany 9.7%, Russia 8.2%, Italy 5.8%, Belarus 5.4%, Turkey 4.8%, Poland 4.6% (2012) |
| Reserves of foreign exchange and gold: | $2.515 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $1.965 billion (31 December 2011 est.) |
| Debt - external: | $5.888 billion (31 December 2012 est.) |
| Debt - external: | $5.452 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $3.224 billion (30 September 2012 est.) |
