| Economy | MOLDOVA |
| --- | --- |
| Economy - overview: | Despite recent progress, Moldova remains one of the poorest countries in Europe. With a moderate climate and productive farmland, Moldova's economy relies heavily on its agriculture sector, featuring fruits, vegetables, wine, and tobacco. Moldova also depends on annual remittances of about $1.12 billion from the roughly one million Moldovans working in Europe, Russia, and other former Soviet Bloc countries. |
| Economy - overview: | With few natural energy resources, Moldova imports almost all of its energy supplies from Russia and Ukraine. Moldova's dependence on Russian energy is underscored by a more than $5 billion debt to Russian natural gas supplier Gazprom, largely the result of unreimbursed natural gas consumption in the breakaway region of Transnistria. Moldova and Romania inaugurated the Ungheni-Iasi natural gas interconnector project in August 2014. The 43-kilometer pipeline between Moldova and Romania, allows for both the import and export of natural gas. Several technical and regulatory delays kept gas from flowing into Moldova until March 2015. Romanian gas exports to Moldova are largely symbolic. Moldova hopes to build a pipeline connecting Ungheni to Chisinau, bringing the gas to Moldovan population centers. |
| Economy - overview: | The government's stated goal of EU integration has resulted in some market-oriented progress. Moldova experienced better than expected economic growth in 2014 due to increased agriculture production, to economic policies adopted by the Moldovan government since 2009, and to the receipt of EU trade preferences. During fall 2014, Moldova signed an Association Agreement and a Deep and Comprehensive Free Trade Agreement with the EU, connecting Moldovan products to the world’s largest market. Still, a $1 billion asset-stripping heist of Moldovan banks in late 2014 delivered a significant shock to the economy in 2015; a subsequent bank bailout increased inflationary pressures and contributed to the depreciation of the leu. Moldova’s growth has also been hampered by endemic corruption and a Russian import ban on Moldova’s agricultural products. The government’s push to restore stability and implement meaningful reform led to the approval of a $179 million three-year IMF program focused on improving the banking and fiscal environments. |
| Economy - overview: | Over the longer term, Moldova's economy remains vulnerable to corruption, political uncertainty, weak administrative capacity, vested bureaucratic interests, higher fuel prices, Russian political and economic pressure, and unresolved separatism in Moldova's Transnistria region. |
| GDP (purchasing power parity): | $18.96 billion (2016 est.) |
| GDP (purchasing power parity): | $17.96 billion (2015 est.) |
| GDP (purchasing power parity): | $17.84 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $6.773 billion (2016 est.) |
| GDP - real growth rate: | 4.3% (2016 est.) |
| GDP - real growth rate: | -0.4% (2015 est.) |
| GDP - real growth rate: | 4.8% (2014 est.) |
| GDP - per capita (PPP): | $5,300 (2016 est.) |
| GDP - per capita (PPP): | $5,100 (2015 est.) |
| GDP - per capita (PPP): | $5,100 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 18.6% of GDP (2016 est.) |
| Gross national saving: | 18% of GDP (2015 est.) |
| Gross national saving: | 20.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 86.7% |
| GDP - composition, by end use: | government consumption: 19% |
| GDP - composition, by end use: | investment in fixed capital: 22.3% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 43.6% |
| GDP - composition, by end use: | imports of goods and services: -71.8% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.3% |
| GDP - composition, by sector of origin: | industry: 20.9% |
| GDP - composition, by sector of origin: | services: 64.8% (2016 est.) |
| Agriculture - products: | vegetables, fruits, grapes, grain, sugar beets, sunflower seeds, tobacco; beef, milk; wine |
| Industries: | sugar processing, vegetable oil, food processing, agricultural machinery; foundry equipment, refrigerators and freezers, washing machines; hosiery, shoes, textiles |
| Industrial production growth rate: | 2% (2016 est.) |
| Labor force: | 1.273 million (2016 est.) |
| Labor force - by occupation: | agriculture: 33.7% |
| Labor force - by occupation: | industry: 12.1% |
| Labor force - by occupation: | services: 54.2% (2016 est.) |
| Unemployment rate: | 4.2% (2016 est.) |
| Unemployment rate: | 4.9% (2015 est.) |
| Population below poverty line: | 20.8% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.2% |
| Household income or consumption by percentage share: | highest 10%: 22.1% (2014 est.) |
| Distribution of family income - Gini index: | 26.8 (2015 est.) |
| Distribution of family income - Gini index: | 26.8 (2014 est.) |
| Budget: | revenues: $2.306 billion |
| Budget: | expenditures: $2.431 billion |
| Budget: | note: National Public Budget (2016 est.) |
| Taxes and other revenues: | 34.2% of GDP (2016 est.) |
