| Economy | MOLDOVA |
| --- | --- |
| Economy - overview: | Despite recent progress, Moldova remains one of the poorest countries in Europe. With a moderate climate and productive farmland, Moldova's economy relies heavily on its agriculture sector, featuring fruits, vegetables, wine, and tobacco. Moldova also depends on annual remittances of about $1.12 billion from the roughly one million Moldovans working in Europe, Russia, and other former Soviet Bloc countries. |
| Economy - overview: | With few natural energy resources, Moldova imports almost all of its energy supplies from Russia and Ukraine. Moldova's dependence on Russian energy is underscored by a more than $5 billion debt to Russian natural gas supplier Gazprom, largely the result of unreimbursed natural gas consumption in the breakaway region of Transnistria. Moldova and Romania inaugurated the Ungheni-Iasi natural gas interconnector project in August 2014. The 43-kilometer pipeline between Moldova and Romania, allows for both the import and export of natural gas. Several technical and regulatory delays kept gas from flowing into Moldova until March 2015. Romanian gas exports to Moldova are largely symbolic. Moldova hopes to build a pipeline connecting Ungheni to Chisinau, bringing the gas to Moldovan population centers. |
| Economy - overview: | The government's stated goal of EU integration has resulted in some market-oriented progress. Moldova experienced better than expected economic growth in 2014 due to increased agriculture production, to economic policies adopted by the Moldovan government since 2009, and to the receipt of EU trade preferences. Moldova signed an Association Agreement and a Deep and Comprehensive Free Trade Agreement with the EU during fall 2014, connecting Moldovan products to the world’s largest market. Still, a $1 billion asset-stripping heist of Moldovan banks in late 2014 delivered a significant shock to the economy in 2015; a subsequent bank bailout increased inflationary pressures and contributed to the depreciation of the leu. Moldova’s growth has also been hampered by endemic corruption and a Russian import ban on Moldova’s agricultural products. |
| Economy - overview: | Over the longer term, Moldova's economy remains vulnerable to corruption, political uncertainty, weak administrative capacity, vested bureaucratic interests, higher fuel prices, Russian political and economic pressure, and unresolved separatism in Moldova's Transnistria region. |
| GDP (purchasing power parity): | $17.79 billion (2015 est.) |
| GDP (purchasing power parity): | $17.99 billion (2014 est.) |
| GDP (purchasing power parity): | $17.17 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $6.414 billion (2015 est.) |
| GDP - real growth rate: | -1.1% (2015 est.) |
| GDP - real growth rate: | 4.8% (2014 est.) |
| GDP - real growth rate: | 9.4% (2013 est.) |
| GDP - per capita (PPP): | $5,000 (2015 est.) |
| GDP - per capita (PPP): | $5,100 (2014 est.) |
| GDP - per capita (PPP): | $4,800 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 17.1% of GDP (2015 est.) |
| Gross national saving: | 18.2% of GDP (2014 est.) |
| Gross national saving: | 18.1% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 89.7% |
| GDP - composition, by end use: | government consumption: 20.7% |
| GDP - composition, by end use: | investment in fixed capital: 23.6% |
| GDP - composition, by end use: | investment in inventories: 1.3% |
| GDP - composition, by end use: | exports of goods and services: 43.2% |
| GDP - composition, by end use: | imports of goods and services: -78.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.1% |
| GDP - composition, by sector of origin: | industry: 21.1% |
| GDP - composition, by sector of origin: | services: 64.7% (2015 est.) |
| Agriculture - products: | vegetables, fruits, grapes, grain, sugar beets, sunflower seeds, tobacco; beef, milk; wine |
| Industries: | sugar, vegetable oil, food processing, agricultural machinery; foundry equipment, refrigerators and freezers, washing machines; hosiery, shoes, textiles |
| Industrial production growth rate: | 1% (2015 est.) |
| Labor force: | 1.228 million (2015 est.) |
| Labor force - by occupation: | agriculture: 30.5% |
| Labor force - by occupation: | industry: 12.2% |
| Labor force - by occupation: | services: 57.3% (2014 est.) |
| Unemployment rate: | 5.2% (2015 est.) |
| Unemployment rate: | 3.9% (2014 est.) |
| Population below poverty line: | 20.8% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 26% (2010 est.) |
| Distribution of family income - Gini index: | 28.5 (2013) |
| Distribution of family income - Gini index: | 33.2 (2003) |
| Budget: | revenues: $2.158 billion |
| Budget: | expenditures: $2.292 billion |
| Budget: | note: National Public Budget (2015 est.) |
| Taxes and other revenues: | 33.6% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2015 est.) |
| Public debt: | 39.4% of GDP (2015 est.) |
