| Economy | Moldova |
| --- | --- |
| Economy - overview: | Despite recent progress, Moldova remains one of the poorest countries in Europe. With a moderate climate and productive farmland, Moldova's economy relies heavily on its agriculture sector, featuring fruits, vegetables, wine, wheat, and tobacco. Moldova also depends on annual remittances of about $1.2 billion - almost 15% of GDP - from the roughly one million Moldovans working in Europe, Israel, Russia, and elsewhere. |
| Economy - overview: | With few natural energy resources, Moldova imports almost all of its energy supplies from Russia and Ukraine. Moldova's dependence on Russian energy is underscored by a more than $6 billion debt to Russian natural gas supplier Gazprom, largely the result of unreimbursed natural gas consumption in the breakaway region of Transnistria. Moldova and Romania inaugurated the Ungheni-Iasi natural gas interconnector project in August 2014. The 43-kilometer pipeline between Moldova and Romania, allows for both the import and export of natural gas. Several technical and regulatory delays kept gas from flowing into Moldova until March 2015. Romanian gas exports to Moldova are largely symbolic. In 2018, Moldova awarded a tender to Romanian Transgaz to construct a pipeline connecting Ungheni to Chisinau, bringing the gas to Moldovan population centers. Moldova also seeks to connect with the European power grid by 2022. |
| Economy - overview: | The government's stated goal of EU integration has resulted in some market-oriented progress. Moldova experienced better than expected economic growth in 2017, largely driven by increased consumption, increased revenue from agricultural exports, and improved tax collection. During fall 2014, Moldova signed an Association Agreement and a Deep and Comprehensive Free Trade Agreement with the EU (AA/DCFTA), connecting Moldovan products to the worldâ€™s largest market. The EU AA/DCFTA has contributed to significant growth in Moldovaâ€™s exports to the EU. In 2017, the EU purchased over 65% of Moldovaâ€™s exports, a major change from 20 years previously when the Commonwealth of Independent States (CIS) received over 69% of Moldovaâ€™s exports. A $1 billion asset-stripping heist of Moldovan banks in late 2014 delivered a significant shock to the economy in 2015; the subsequent bank bailout increased inflationary pressures and contributed to the depreciation of the leu and a minor recession. Moldovaâ€™s growth has also been hampered by endemic corruption, which limits business growth and deters foreign investment, and Russian restrictions on imports of Moldovaâ€™s agricultural products. The governmentâ€™s push to restore stability and implement meaningful reform led to the approval in 2016 of a $179 million three-year IMF program focused on improving the banking and fiscal environments, along with additional assistance programs from the EU, World Bank, and Romania. Moldova received two IMF tranches in 2017, totaling over $42.5 million. |
| Economy - overview: | Over the longer term, Moldova's economy remains vulnerable to corruption, political uncertainty, weak administrative capacity, vested bureaucratic interests, energy import dependence, Russian political and economic pressure, heavy dependence on agricultural exports, and unresolved separatism in Moldova's Transnistria region. |
| GDP (purchasing power parity): | $23.72 billion (2017 est.) |
| GDP (purchasing power parity): | $22.69 billion (2016 est.) |
| GDP (purchasing power parity): | $21.75 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $9.556 billion (2017 est.) |
| GDP - real growth rate: | 4.5% (2017 est.) |
| GDP - real growth rate: | 4.3% (2016 est.) |
| GDP - real growth rate: | -0.4% (2015 est.) |
| GDP - per capita (PPP): | $6,700 (2017 est.) |
| GDP - per capita (PPP): | $6,400 (2016 est.) |
| GDP - per capita (PPP): | $6,100 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 13.5% of GDP (2017 est.) |
| Gross national saving: | 15.9% of GDP (2016 est.) |
| Gross national saving: | 14.5% of GDP (2015 est.) |
