| Economy | HAITI |
| --- | --- |
| Economy - overview: | Haiti is a free market economy that enjoys the advantages of low labor costs and tariff-free access to the US for many of its exports. Poverty, corruption, vulnerability to natural disasters, and low levels of education for much of the population are among Haiti's most serious impediments to economic growth. Haiti's economy suffered a severe setback in January 2010 when a 7.0 magnitude earthquake destroyed much of its capital city, Port-au-Prince, and neighboring areas. Currently the poorest country in the Western Hemisphere with 80% of the population living under the poverty line and 54% in abject poverty, the earthquake further inflicted $7.8 billion in damage and caused the country's GDP to contract. In 2011, the Haitian economy began recovering from the earthquake. However, two hurricanes adversely affected agricultural output and the low public capital spending slowed the recovery in 2012. Two-fifths of all Haitians depend on the agricultural sector, mainly small-scale subsistence farming, and remain vulnerable to damage from frequent natural disasters, exacerbated by the country's widespread deforestation. US economic engagement under the Caribbean Basin Trade Preference Agreement (CBTPA) and the 2008 Haitian Hemispheric Opportunity through Partnership Encouragement (HOPE II) Act helped increase apparel exports and investment by providing duty-free access to the US. Congress voted in 2010 to extend the CBTPA and HOPE II until 2020 under the Haiti Economic Lift Program (HELP) Act; the apparel sector accounts for about 90% of Haitian exports and nearly one-twentieth of GDP. Remittances are the primary source of foreign exchange, equaling one-fifth of GDP and representing more than five times the earnings from exports in 2012. Haiti suffers from a lack of investment, partly because of weak infrastructure such as access to electricity. Haiti's outstanding external debt was cancelled by donor countries following the 2010 earthquake, but has since risen to $1.43 billion as of December 2014. The government relies on formal international economic assistance for fiscal sustainability, with over half of its annual budget coming from outside sources. |
| GDP (purchasing power parity): | $18.38 billion (2014 est.) |
| GDP (purchasing power parity): | $17.88 billion (2013 est.) |
| GDP (purchasing power parity): | $17.16 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $8.711 billion (2014 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - real growth rate: | 4.2% (2013 est.) |
| GDP - real growth rate: | 2.9% (2012 est.) |
| GDP - per capita (PPP): | $1,800 (2014 est.) |
| GDP - per capita (PPP): | $1,700 (2013 est.) |
| GDP - per capita (PPP): | $1,600 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 24.8% of GDP (2014 est.) |
| Gross national saving: | 23.7% of GDP (2013 est.) |
| Gross national saving: | 23.9% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 104.7% |
| GDP - composition, by end use: | government consumption: 0% |
| GDP - composition, by end use: | investment in fixed capital: 29.8% |
| GDP - composition, by end use: | investment in inventories: -2.2% |
| GDP - composition, by end use: | exports of goods and services: 15.8% |
| GDP - composition, by end use: | imports of goods and services: -48.1% |
| GDP - composition, by end use: | note: figure for household consumption also includes government consumption (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 23.4% |
| GDP - composition, by sector of origin: | industry: 19.8% |
| GDP - composition, by sector of origin: | services: 56.8% (2014 est.) |
| Agriculture - products: | coffee, mangoes, cocoa, sugarcane, rice, corn, sorghum; wood, vetiver |
| Industries: | textiles, sugar refining, flour milling, cement, light assembly using imported parts |
| Industrial production growth rate: | 4% (2014 est.) |
| Labor force: | 4.81 million |
| Labor force: | note: shortage of skilled labor, unskilled labor abundant (2010 est.) |
| Labor force - by occupation: | agriculture: 38.1% |
| Labor force - by occupation: | industry: 11.5% |
| Labor force - by occupation: | services: 50.4% (2010) |
| Unemployment rate: | 40.6% (2010 est.) |
| Unemployment rate: | note: widespread unemployment and underemployment; more than two-thirds of the labor force do not have formal jobs |
| Population below poverty line: | 58.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.7% |
| Household income or consumption by percentage share: | highest 10%: 47.7% (2001) |
| Distribution of family income - Gini index: | 59.2 (2001) |
| Budget: | revenues: $1.683 billion |
| Budget: | expenditures: $2.232 billion (2014 est.) |
| Taxes and other revenues: | 19.3% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -6.3% of GDP (2014 est.) |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 3.9% (2014 est.) |
| Inflation rate (consumer prices): | 6.8% (2013 est.) |
