| Economy | Taiwan |
| --- | --- |
| Economy - overview: | Taiwan has a dynamic capitalist economy with gradually decreasing government guidance of investment and foreign trade. Exports, led by electronics, machinery, and petrochemicals have provided the primary impetus for economic development. This heavy dependence on exports exposes the economy to fluctuations in world demand. In 2009, Taiwan's GDP contracted 1.8%, due primarily to a 13.1% year-on-year decline in exports. In 2010 GDP grew 10.7%, as exports returned to the level of previous years, and in 2011, grew 4.0%. In 2012, however, growth fell to 1.3%, because of softening global demand. Taiwan's diplomatic isolation, low birth rate, and rapidly aging population are major long-term challenges. Free trade agreements have proliferated in East Asia over the past several years, but except for the landmark Economic Cooperation Framework Agreement (ECFA) signed with China in June 2010, so far Taiwan has been excluded from this greater economic integration in part because of its diplomatic status. Negotiations continue on such follow-on components of ECFA regarding trade in goods and services. The MA administration has said that the ECFA will serve as a stepping stone toward trade pacts with other key trade partners, which Taiwan subsequently launched with Singapore and New Zealand. Taiwan's Total Fertility rate of just over one child per woman is among the lowest in the world, raising the prospect of future labor shortages, falling domestic demand, and declining tax revenues. Taiwan's population is aging quickly, with the number of people over 65 accounting for 11.2% of the island's total population as of 2012. The island runs a large trade surplus largely because of its surplus with China, and its foreign reserves are the world's fifth largest, behind China, Japan, Saudi Arabia, and Russia. In 2006 China overtook the US to become Taiwan's second-largest source of imports after Japan. China is also the island's number one destination for foreign direct investment. Three financial memorandums of understanding, covering banking, securities, and insurance, took effect in mid-January 2010, opening the island to greater investments from the mainland's financial firms and institutional investors, and providing new opportunities for Taiwan financial firms to operate in China. In August 2012, Taiwan Central Bank signed a memorandum of understanding on cross-Strait currency settlement with its Chinese counterpart. The MOU allows for the direct settlement of Chinese RMB and the New Taiwan dollar across the Strait, which could help develop Taiwan into a local RMB hub. Closer economic links with the mainland bring greater opportunities for the Taiwan economy, but also poses new challenges as the island becomes more economically dependent on China while political differences remain unresolved. |
| GDP (purchasing power parity): | $894.3 billion (2012 est.) |
| GDP (purchasing power parity): | $882.6 billion (2011 est.) |
| GDP (purchasing power parity): | $848.2 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $467.7 billion (2012 est.) |
| GDP - real growth rate: | 1.3% (2012 est.) |
| GDP - real growth rate: | 4.1% (2011 est.) |
| GDP - real growth rate: | 10.8% (2010 est.) |
| GDP - per capita (PPP): | $38,400 (2012 est.) |
| GDP - per capita (PPP): | $38,000 (2011 est.) |
| GDP - per capita (PPP): | $36,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 30.3% of GDP (2012 est.) |
| Gross national saving: | 29.6% of GDP (2011 est.) |
| Gross national saving: | 31.7% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 60.3% |
| GDP - composition, by end use: | government consumption: 12.4% |
| GDP - composition, by end use: | investment in fixed capital: 19.6% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 73.6% |
| GDP - composition, by end use: | imports of goods and services: -66% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 2% |
| GDP - composition, by sector of origin: | industry: 29.8% |
| GDP - composition, by sector of origin: | services: 68.2% (2012 est.) |
| Agriculture - products: | rice, vegetables, fruit, tea, flowers; pigs, poultry; fish |
| Industries: | electronics, communications and information technology products, petroleum refining, armaments, chemicals, textiles, iron and steel, machinery, cement, food processing, vehicles, consumer products, pharmaceuticals |
| Industrial production growth rate: | 0.9% (2012 est.) |
| Labor force: | 11.34 million (2012 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 36.2% |
| Labor force - by occupation: | services: 58.8% (2012 est.) |
| Unemployment rate: | 4.2% (2012 est.) |
| Unemployment rate: | 4.4% (2011 est.) |
| Population below poverty line: | 1.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.4% |
| Household income or consumption by percentage share: | highest 10%: 40.3% (2010) |
| Distribution of family income - Gini index: | 34.2 (2011) |
| Distribution of family income - Gini index: | 32.6 (2000) |
| Budget: | revenues: $78.38 billion |
| Budget: | expenditures: $90.42 billion (2012 est.) |
| Taxes and other revenues: | 16.8% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2012 est.) |
| Public debt: | 35.8% of GDP (2012 est.) |
| Public debt: | 34.9% of GDP (2011 est.) |
| Public debt: | note: data for central government |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.9% (2012 est.) |
| Inflation rate (consumer prices): | 1.4% (2011 est.) |
| Central bank discount rate: | 1.88% (31 December 2012) |
| Central bank discount rate: | 1.88% (31 December 2011) |
| Commercial bank prime lending rate: | 2.88% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 2.88% (31 December 2011 est.) |
| Stock of narrow money: | $426.2 billion (31 December 2012 est.) |
| Stock of narrow money: | $390.6 billion (31 December 2011 est.) |
| Stock of broad money: | $1.119 trillion (31 December 2012 est.) |
| Stock of broad money: | $1.082 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $743.1 billion (31 December 2012 est.) |
| Stock of domestic credit: | $692 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $831.9 billion (31 December 2012) |
| Market value of publicly traded shares: | $784.1 billion (31 December 2011) |
| Market value of publicly traded shares: | $738.3 billion (31 December 2010) |
| Current account balance: | $49.92 billion (2012 est.) |
| Current account balance: | $41.23 billion (2011 est.) |
| Exports: | $299.8 billion (2012 est.) |
| Exports: | $307 billion (2011 est.) |
| Exports - commodities: | electronics, flat panels, machinery; metals; textiles, plastics, chemicals; optical, photographic, measuring, and medical instruments |
| Exports - partners: | China 27.1%, Hong Kong 13.2%, US 10.3%, Japan 6.4%, Singapore 4.4% (2012 est.) |
| Imports: | $268.8 billion (2012 est.) |
| Imports: | $279.2 billion (2011 est.) |
