| Economy | Taiwan |
| --- | --- |
| Economy - overview: | Taiwan has a dynamic capitalist economy with gradually decreasing government guidance of investment and foreign trade. Exports, led by electronics, machinery, and petrochemicals have provided the primary impetus for economic development. This heavy dependence on exports exposes the economy to fluctuations in world demand. Taiwan's diplomatic isolation, low birth rate, and rapidly aging population are other major long-term challenges. Free trade agreements have proliferated in East Asia over the past several years, and following the landmark Economic Cooperation Framework Agreement (ECFA) signed with China in June 2010, Taiwan in July 2013 signed a free trade deal with New Zealand—Taipei’s first-ever with a country with which it does not maintain diplomatic relations—and in November inked a trade pact with Singapore. Negotiations continue on follow-on components of ECFA regarding trade in goods and a dispute resolution mechanism; a trade in services agreement is under review in the legislature. Taiwan's Total Fertility rate of just over one child per woman is among the lowest in the world, raising the prospect of future labor shortages, falling domestic demand, and declining tax revenues. Taiwan's population is aging quickly, with the number of people over 65 accounting for 11.2% of the island's total population as of 2012. The island runs a large overall trade surplus largely because of its surplus with China, and its foreign reserves are the world's sixth largest, behind China, Japan, Saudi Arabia, Russia, and Switzerland. In 2006 China overtook the US to become Taiwan's second-largest source of imports after Japan. China is also the island's number one destination for foreign direct investment. Taiwan since 2009 has gradually loosened rules governing Chinese investment on the island, and has also secured greater market access for its investors in the mainland. In August 2012, Taiwan Central Bank signed a memorandum of understanding on cross-Strait currency settlement with its Chinese counterpart. The MOU allows for the direct settlement of Chinese RMB and the New Taiwan dollar across the Strait, which could help develop Taiwan into a local RMB hub. Closer economic links with the mainland bring greater opportunities for the Taiwan economy, but also poses new challenges as the island becomes more economically dependent on China while political differences remain unresolved. |
| GDP (purchasing power parity): | $926.4 billion (2013 est.) |
| GDP (purchasing power parity): | $906.6 billion (2012 est.) |
| GDP (purchasing power parity): | $894.7 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $484.7 billion (2013 est.) |
| GDP - real growth rate: | 2.2% (2013 est.) |
| GDP - real growth rate: | 1.3% (2012 est.) |
| GDP - real growth rate: | 4.1% (2011 est.) |
| GDP - per capita (PPP): | $39,600 (2013 est.) |
| GDP - per capita (PPP): | $38,900 (2012 est.) |
| GDP - per capita (PPP): | $38,500 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 31.3% of GDP (2013 est.) |
| Gross national saving: | 30.3% of GDP (2012 est.) |
| Gross national saving: | 29.6% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 59.5% |
| GDP - composition, by end use: | government consumption: 12.2% |
| GDP - composition, by end use: | investment in fixed capital: 19.4% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 73.1% |
| GDP - composition, by end use: | imports of goods and services: -64.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2% |
| GDP - composition, by sector of origin: | industry: 29.4% |
| GDP - composition, by sector of origin: | services: 68.6% (2013 est.) |
| Agriculture - products: | rice, vegetables, fruit, tea, flowers; pigs, poultry; fish |
| Industries: | electronics, communications and information technology products, petroleum refining, chemicals, textiles, iron and steel, machinery, cement, food processing, vehicles, consumer products, pharmaceuticals |
| Industrial production growth rate: | 1.8% (2013 est.) |
| Labor force: | 11.55 million (2013 est.) |
| Labor force - by occupation: | agriculture: 5% |
| Labor force - by occupation: | industry: 36.2% |
| Labor force - by occupation: | services: 58.8% (2012 est.) |
| Unemployment rate: | 4.1% (2013 est.) |
| Unemployment rate: | 4.2% (2012 est.) |
| Population below poverty line: | 1.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.4% |
| Household income or consumption by percentage share: | highest 10%: 40.3% (2010) |
| Distribution of family income - Gini index: | 34.2 (2011) |
| Distribution of family income - Gini index: | 32.6 (2000) |
| Budget: | revenues: $78.24 billion |
| Budget: | expenditures: $90.38 billion (2013 est.) |
| Taxes and other revenues: | 16.1% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.5% of GDP (2013 est.) |
| Public debt: | 38.9% of GDP (2013 est.) |
| Public debt: | 35.8% of GDP (2012 est.) |
| Public debt: | note: data for central government |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.1% (2013 est.) |
| Inflation rate (consumer prices): | 1.9% (2012 est.) |
| Central bank discount rate: | 1.88% (31 December 2012) |
| Central bank discount rate: | 1.88% (31 December 2011) |
| Commercial bank prime lending rate: | 2.9% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 2.88% (31 December 2012 est.) |
| Stock of narrow money: | $450.1 billion (31 December 2013 est.) |
| Stock of narrow money: | $426.2 billion (31 December 2012 est.) |
| Stock of broad money: | $1.189 trillion (31 December 2013 est.) |
| Stock of broad money: | $1.152 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $753.5 billion (31 December 2013 est.) |
| Stock of domestic credit: | $743.1 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $831.9 billion (31 December 2012) |
| Market value of publicly traded shares: | $784.1 billion (31 December 2011) |
| Market value of publicly traded shares: | $738.3 billion (31 December 2010) |
| Current account balance: | $56.66 billion (2013 est.) |
| Current account balance: | $49.92 billion (2012 est.) |
| Exports: | $305.8 billion (2013 est.) |
| Exports: | $299.8 billion (2012 est.) |
| Exports - commodities: | electronics, flat panels, machinery; metals; textiles, plastics, chemicals; optical, photographic, measuring, and medical instruments |
| Exports - partners: | China 27.1%, Hong Kong 13.2%, US 10.3%, Japan 6.4%, Singapore 4.4% (2012 est.) |
| Imports: | $268.5 billion (2013 est.) |
| Imports: | $268.8 billion (2012 est.) |
| Imports - commodities: | electronics, machinery, crude petroleum, precision instruments, organic chemicals, metals |
| Imports - partners: | Japan 17.6%, China 16.1%, US 9.5% (2012 est.) |
