| Economy | Canada |
| --- | --- |
| Economy - overview: | As a high-tech industrial society in the trillion-dollar class, Canada resembles the US in its market-oriented economic system, pattern of production, and affluent living standards. Since World War II, the impressive growth of the manufacturing, mining, and service sectors has transformed the nation from a largely rural economy into one primarily industrial and urban. The 1989 US-Canada Free Trade Agreement (FTA) and the 1994 North American Free Trade Agreement (NAFTA) (which includes Mexico) touched off a dramatic increase in trade and economic integration with the US its principal trading partner. Canada enjoys a substantial trade surplus with the US, which absorbs about three-fourths of Canadian exports each year. Canada is the US's largest foreign supplier of energy, including oil, gas, uranium, and electric power. Given its great natural resources, highly skilled labor force, and modern capital plant, Canada enjoyed solid economic growth from 1993 through 2007. Buffeted by the global economic crisis, the economy dropped into a sharp recession in the final months of 2008, and Ottawa posted its first fiscal deficit in 2009 after 12 years of surplus. Canada's major banks, however, emerged from the financial crisis of 2008-09 among the strongest in the world, owing to the financial sector's tradition of conservative lending practices and strong capitalization. Canada achieved marginal growth in 2010-12 and plans to balance the budget by 2015. In addition, the country's petroleum sector is rapidly becoming an even larger economic driver with Alberta's oil sands significantly boosting Canada's proven oil reserves, ranking the country third in the world behind Saudi Arabia and Venezuela. |
| GDP (purchasing power parity): | $1.474 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.449 trillion (2011 est.) |
| GDP (purchasing power parity): | $1.413 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $1.797 trillion (2012 est.) |
| GDP - real growth rate: | 1.7% (2012 est.) |
| GDP - real growth rate: | 2.5% (2011 est.) |
| GDP - real growth rate: | 3.4% (2010 est.) |
| GDP - per capita (PPP): | $42,300 (2012 est.) |
| GDP - per capita (PPP): | $42,100 (2011 est.) |
| GDP - per capita (PPP): | $41,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 21.2% of GDP (2012 est.) |
| Gross national saving: | 21.1% of GDP (2011 est.) |
| Gross national saving: | 19.8% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 55.6% |
| GDP - composition, by end use: | government consumption: 21.7% |
| GDP - composition, by end use: | investment in fixed capital: 24.1% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 30% |
| GDP - composition, by end use: | imports of goods and services: -32% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.7% |
| GDP - composition, by sector of origin: | industry: 28.5% |
| GDP - composition, by sector of origin: | services: 69.8% (2012 est.) |
| Agriculture - products: | wheat, barley, oilseed, tobacco, fruits, vegetables; dairy products; fish; forest products |
| Industries: | transportation equipment, chemicals, processed and unprocessed minerals, food products, wood and paper products, fish products, petroleum and natural gas |
| Industrial production growth rate: | 1.8% (2012 est.) |
| Labor force: | 18.89 million (2012 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | manufacturing: 13% |
| Labor force - by occupation: | construction: 6% |
| Labor force - by occupation: | services: 76% |
| Labor force - by occupation: | other: 3% (2006 est.) |
| Unemployment rate: | 7.3% (2012 est.) |
| Unemployment rate: | 7.5% (2011 est.) |
| Population below poverty line: | 9.4% |
| Population below poverty line: | note: this figure is the Low Income Cut-Off (LICO), a calculation that results in higher figures than found in many comparable economies; Canada does not have an official poverty line (2008) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 24.8% (2000) |
| Distribution of family income - Gini index: | 32.1 (2005) |
| Distribution of family income - Gini index: | 31.5 (1994) |
| Budget: | revenues: $690.3 billion |
| Budget: | expenditures: $748.9 billion (2012 est.) |
| Taxes and other revenues: | 38.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2012 est.) |
| Public debt: | 85.4% of GDP (2012 est.) |
| Public debt: | 83.5% of GDP (2011 est.) |
| Public debt: | note: figures are for gross general government debt, as opposed to net federal debt; gross general government debt includes both intragovernmental debt and the debt of public entities at the sub-national level |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 1.5% (2012 est.) |
| Inflation rate (consumer prices): | 2.9% (2011 est.) |
| Central bank discount rate: | 1% (31 December 2010 est.) |
| Central bank discount rate: | 0.25% (31 December 2009 est.) |
