| Economy | Canada |
| --- | --- |
| Economy - overview: | As a high-tech industrial society in the trillion-dollar class, Canada resembles the US in its market-oriented economic system, pattern of production, and high living standards. Since World War II, the impressive growth of the manufacturing, mining, and service sectors has transformed the nation from a largely rural economy into one primarily industrial and urban. The 1989 US-Canada Free Trade Agreement (FTA) and the 1994 North American Free Trade Agreement (NAFTA) (which includes Mexico) touched off a dramatic increase in trade and economic integration with the US, its principal trading partner. Canada enjoys a substantial trade surplus with the US, which absorbs about three-fourths of Canadian merchandise exports each year. Canada is the US's largest foreign supplier of energy, including oil, gas, uranium, and electric power. Given its abundant natural resources, highly skilled labor force, and modern capital plant, Canada enjoyed solid economic growth from 1993 through 2007. Buffeted by the global economic crisis, the economy dropped into a sharp recession in the final months of 2008, and Ottawa posted its first fiscal deficit in 2009 after 12 years of surplus. Canada's major banks, however, emerged from the financial crisis of 2008-09 among the strongest in the world, owing to the financial sector's tradition of conservative lending practices and strong capitalization. Canada achieved marginal growth in 2010-13 and plans to balance the budget by 2015. In addition, the country's petroleum sector is rapidly expanding, because Alberta's oil sands significantly boosted Canada's proven oil reserves. Canada now ranks third in the world in proved oil reserves behind Saudi Arabia and Venezuela. |
| GDP (purchasing power parity): | $1.518 trillion (2013 est.) |
| GDP (purchasing power parity): | $1.494 trillion (2012 est.) |
| GDP (purchasing power parity): | $1.469 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $1.825 trillion (2013 est.) |
| GDP - real growth rate: | 1.6% (2013 est.) |
| GDP - real growth rate: | 1.7% (2012 est.) |
| GDP - real growth rate: | 2.5% (2011 est.) |
| GDP - per capita (PPP): | $43,100 (2013 est.) |
| GDP - per capita (PPP): | $42,900 (2012 est.) |
| GDP - per capita (PPP): | $42,700 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 21.5% of GDP (2013 est.) |
| Gross national saving: | 21.2% of GDP (2012 est.) |
| Gross national saving: | 21.1% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 55.8% |
| GDP - composition, by end use: | government consumption: 21.6% |
| GDP - composition, by end use: | investment in fixed capital: 24.6% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 30.1% |
| GDP - composition, by end use: | imports of goods and services: -32.3% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.7% |
| GDP - composition, by sector of origin: | industry: 28.4% |
| GDP - composition, by sector of origin: | services: 69.9% (2013 est.) |
| Agriculture - products: | wheat, barley, oilseed, tobacco, fruits, vegetables; dairy products; fish; forest products |
| Industries: | transportation equipment, chemicals, processed and unprocessed minerals, food products, wood and paper products, fish products, petroleum, natural gas |
| Industrial production growth rate: | 1.4% (2013 est.) |
| Labor force: | 19.08 million (2013 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | manufacturing: 13% |
| Labor force - by occupation: | construction: 6% |
| Labor force - by occupation: | services: 76% |
| Labor force - by occupation: | other: 3% (2006 est.) |
| Unemployment rate: | 7.1% (2013 est.) |
| Unemployment rate: | 7.3% (2012 est.) |
| Population below poverty line: | 9.4% |
| Population below poverty line: | note: this figure is the Low Income Cut-Off (LICO), a calculation that results in higher figures than found in many comparable economies; Canada does not have an official poverty line (2008) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
