| Economy | Canada |
| --- | --- |
| Economic overview: | Canada resembles the US in its market-oriented economic system, pattern of production, and high living standards. Since World War II, the impressive growth of the manufacturing, mining, and service sectors has transformed the nation from a largely rural economy into one primarily industrial and urban. Canada has a large oil and natural gas sector with the majority of crude oil production derived from oil sands in the western provinces, especially Alberta. Canada now ranks third in the world in proved oil reserves behind Venezuela and Saudi Arabia and is the worldâ€™s seventh-largest oil producer. |
| Economic overview: | TThe 1989 Canada-US Free Trade Agreement and the 1994 North American Free Trade Agreement (which includes Mexico) dramatically increased trade and economic integration between the US and Canada. Canada and the US enjoy the worldâ€™s most comprehensive bilateral trade and investment relationship, with goods and services trade totaling more than $680 billion in 2017, and two-way investment stocks of more than $800 billion. Over three-fourths of Canadaâ€™s merchandise exports are destined for the US each year. Canada is the largest foreign supplier of energy to the US, including oil, natural gas, and electric power, and a top source of US uranium imports. |
| Economic overview: | Given its abundant natural resources, highly skilled labor force, and modern capital stock, Canada enjoyed solid economic growth from 1993 through 2007. The global economic crisis of 2007-08 moved the Canadian economy into sharp recession by late 2008, and Ottawa posted its first fiscal deficit in 2009 after 12 years of surplus. Canada's major banks emerged from the financial crisis of 2008-09 among the strongest in the world, owing to the financial sector's tradition of conservative lending practices and strong capitalization. Canadaâ€™s economy posted strong growth in 2017 at 3%, but most analysts are projecting Canadaâ€™s economic growth will drop back closer to 2% in 2018. |
| GDP real growth rate: | 1.66% (2019 est.) |
| GDP real growth rate: | 2.02% (2018 est.) |
| GDP real growth rate: | 3.17% (2017 est.) |
| Inflation rate (consumer prices): | 1.9% (2019 est.) |
| Inflation rate (consumer prices): | 2.2% (2018 est.) |
| Inflation rate (consumer prices): | 1.5% (2017 est.) |
| Credit ratings: | Fitch rating: AA+ (2020) |
| Credit ratings: | Moody's rating: Aaa (2002) |
| Credit ratings: | Standard & Poors rating: AAA (2002) |
| GDP (purchasing power parity) - real: | $1,647,310,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $1,617,207,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $1,578,848,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $1,741,865,000,000 (2019 est.) |
| GDP - per capita (PPP): | $52,205 (2019 est.) |
| GDP - per capita (PPP): | $51,716 (2018 est.) |
| GDP - per capita (PPP): | $50,960 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 20.8% of GDP (2017 est.) |
| Gross national saving: | 20% of GDP (2016 est.) |
| Gross national saving: | 20.5% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 28.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 70.2% (2017 est.) |
| GDP - composition, by end use: | household consumption: 57.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 30.9% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -33.2% (2017 est.) |
| Ease of Doing Business Index scores: | 79.6 (2020) |
| Agriculture - products: | wheat, barley, oilseed, tobacco, fruits, vegetables; dairy products; fish; forest products |
| Industries: | transportation equipment, chemicals, processed and unprocessed minerals, food products, wood and paper products, fish products, petroleum, natural gas |
| Industrial production growth rate: | 4.9% (2017 est.) |
| Labor force: | 18.136 million (2020 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 13% |
| Labor force - by occupation: | services: 6% |
| Labor force - by occupation: | industry and services: 76% |
| Labor force - by occupation: | manufacturing: 3% (2006 est.) |
| Unemployment rate: | 5.67% (2019 est.) |
| Unemployment rate: | 5.83% (2018 est.) |
| Population below poverty line: | 9.4% (2008 est.) |
| Population below poverty line: | note: this figure is the Low Income Cut-Off, a calculation that results in higher figures than found in many comparable economies; Canada does not have an official poverty line |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 24.8% (2000) |
| Budget: | revenues: 649.6 billion (2017 est.) |
| Budget: | expenditures: 665.7 billion (2017 est.) |
| Taxes and other revenues: | 39.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1% (of GDP) (2017 est.) |
| Public debt: | 89.7% of GDP (2017 est.) |
| Public debt: | 91.1% of GDP (2016 est.) |
| Public debt: | note: figures are for gross general government debt, as opposed to net federal debt; gross general government debt includes both intragovernmental debt and the debt of public entities at the sub-national level |
| Fiscal year: | 1 April - 31 March |
| Current account balance: | -$35.425 billion (2019 est.) |
| Current account balance: | -$42.862 billion (2018 est.) |
| Exports: | $618.762 billion (2019 est.) |
| Exports: | $610.926 billion (2018 est.) |
| Exports: | $589.222 billion (2017 est.) |
| Exports - partners: | US 76.4%, China 4.3% (2017) |
| Exports - commodities: | motor vehicles and parts, industrial machinery, aircraft, telecommunications equipment; chemicals, plastics, fertilizers; wood pulp, timber, crude petroleum, natural gas, electricity, aluminum |
| Imports: | $629.402 billion (2019 est.) |
| Imports: | $627.162 billion (2018 est.) |
| Imports: | $606.814 billion (2017 est.) |
| Imports - commodities: | machinery and equipment, motor vehicles and parts, crude oil, chemicals, electricity, durable consumer goods |
| Imports - partners: | US 51.5%, China 12.6%, Mexico 6.3% (2017) |
| Reserves of foreign exchange and gold: | $86.68 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $82.72 billion (31 December 2016 est.) |
| Debt - external: | $1.608 trillion (31 March 2016 est.) |
| Debt - external: | $1.55 trillion (31 March 2015 est.) |
| Exchange rates: | Canadian dollars (CAD) per US dollar - |
| Exchange rates: | 1.28035 (2020 est.) |
