| Economy | Congo, Democratic Republic of the |
| --- | --- |
| Economy - overview: | The economy of the Democratic Republic of the Congo - a nation endowed with vast natural resource wealth - continues to perform poorly. Systemic corruption since independence in 1960, combined with countrywide instability and intermittent conflict that began in the early-90s, has reduced national output and government revenue, and increased external debt. With the installation of a transitional government in 2003 after peace accords, economic conditions slowly began to improve as the government reopened relations with international financial institutions and international donors, and President KABILA began implementing reforms. Progress on implementing substantive economic reforms remains slow because of political instability, bureaucratic inefficiency, corruption, and patronage, which also dampen international investment prospects. |
| Economy - overview: | Renewed activity in the mining sector, the source of most export income, boosted Kinshasa's fiscal position and GDP growth until 2015, but low commodity prices have led to slower growth, volatile inflation, currency depreciation, and a growing fiscal deficit. An uncertain legal framework, corruption, and a lack of transparency in government policy are long-term problems for the large mining sector and for the economy as a whole. Much economic activity still occurs in the informal sector and is not reflected in GDP data. |
| Economy - overview: | Poverty remains widespread in DRC, and the country failed to meet any Millennium Development Goals by 2015. DRC also concluded its program with the IMF in 2015. The price of copper â€“ the DRCâ€™s primary export - plummeted in 2015 and remained at record lows during 2016-17, reducing government revenues, expenditures, and foreign exchange reserves, while inflation reached nearly 50% in mid-2017 â€“ its highest level since the early 2000s. |
| GDP (purchasing power parity): | $68.6 billion (2017 est.) |
| GDP (purchasing power parity): | $66.33 billion (2016 est.) |
| GDP (purchasing power parity): | $64.78 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $41.44 billion (2017 est.) |
| GDP - real growth rate: | 3.4% (2017 est.) |
| GDP - real growth rate: | 2.4% (2016 est.) |
| GDP - real growth rate: | 6.9% (2015 est.) |
| GDP - per capita (PPP): | $800 (2017 est.) |
| GDP - per capita (PPP): | $800 (2016 est.) |
| GDP - per capita (PPP): | $800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 11.5% of GDP (2017 est.) |
| Gross national saving: | 8.7% of GDP (2016 est.) |
| Gross national saving: | 16.5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 78.5% (2017 est.) |
| GDP - composition, by end use: | government consumption: 12.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 15.9% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 25.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -32.8% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 43.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 36.7% (2017 est.) |
| Agriculture - products: | coffee, sugar, palm oil, rubber, tea, cotton, cocoa, quinine, cassava (manioc, tapioca), bananas, plantains, peanuts, root crops, corn, fruits; wood products |
| Industries: | mining (copper, cobalt, gold, diamonds, coltan, zinc, tin, tungsten), mineral processing, consumer products (textiles, plastics, footwear, cigarettes), metal products, processed foods and beverages, timber, cement, commercial ship repair |
| Industrial production growth rate: | 1.6% (2017 est.) |
| Labor force: | 31.36 million (2017 est.) |
| Labor force - by occupation: | agriculture: NA |
| Labor force - by occupation: | industry: NA |
| Labor force - by occupation: | services: NA |
| Unemployment rate: | NA |
| Population below poverty line: | 63% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 34.7% (2006) |
| Distribution of family income - Gini index: | 42.1 (2012 est.) |
| Budget: | revenues: 4.634 billion (2017 est.) |
| Budget: | expenditures: 5.009 billion (2017 est.) |
| Taxes and other revenues: | 11.2% (of GDP) (2017 est.) |
