| Economy | Poland |
| --- | --- |
| Economy - overview: | Poland has pursued a policy of economic liberalization since 1990 and Poland's economy was the only one in the EU to avoid a recession through the 2008-09 economic downturn. Although EU membership and access to EU structural funds have provided a major boost to the economy since 2004, GDP per capita remains significantly below the EU average while unemployment continues to exceed the EU average. The government of Prime Minister Donald TUSK steered the Polish economy through the economic downturn by skillfully managing public finances and adopting controversial pension and tax reforms to further shore up public finances. While the Polish economy has performed well over the past five years, growth slowed in 2012 and 2013, in part due to the ongoing economic difficulties in the euro zone. Short-term, the key policy challenge will be to consolidate debt and spending without stifling economic growth. Over the longer term, Poland's economic performance could improve if the country addresses some of the remaining deficiencies in its road and rail infrastructure, business environment, rigid labor code, commercial court system, government red tape, and burdensome tax system. |
| GDP (purchasing power parity): | $814 billion (2013 est.) |
| GDP (purchasing power parity): | $803.3 billion (2012 est.) |
| GDP (purchasing power parity): | $788.6 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $513.9 billion (2013 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - real growth rate: | 1.9% (2012 est.) |
| GDP - real growth rate: | 4.5% (2011 est.) |
| GDP - per capita (PPP): | $21,100 (2013 est.) |
| GDP - per capita (PPP): | $20,800 (2012 est.) |
| GDP - per capita (PPP): | $20,500 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 16.8% of GDP (2013 est.) |
| Gross national saving: | 17.2% of GDP (2012 est.) |
| Gross national saving: | 16.7% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 61.5% |
| GDP - composition, by end use: | government consumption: 17.6% |
| GDP - composition, by end use: | investment in fixed capital: 18.3% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 46.7% |
| GDP - composition, by end use: | imports of goods and services: -44.7% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 4% |
| GDP - composition, by sector of origin: | industry: 33.3% |
| GDP - composition, by sector of origin: | services: 62.7% (2013 est.) |
| Agriculture - products: | potatoes, fruits, vegetables, wheat; poultry, eggs, pork, dairy |
| Industries: | machine building, iron and steel, coal mining, chemicals, shipbuilding, food processing, glass, beverages, textiles |
| Industrial production growth rate: | 5.2% (2013 est.) |
| Labor force: | 18.22 million (2013 est.) |
| Labor force - by occupation: | agriculture: 12.9% |
| Labor force - by occupation: | industry: 30.2% |
| Labor force - by occupation: | services: 57% (2010) |
| Unemployment rate: | 10.3% (2013 est.) |
| Unemployment rate: | 10.1% (2012 est.) |
| Population below poverty line: | 10.6% (2008 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 27.1% (2009 est.) |
| Distribution of family income - Gini index: | 34.1 (2009) |
| Distribution of family income - Gini index: | 31.6 (1998) |
| Budget: | revenues: $92.5 billion |
| Budget: | expenditures: $92.47 billion (2013 est.) |
| Taxes and other revenues: | 18% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 0% of GDP (2013 est.) |
| Public debt: | 48.2% of GDP (2013 est.) |
| Public debt: | 48.3% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, the data include subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1% (2013 est.) |
| Inflation rate (consumer prices): | 3.7% (2012 est.) |
| Central bank discount rate: | 4.25% (31 December 2012 est.) |
| Central bank discount rate: | 4% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 6.9% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 8.73% (31 December 2012 est.) |
| Stock of narrow money: | $162 billion (31 December 2013 est.) |
| Stock of narrow money: | $156.4 billion (31 December 2012 est.) |
| Stock of broad money: | $291.1 billion (31 December 2013 est.) |
