| Economy | POLAND |
| --- | --- |
| Economy - overview: | Poland has pursued a policy of economic liberalization since 1990 and Poland's economy was the only one in the EU to avoid a recession through the 2008-09 economic downturn. Although EU membership and access to EU structural funds have provided a major boost to the economy since 2004, GDP per capita remains significantly below the EU average.  The unemployment rate is now below the EU average. The government of Prime Minister Donald TUSK steered the Polish economy through the economic downturn by skillfully managing public finances and adopting controversial pension and tax reforms to further shore up public finances. While the Polish economy has performed well over the past five years, growth slowed in 2013 and picked back up in 2014. Short-term, the key policy challenge will be to consolidate debt and spending without stifling economic growth. Over the longer term, Poland's economic performance could improve if the country addresses some of the remaining deficiencies in its road and rail infrastructure, business environment, rigid labor code, commercial court system, government red tape, and burdensome tax system, especially for entrepreneurs.  Poland&rsquo;s long-term challenges include diversifying Poland&rsquo;s energy mix and sources of supply, as well as stemming the outflow of educated young Poles to other EU Member States, especially in light of a coming demographic contraction as the Solidarity-era baby boom generation ages. |
| GDP (purchasing power parity): | $954.5 billion (2014 est.) |
| GDP (purchasing power parity): | $923.9 billion (2013 est.) |
| GDP (purchasing power parity): | $908.8 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $546.6 billion (2014 est.) |
| GDP - real growth rate: | 3.3% (2014 est.) |
| GDP - real growth rate: | 1.7% (2013 est.) |
| GDP - real growth rate: | 1.8% (2012 est.) |
| GDP - per capita (PPP): | $25,100 (2014 est.) |
| GDP - per capita (PPP): | $24,300 (2013 est.) |
| GDP - per capita (PPP): | $23,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 19% of GDP (2014 est.) |
| Gross national saving: | 17.7% of GDP (2013 est.) |
| Gross national saving: | 17.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 61.1% |
| GDP - composition, by end use: | government consumption: 17.9% |
| GDP - composition, by end use: | investment in fixed capital: 18.7% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 49.2% |
| GDP - composition, by end use: | imports of goods and services: -47.5% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.7% |
| GDP - composition, by sector of origin: | industry: 32% |
| GDP - composition, by sector of origin: | services: 64.3% (2014 est.) |
| Agriculture - products: | potatoes, fruits, vegetables, wheat; poultry, eggs, pork, dairy |
| Industries: | machine building, iron and steel, coal mining, chemicals, shipbuilding, food processing, glass, beverages, textiles |
| Industrial production growth rate: | 5.5% (2014 est.) |
| Labor force: | 18.26 million (2014 est.) |
| Labor force - by occupation: | agriculture: 12.9% |
| Labor force - by occupation: | industry: 30.2% |
| Labor force - by occupation: | services: 57% (2010) |
| Unemployment rate: | 8.2% (2014 est.) |
| Unemployment rate: | 10% (2013 est.) |
| Population below poverty line: | 10.6% (2008 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 27.1% (2009 est.) |
| Distribution of family income - Gini index: | 34.1 (2009) |
| Distribution of family income - Gini index: | 31.6 (1998) |
| Budget: | revenues: $92.96 billion |
