| Economy | GUINEA |
| --- | --- |
| Economy - overview: | Guinea is a poor country of approximately 12.9 million people in 2016 that possesses the world's largest reserves of bauxite and largest untapped high-grade iron ore reserves, as well as gold and diamonds. In addition, Guinea has fertile soil, ample rainfall, and is the source of several West African rivers, including the Senegal, Niger, and Gambia. Guinea's hydro potential is enormous and the country could be a major exporter of electricity. The country also has tremendous agriculture potential. Gold, bauxite, and diamonds are Guinea’s main exports. International investors have shown interest in Guinea's unexplored mineral reserves, which have the potential to propel Guinea's future growth. |
| Economy - overview: | Following the death of long-term President Lansana CONTE in 2008 and the coup that followed, international donors, including the G-8, the IMF, and the World Bank, significantly curtailed their development programs in Guinea. However, the IMF approved a 3-year Extended Credit Facility arrangement in 2012, following the December 2010 presidential elections. In September 2012, Guinea achieved Heavily Indebted Poor Countries completion point status. Future access to international assistance and investment will depend on the government’s ability to be transparent, combat corruption, reform its banking system, improve its business environment, and build infrastructure. In April 2013, the government amended its mining code to reduce taxes and royalties. In 2014, Guinea also complied with requirements of the Extractive Industries Transparency Initiative by publishing its mining contracts and was found to be compliant. Guinea completed its program with the IMF in October 2016 even though some targeted reforms have been delayed. Currently Guinea is negotiating a new IMF program which will be based on Guinea’s new five-year economic plan, focusing on the development of higher value-added products, including from the agro-business sector and development of the rural economy. |
| Economy - overview: | The biggest threats to Guinea’s economy are political instability, a reintroduction of the Ebola virus epidemic, and low international commodity prices. Economic recovery will be a long process while the government adjusts to lower inflows of international donor aid following the surge of Ebola-related emergency support. Ebola stalled promising economic growth in the 2014-15 period and impeded several projects, such as offshore oil exploration and the Simandou iron ore project. The economy, however, grew by 5.2% in 2016, mainly due to growth from bauxite mining and thermal energy generation as well as the resiliency of the agricultural sector. The economy is projected to grow by 4.6% in 2017. The 240-megawatt Kaleta Dam, inaugurated in September 2015, has expanded access to electricity for residents of Conakry. An enduring legacy of corruption, inefficiency, and lack of government transparency, combined with fears of Ebola virus, continue to undermine Guinea's economic viability. |
| Economy - overview: | Guinea’s iron ore industry took a hit in 2016 when investors in the Simandou iron ore project announced plans to divest from the project. In 2017, agriculture output and public investment will boost economic growth while the mining sector continues to play a prominent role in economic performance. |
| Economy - overview: | Successive governments have failed to address the country's crumbling infrastructure. Guinea suffers from chronic electricity shortages; poor roads, rail lines and bridges; and a lack of access to clean water - all of which continue to plague economic development. The present government, led by President Alpha CONDE, is working to create an environment to attract foreign investment and hopes to have greater participation from western countries and firms in Guinea's economic development. |
| GDP (purchasing power parity): | $24.38 billion (2016 est.) |
| GDP (purchasing power parity): | $22.57 billion (2015 est.) |
| GDP (purchasing power parity): | $21.57 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
