| Economy | Turkmenistan |
| --- | --- |
| Economy - overview: | Turkmenistan is largely a desert country with intensive agriculture in irrigated oases and significant natural gas and oil resources. The two largest crops are cotton, most of which is produced for export, and wheat, which is domestically consumed. Although agriculture accounts for almost 8% of GDP, it continues to employ nearly half of the country's workforce. Hydrocarbon exports, the bulk of which is natural gas going to China, make up 25% of Turkmenistanâ€™s GDP. Ashgabat has explored two initiatives to bring gas to new markets: a trans-Caspian pipeline that would carry gas to Europe and the Turkmenistan-Afghanistan-Pakistan-India gas pipeline. Both face major financing, political, and security hurdles and are unlikely to be completed soon. |
| Economy - overview: | Turkmenistanâ€™s autocratic governments under presidents NIYAZOW (1991-2006) and BERDIMUHAMEDOW (since 2007) have made little progress improving the business climate, privatizing state-owned industries, combatting corruption, and limiting economic development outside the energy sector. High energy prices in the mid-2000s allowed the government to undertake extensive development and social spending, including providing heavy utility subsidies. |
| Economy - overview: | Low energy prices since mid-2014 are hampering Turkmenistanâ€™s economic growth and reducing government revenues. The government has cut subsidies in several areas, and wage arrears have increased. In January 2014, the Central Bank of Turkmenistan devalued the manat by 19%, and downward pressure on the currency continues. There is a widening spread between the official exchange rate (3.5 TMM per US dollar) and the black market exchange rate (approximately 14 TMM per US dollar). Currency depreciation and conversion restrictions, corruption, isolationist policies, and declining spending on public services have resulted in a stagnate economy that is nearing crisis. Turkmenistan claims substantial foreign currency reserves, but non-transparent data limit international institutionsâ€™ ability to verify this information. |
| GDP (purchasing power parity): | $103.7 billion (2017 est.) |
| GDP (purchasing power parity): | $97.41 billion (2016 est.) |
| GDP (purchasing power parity): | $91.72 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $37.93 billion (2017 est.) |
| GDP - real growth rate: | 6.5% (2017 est.) |
| GDP - real growth rate: | 6.2% (2016 est.) |
| GDP - real growth rate: | 6.5% (2015 est.) |
| GDP - per capita (PPP): | $18,200 (2017 est.) |
| GDP - per capita (PPP): | $17,300 (2016 est.) |
| GDP - per capita (PPP): | $16,500 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 23.9% of GDP (2017 est.) |
| Gross national saving: | 24.3% of GDP (2016 est.) |
| Gross national saving: | 18.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 50% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 28.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 26.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -14.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.5% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 44.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 47.7% (2017 est.) |
| Agriculture - products: | cotton, grain, melons; livestock |
| Industries: | natural gas, oil, petroleum products, textiles, food processing |
| Industrial production growth rate: | 1% (2017 est.) |
