| Economy | MEXICO |
| --- | --- |
| Economy - overview: | Mexico's $2.2 trillion economy has become increasingly oriented toward manufacturing in the 22 years since the North American Free Trade Agreement (NAFTA) entered into force. Per capita income is roughly one-third that of the US; income distribution remains highly unequal. |
| Economy - overview: | Mexico has become the US' second-largest export market and third-largest source of imports. In 2014, two-way trade in goods and services exceeded $590 billion. Mexico has free trade agreements with 46 countries, putting more than 90% of trade under free trade agreements. In 2012, Mexico formally joined the Trans-Pacific Partnership negotiations and formed the Pacific Alliance with Peru, Colombia, and Chile. |
| Economy - overview: | Mexico's current government, led by President Enrique PENA NIETO, emphasized economic reforms during its first two years in office, passing and implementing sweeping education, energy, financial, fiscal, and telecommunications reform legislation, among others, with the long-term aim to improve competitiveness and economic growth across the Mexican economy. Mexico began holding public auctions of exploration and development rights to select oil and gas resources in 2015 as a part of reforms that allow for private investment in the oil, gas, and electricity sectors. The second and third auctions demonstrated the capacity for the Mexican Government to adapt and improve the terms of the contracts to garner sufficient interest from investors amid low oil prices. |
| Economy - overview: | Although the economy experienced stronger growth in 2014-15 as a result of increased investment and stronger demand for Mexican exports, growth is predicted to remain below potential given falling oil production, weak oil prices, structural issues such as low productivity, high inequality, a large informal sector employing over half of the workforce, weak rule of law, and corruption. Over the medium-term, the economy is vulnerable to global economic pressures, such as lower external demand, rising interest rates, and low oil prices - approximately 20% of government revenue comes from the state-owned oil company, PEMEX. The increasing integration of supply chains, development of energy sectors, and government-to-government focus on trade facilitation will continue to make the North American region increasingly competitive and contribute to Mexican economic development and strength. |
| GDP (purchasing power parity): | $2.227 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.172 trillion (2014 est.) |
| GDP (purchasing power parity): | $2.124 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $1.144 trillion (2015 est.) |
| GDP - real growth rate: | 2.5% (2015 est.) |
| GDP - real growth rate: | 2.3% (2014 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - per capita (PPP): | $17,500 (2015 est.) |
| GDP - per capita (PPP): | $17,300 (2014 est.) |
| GDP - per capita (PPP): | $17,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 19.9% of GDP (2015 est.) |
| Gross national saving: | 19.6% of GDP (2014 est.) |
| Gross national saving: | 19.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 69.3% |
| GDP - composition, by end use: | government consumption: 12.3% |
| GDP - composition, by end use: | investment in fixed capital: 22.2% |
| GDP - composition, by end use: | investment in inventories: -1.7% |
| GDP - composition, by end use: | exports of goods and services: 35.3% |
| GDP - composition, by end use: | imports of goods and services: -37.4% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% |
| GDP - composition, by sector of origin: | industry: 32.8% |
| GDP - composition, by sector of origin: | services: 63.6% (2015 est.) |
| Agriculture - products: | corn, wheat, soybeans, rice, beans, cotton, coffee, fruit, tomatoes; beef, poultry, dairy products; wood products |
| Industries: | food and beverages, tobacco, chemicals, iron and steel, petroleum, mining, textiles, clothing, motor vehicles, consumer durables, tourism |
| Industrial production growth rate: | 0.9% (2015 est.) |
| Labor force: | 52.91 million (2015 est.) |
| Labor force - by occupation: | agriculture: 13.4% |
| Labor force - by occupation: | industry: 24.1% |
| Labor force - by occupation: | services: 61.9% (2011) |
| Unemployment rate: | 4.4% (2015 est.) |
| Unemployment rate: | 4.8% (2014 est.) |
| Unemployment rate: | note: underemployment may be as high as 25% |
