| Economy | Macau |
| --- | --- |
| Economy - overview: | Since opening up its locally-controlled casino industry to foreign competition in 2001, Macau has attracted tens of billions of dollars in foreign investment, transforming the territory into one of the world's largest gaming centers. Macau's gaming and tourism businesses were fueled by China''s decision to relax travel restrictions on Chinese citizens wishing to visit Macau. By 2006, Macau''s gaming revenue surpassed that of the Las Vegas strip, and gaming-related taxes accounted for more than 70% of total government revenue. Macau''s economy slowed dramatically in 2009 as a result of the global economic slowdown, but strong growth resumed in 2010-11, largely on the back of tourism from mainland China and the gaming sectors. In 2012, this city of 582,000 hosted nearly 28 million visitors. Almost 60% came from mainland China. Macau''s traditional manufacturing industry has slowed greatly since the termination of the Multi-Fiber Agreement in 2005. China is Macau''s second largest goods export market, behind Hong Kong, and followed by the United States. In 2012, exports were less than US$1 billion, while gaming receipts were US$38 billion, a 13.5% increase over 2011. Macau''s economy expanded by 10% in 2012; although impressive, it was a slower growth rate than in previous years. Macau continues to face the challenges of managing its growing casino industry, money-laundering, and the need to diversify the economy away from heavy dependence on gaming revenues. Macau''s currency, the pataca, is closely tied to the Hong Kong dollar, which is also freely accepted in the territory. |
| GDP (purchasing power parity): | $47.19 billion (2011 est.) |
| GDP (purchasing power parity): | $42.9 billion (2011 est.) |
| GDP (purchasing power parity): | $39 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $44.3 billion (2012 est.) |
| GDP - real growth rate: | 10% (2012 est.) |
| GDP - real growth rate: | 20.7% (2011 est.) |
| GDP - real growth rate: | 27% (2010 est.) |
| GDP - per capita (PPP): | $82,400 (2011 est.) |
| GDP - per capita (PPP): | $75,500 (2010 est.) |
| GDP - per capita (PPP): | $69,700 (2009 est.) |
| GDP - composition, by end use: | household consumption: 19.9% |
| GDP - composition, by end use: | government consumption: 6.8% |
| GDP - composition, by end use: | investment in fixed capital: 13.4% |
| GDP - composition, by end use: | investment in inventories: 1.4% |
| GDP - composition, by end use: | exports of goods and services: 108.3% |
| GDP - composition, by end use: | imports of goods and services: -49.7% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 0% |
| GDP - composition, by sector of origin: | industry: 6.3% |
| GDP - composition, by sector of origin: | services: 93.7% (2012 est.) |
| Agriculture - products: | only 2% of land area is cultivated, mainly by vegetable growers; fishing, mostly for crustaceans, is important; some of the catch is exported to Hong Kong |
| Industries: | tourism, gambling, clothing, textiles, electronics, footwear, toys |
| Industrial production growth rate: | 8.4% (2012 est.) |
| Labor force: | 356,700 (2012 est.) |
| Labor force - by occupation: | manufacturing: 3% |
| Labor force - by occupation: | construction: 6.6% |
| Labor force - by occupation: | transport and communications: 4.3% |
| Labor force - by occupation: | wholesale and retail trade: 12.7% |
| Labor force - by occupation: | restaurants and hotels: 15.5% |
| Labor force - by occupation: | gambling: 15.1% |
| Labor force - by occupation: | public sector: 7.1% |
| Labor force - by occupation: | financial services: 2.2% |
| Labor force - by occupation: | other services: 33.5% (2012) |
| Unemployment rate: | 2% (2012 est.) |
| Unemployment rate: | 2.6% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $16.06 billion |
| Budget: | expenditures: $4.731 billion (2012 est.) |
| Taxes and other revenues: | 36.2% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 25.6% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.1% (2012 est.) |
| Inflation rate (consumer prices): | 5.8% (2011 est.) |
| Commercial bank prime lending rate: | 5.25% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.25% (31 December 2011 est.) |
| Stock of narrow money: | $5.862 billion (31 December 2012 est.) |
| Stock of narrow money: | $4.434 billion (31 December 2011 est.) |
| Stock of broad money: | $46.8 billion (31 December 2012 est.) |
| Stock of broad money: | $46.29 billion (31 December 2011 est.) |
| Stock of domestic credit: | $-5.689 billion (31 December 2012 est.) |
| Stock of domestic credit: | $-8.616 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $85.5 billion (2 March 2012 est.) |
| Market value of publicly traded shares: | $46.1 billion (31 February 2011) |
| Market value of publicly traded shares: | $2.3 billion (31 December 2008 est.) |
| Current account balance: | $16.13 billion (2011 est.) |
| Current account balance: | $12.06 billion (2010 est.) |
| Exports: | $1.02 billion (2012 est.) |
| Exports: | $1.111 billion (2011 est.) |
| Exports: | note: includes reexports |
| Exports - commodities: | clothing, textiles, footwear, toys, electronics, machinery and parts |
| Exports - partners: | Hong Kong 50.3%, China 16.8%, US 6.2% (2012) |
| Imports: | $8.866 billion (2012 est.) |
| Imports: | $7.786 billion (2011 est.) |
| Imports - commodities: | raw materials and semi-manufactured goods, consumer goods (foodstuffs, beverages, tobacco), capital goods, mineral fuels and oils |
| Imports - partners: | China 32.2%, Hong Kong 11.6%, France 8.8%, Switzerland 8.6%, Italy 7.5%, Japan 5.9%, US 5.2% (2012) |
| Reserves of foreign exchange and gold: | $16.6 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $34.03 billion (31 December 2011 est.) |
| Reserves of foreign exchange and gold: | note: the Fiscal Reserves Act that came into force on 1 January 2012 requires the fiscal reserve to be separated from the foreign exchange reserves and to be managed separately; the transfer of assets took place in February 2012 |
| Debt - external: | $0 (2012) |
| Stock of direct foreign investment - at home: | $14.9 billion (2010 est.) |
