| Economy | BOTSWANA |
| --- | --- |
| Economy - overview: | Until the global recession, Botswana maintained one of the world's highest economic growth rates since independence in 1966. Diamond mining fueled much of the economic expansion and currently accounts for one-quarter of GDP, approximately 85% of export earnings, and about one-third of the government's revenues. Tourism is the secondary earner of foreign exchange and many Batswana engage in subsistence farming and cattle rearing. Through fiscal discipline and sound management, Botswana transformed itself from one of the poorest countries in the world to a middle-income country with a per capita GDP of approximately $16,900 in 2016. Botswana also ranks as one of the best credit risks in Africa. |
| Economy - overview: | Botswana's economy closely follows global economic trends because of its heavy reliance on a single luxury export. According to official government statistics, unemployment is around 20%, but unofficial estimates run much higher. De Beers, a major international diamond company, signed a 10-year deal with Botswana in 2012 and moved its rough stone sorting and trading division from London to Gaborone in 2013. The move was geared to support the development of Botswana's nascent downstream diamond industry. |
| Economy - overview: | Botswana’s economy recovered from the 2008 global recession in 2010, but has only grown modestly since then, primarily due to the downturn in the global diamond market, though water and power shortages also played a role. The prevalence of HIV/AIDS is second highest in the world and threatens the country's impressive economic gains. In 2016, Botswana entered its fourth year of drought, detrimental to Botswana’s small, but vital agriculture sector, but diamond exports increased to their highest levels since 2013, buffering economic growth. As a result, the economy registered 2.9% growth in 2016. |
| GDP (purchasing power parity): | $37.21 billion (2016 est.) |
| GDP (purchasing power parity): | $35.23 billion (2015 est.) |
| GDP (purchasing power parity): | $35.45 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $15.57 billion (2016 est.) |
| GDP - real growth rate: | 4.3% (2016 est.) |
| GDP - real growth rate: | -1.7% (2015 est.) |
| GDP - real growth rate: | 4.1% (2014 est.) |
| GDP - per capita (PPP): | $17,300 (2016 est.) |
| GDP - per capita (PPP): | $16,800 (2015 est.) |
| GDP - per capita (PPP): | $17,200 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 42.1% of GDP (2016 est.) |
| Gross national saving: | 40.5% of GDP (2015 est.) |
| Gross national saving: | 43.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 47.8% |
| GDP - composition, by end use: | government consumption: 18.2% |
| GDP - composition, by end use: | investment in fixed capital: 31.2% |
| GDP - composition, by end use: | investment in inventories: -10.4% |
| GDP - composition, by end use: | exports of goods and services: 55.4% |
| GDP - composition, by end use: | imports of goods and services: -42.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.8% |
| GDP - composition, by sector of origin: | industry: 29.4% |
| GDP - composition, by sector of origin: | services: 68.8% (2016 est.) |
| Agriculture - products: | livestock, sorghum, maize, millet, beans, sunflowers, groundnuts |
| Industries: | diamonds, copper, nickel, salt, soda ash, potash, coal, iron ore, silver; beef processing; textiles |
| Industrial production growth rate: | 1.3% (2016 est.) |
| Labor force: | 1.187 million (2016 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 20% (2013 est.) |
| Unemployment rate: | 17.8% (2009 est.) |
| Population below poverty line: | 30.3% (2003 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 60.5 (2009) |
| Distribution of family income - Gini index: | 63 (1993) |
| Budget: | revenues: $5.13 billion |
| Budget: | expenditures: $5.231 billion (2016 est.) |
| Taxes and other revenues: | 34.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -0.7% of GDP (2016 est.) |
| Public debt: | 18.1% of GDP (2016 est.) |
| Public debt: | 19.3% of GDP (2015 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 2.8% (2016 est.) |
| Inflation rate (consumer prices): | 3.1% (2015 est.) |
| Central bank discount rate: | 5.5% (31 December 2016) |
| Central bank discount rate: | 6% (31 December 2015) |
| Commercial bank prime lending rate: | 7.3% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 7.95% (31 December 2015 est.) |
| Stock of narrow money: | $1.505 billion (31 December 2016 est.) |
| Stock of narrow money: | $1.223 billion (31 December 2015 est.) |
| Stock of broad money: | $6.689 billion (31 December 2016 est.) |
| Stock of broad money: | $5.958 billion (31 December 2015 est.) |
| Stock of domestic credit: | $2.597 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.614 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $4.588 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $4.107 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $4.076 billion (31 December 2010 est.) |
| Current account balance: | $1.824 billion (2016 est.) |
| Current account balance: | $1.367 billion (2015 est.) |
| Exports: | $7.226 billion (2016 est.) |
| Exports: | $6.286 billion (2015 est.) |
| Exports - commodities: | diamonds, copper, nickel, soda ash, beef, textiles |
| Exports - partners: | Belgium 18.9%, India 15.1%, South Africa 13.6%, Namibia 11.6%, UAE 9.7%, Israel 6.1%, Singapore 5.6%, Canada 5% (2016) |
| Imports: | $5.906 billion (2016 est.) |
| Imports: | $6.936 billion (2015 est.) |
| Imports - commodities: | foodstuffs, machinery, electrical goods, transport equipment, textiles, fuel and petroleum products, wood and paper products, metal and metal products |
| Imports - partners: | South Africa 64.5%, Namibia 10.5%, Canada 5.6% (2016) |
