| Economy | Trinidad and Tobago |
| --- | --- |
| Economy - overview: | Trinidad and Tobago attracts considerable foreign direct investment from international businesses, particularly in energy, and has one of the highest per capita incomes in Latin America. Economic growth between 2000 and 2007 averaged slightly over 8% per year, significantly above the regional average of about 3.7% for that same period; however, GDP has slowed down since then and contracted during 2009-2011 due to depressed natural gas prices and changing markets. Growth had been fueled by investments in liquefied natural gas, petrochemicals, and steel with additional upstream and downstream investment planned. Trinidad and Tobago is the leading Caribbean producer of oil and gas, and its economy is heavily dependent upon these resources. It also supplies manufactured goods, notably food products and beverages, as well as cement to the Caribbean region. Oil and gas account for about 40% of GDP and 80% of exports, but only 5% of employment. Oil production has declined over the last decade as the country focused the majority of its efforts on natural gas. The current administration has been working to arrest this decline by opening bid rounds and providing fiscal incentives for investments in on-shore and deep water acreage to boost oil reserves and production. The government keeps a close watch on the changing global gas markets and has shown flexibility in diversifying natural gas export destinations. Although Trinidad and Tobago enjoys cheap electricity from natural gas, the renewable energy sector has recently garnered increased interest. The country is also a regional financial center with a well-regulated and stable financial system. Other sectors the Government of Trinidad and Tobago targeted for increased investment and projected growth include tourism, agriculture, information and communications technology, and shipping. The economy benefits from a growing trade surplus with the US. The US is Trinidad and Tobago's leading trade partner. The previous MANNING administration benefited from fiscal surpluses fueled by the dynamic export sector; however, declines in oil and gas prices have reduced government revenues, challenging the current government's commitment to maintaining high levels of public investment. Crime and bureaucratic hurdles continue to be the biggest deterrents for attracting more foreign direct investment and business. |
| GDP (purchasing power parity): | $27.14 billion (2013 est.) |
| GDP (purchasing power parity): | $26.71 billion (2012 est.) |
| GDP (purchasing power parity): | $26.66 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $27.13 billion (2013 est.) |
| GDP - real growth rate: | 1.6% (2013 est.) |
| GDP - real growth rate: | 0.2% (2012 est.) |
| GDP - real growth rate: | -2.6% (2011 est.) |
| GDP - per capita (PPP): | $20,300 (2013 est.) |
| GDP - per capita (PPP): | $20,100 (2012 est.) |
| GDP - per capita (PPP): | $20,100 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 18.2% of GDP (2013 est.) |
| Gross national saving: | 20% of GDP (2012 est.) |
| Gross national saving: | 28.1% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 56.1% |
| GDP - composition, by end use: | government consumption: 16.9% |
| GDP - composition, by end use: | investment in fixed capital: 15.4% |
| GDP - composition, by end use: | investment in inventories: -20.2% |
| GDP - composition, by end use: | exports of goods and services: 94.3% |
| GDP - composition, by end use: | imports of goods and services: -62.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.3% |
| GDP - composition, by sector of origin: | industry: 57.7% |
| GDP - composition, by sector of origin: | services: 42% (2013 est.) |
| Agriculture - products: | cocoa, rice, citrus, coffee, vegetables; poultry; sugar |
| Industries: | petroleum and petroleum products, liquefied natural gas (LNG), methanol, ammonia, urea, steel products, beverages, food processing, cement, cotton textiles |
| Industrial production growth rate: | 1.2% (2013 est.) |
| Labor force: | 621,000 (2013 est.) |
| Labor force - by occupation: | agriculture: 3.8% |
| Labor force - by occupation: | manufacturing, mining, and quarrying: 12.8% |
| Labor force - by occupation: | construction and utilities: 20.4% |
| Labor force - by occupation: | services: 62.9% (2007 est.) |
| Unemployment rate: | 5.9% (2013 est.) |
| Unemployment rate: | 5.6% (2012 est.) |
| Population below poverty line: | 17% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $7.847 billion |
| Budget: | expenditures: $8.323 billion (2013 est.) |
| Taxes and other revenues: | 28.9% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -1.8% of GDP (2013 est.) |
| Public debt: | 37.1% of GDP (2013 est.) |
| Public debt: | 37.9% of GDP (2012 est.) |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 5.4% (2013 est.) |
| Inflation rate (consumer prices): | 9.2% (2012 est.) |
| Central bank discount rate: | 4.25% (31 December 2010 est.) |
| Central bank discount rate: | 7.25% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 7.5% (31 December 2013 est.) |
