| Economy | India |
| --- | --- |
| Economy - overview: | India is developing into an open-market economy, yet traces of its past autarkic policies remain. Economic liberalization, including industrial deregulation, privatization of state-owned enterprises, and reduced controls on foreign trade and investment, began in the early 1990s and has served to accelerate the country's growth, which has averaged more than 7% per year since 1997. India's diverse economy encompasses traditional village farming, modern agriculture, handicrafts, a wide range of modern industries, and a multitude of services. Slightly more than half of the work force is in agriculture, but services are the major source of economic growth, accounting for nearly two-thirds of India's output, with less than one-third of its labor force. India has capitalized on its large educated English-speaking population to become a major exporter of information technology services and software workers. In 2010, the Indian economy rebounded robustly from the global financial crisis - in large part because of strong domestic demand - and growth exceeded 8% year-on-year in real terms. However, India's economic growth began slowing in 2011 because of a tight monetary policy, intended to address persistent inflation, and a decline in investment, caused by investor pessimism about domestic economic reforms and about the global situation. High international crude prices have exacerbated the government's fuel subsidy expenditures, contributing to a higher fiscal deficit and a worsening current account deficit. In late 2012, the Indian Government announced reforms and deficit reduction measures to reverse India's slowdown. The outlook India's medium-term growth is positive due to a young population and corresponding low dependency ratio, healthy savings and investment rates, and increasing integration into the global economy. India has many long-term challenges that it has not yet fully addressed, including poverty, inadequate physical and social infrastructure, limited non-agricultural employment opportunities, inadequate availability of quality basic and higher education, and accommodating rural-to-urban migration. |
| GDP (purchasing power parity): | $4.735 trillion (2012 est.) |
| GDP (purchasing power parity): | $4.492 trillion (2011 est.) |
| GDP (purchasing power parity): | $4.205 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $1.947 trillion (2012 est.) |
| GDP - real growth rate: | 5.4% (2012 est.) |
| GDP - real growth rate: | 6.8% (2011 est.) |
| GDP - real growth rate: | 10.1% (2010 est.) |
| GDP - per capita (PPP): | $3,900 (2012 est.) |
| GDP - per capita (PPP): | $3,700 (2011 est.) |
| GDP - per capita (PPP): | $3,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 17% |
| GDP - composition by sector: | industry: 18% |
| GDP - composition by sector: | services: 65% (2011 est.) |
| Labor force: | 498.4 million (2012 est.) |
| Labor force - by occupation: | agriculture: 53% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 28% (2011 est.) |
| Unemployment rate: | 9.9% (2012 est.) |
| Unemployment rate: | 9.8% (2011 est.) |
| Population below poverty line: | 29.8% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2005) |
| Distribution of family income - Gini index: | 36.8 (2004) |
| Distribution of family income - Gini index: | 37.8 (1997) |
| Investment (gross fixed): | 30% of GDP (2012 est.) |
| Budget: | revenues: $171.5 billion |
| Budget: | expenditures: $281 billion (2012 est.) |
| Taxes and other revenues: | 8.8% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -5.6% of GDP (2012 est.) |
| Public debt: | 51.9% of GDP (2012 est.) |
| Public debt: | 50.5% of GDP (2011 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Inflation rate (consumer prices): | 9.2% (2012 est.) |
| Inflation rate (consumer prices): | 8.9% (2011 est.) |
| Central bank discount rate: | 5.5% (31 December 2010 est.) |
| Central bank discount rate: | 6% (31 December 2009 est.) |
| Central bank discount rate: | note: the Indian central bank's policy rate - the repurchase rate - was 8% during December 2012 |
| Commercial bank prime lending rate: | 10.8% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 10.19% (31 December 2011 est.) |
| Stock of narrow money: | $342.3 billion (31 December 2012 est.) |
| Stock of narrow money: | $305.7 billion (31 December 2011 est.) |
| Stock of broad money: | $1.451 trillion (31 December 2012 est.) |
| Stock of broad money: | $1.293 trillion (31 December 2011 est.) |
