| Economy | INDIA |
| --- | --- |
| Economy - overview: | India's diverse economy encompasses traditional village farming, modern agriculture, handicrafts, a wide range of modern industries, and a multitude of services. Slightly less than half of the workforce is in agriculture, but services are the major source of economic growth, accounting for nearly two-thirds of India's output but employing less than one-third of its labor force. India has capitalized on its large educated English-speaking population to become a major exporter of information technology services, business outsourcing services, and software workers. |
| Economy - overview: | India is developing into an open-market economy, yet traces of its past autarkic policies remain. Economic liberalization measures, including industrial deregulation, privatization of state-owned enterprises, and reduced controls on foreign trade and investment, began in the early 1990s and served to accelerate the country's growth, which averaged nearly 7% per year from 1997 to 2016. India's economic growth slowed in 2011 because of a decline in investment caused by high interest rates, rising inflation, and investor pessimism about the government's commitment to further economic reforms and about slow world growth. Rising macroeconomic imbalances in India and improving economic conditions in Western countries led investors to shift capital away from India, prompting a sharp depreciation of the rupee. |
| Economy - overview: | Growth rebounded in 2014 through 2016, exceeding 7% each year. Investors’ perceptions of India improved in early 2014, due to a reduction of the current account deficit and expectations of post-election economic reform, resulting in a surge of inbound capital flows and stabilization of the rupee. Since the election, the government has passed an important goods and services tax bill and raised foreign direct investment caps in some sectors, but most economic reforms have focused on administrative and governance changes largely because the ruling party remains a minority in India’s upper house of Parliament, which must approve most bills. Despite a high growth rate compared to the rest of the world, India’s government-owned banks faced mounting bad debt in 2015 and 2016, resulting in low credit growth and restrained economic growth. |
| Economy - overview: | The outlook for India's long-term growth is moderately positive due to a young population and corresponding low dependency ratio, healthy savings and investment rates, and increasing integration into the global economy. However, long-term challenges remain significant, including: India's discrimination against women and girls, an inefficient power generation and distribution system, ineffective enforcement of intellectual property rights, decades-long civil litigation dockets, inadequate transport and agricultural infrastructure, limited non-agricultural employment opportunities, high spending and poorly targeted subsidies, inadequate availability of quality basic and higher education, and accommodating rural-to-urban migration. |
| GDP (purchasing power parity): | $8.701 trillion (2016 est.) |
| GDP (purchasing power parity): | $8.021 trillion (2015 est.) |
| GDP (purchasing power parity): | $7.346 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $2.264 trillion (2016 est.) |
| GDP - real growth rate: | 7.1% (2016 est.) |
| GDP - real growth rate: | 8% (2015 est.) |
| GDP - real growth rate: | 7.5% (2014 est.) |
| GDP - per capita (PPP): | $6,700 (2016 est.) |
| GDP - per capita (PPP): | $6,300 (2015 est.) |
| GDP - per capita (PPP): | $5,900 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 29.7% of GDP (2016 est.) |
| Gross national saving: | 31.8% of GDP (2015 est.) |
| Gross national saving: | 33.3% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 58.7% |
| GDP - composition, by end use: | government consumption: 11.7% |
| GDP - composition, by end use: | investment in fixed capital: 27.1% |
| GDP - composition, by end use: | investment in inventories: 3.9% |
| GDP - composition, by end use: | exports of goods and services: 19.2% |
| GDP - composition, by end use: | imports of goods and services: -20.7% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.4% |
| GDP - composition, by sector of origin: | industry: 28.8% |
| GDP - composition, by sector of origin: | services: 46.2% (2016 est.) |
| Agriculture - products: | rice, wheat, oilseed, cotton, jute, tea, sugarcane, lentils, onions, potatoes; dairy products, sheep, goats, poultry; fish |
| Industries: | textiles, chemicals, food processing, steel, transportation equipment, cement, mining, petroleum, machinery, software, pharmaceuticals |
| Industrial production growth rate: | 5.6% (2016 est.) |
| Labor force: | 510.1 million (2016 est.) |
| Labor force - by occupation: | agriculture: 47% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 31% (FY 2014 est.) |
| Unemployment rate: | 8% (2016 est.) |
| Unemployment rate: | 8.5% (2015 est.) |
| Population below poverty line: | 21.9% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 29.8% (2011) |
| Distribution of family income - Gini index: | 35.2 (2011) |
| Distribution of family income - Gini index: | 37.8 (1997) |
| Budget: | revenues: $214.3 billion |
| Budget: | expenditures: $293.9 billion (2016 est.) |
| Taxes and other revenues: | 9.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.5% of GDP (2016 est.) |
| Public debt: | 50.3% of GDP (2016 est.) |
| Public debt: | 51.8% of GDP (2015 est.) |
| Public debt: | note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 4.5% (2016 est.) |
| Inflation rate (consumer prices): | 4.9% (2015 est.) |
| Central bank discount rate: | 6.25% (31 December 2016) |
| Central bank discount rate: | 7.75% (31 December 2014) |
| Central bank discount rate: | note: this is the Indian central bank's policy rate - the repurchase rate |
