| Economy | ALBANIA |
| --- | --- |
| Economy - overview: | Albania, a formerly closed, centrally-planned state, is a developing country with a modern open-market economy. Albania managed to weather the first waves of the global financial crisis but, more recently, the negative effects of the crisis have caused a significant economic slowdown. Close trade, remittance, and banking sector ties with Greece and Italy make Albania vulnerable to spillover effects of debt crises and weak growth in the euro zone. |
| Economy - overview: | Remittances, a significant catalyst for economic growth, declined from 12-15% of GDP before the 2008 financial crisis to 5.7% of GDP in 2014, mostly from Albanians residing in Greece and Italy. The agricultural sector, which accounts for almost half of employment but only about one-fifth of GDP, is limited primarily to small family operations and subsistence farming, because of a lack of modern equipment, unclear property rights, and the prevalence of small, inefficient plots of land. Complex tax codes and licensing requirements, a weak judicial system, endemic corruption, poor enforcement of contracts and property issues, and antiquated infrastructure contribute to Albania's poor business environment making attracting foreign investment difficult. |
| Economy - overview: | Albania’s electricity supply is uneven despite upgraded transmission capacities with neighboring countries. Technical and non-technical losses in electricity - including theft and non-payment - continue to undermine the financial viability of the entire system, although the government has taken steps to stem non-technical losses and has begun to upgrade the distribution grid. Also, with help from international donors, the government is taking steps to improve the poor national road and rail network, a long standing barrier to sustained economic growth. |
| Economy - overview: | Inward FDI has increased significantly in recent years as the government has embarked on an ambitious program to improve the business climate through fiscal and legislative reforms. The government is focused on the simplification of licensing requirements and tax codes, and it entered into a new arrangement with the IMF for additional financial and technical support. Albania’s IMF program may be at risk, however, because the government has not collected sufficient tax revenue needed to reduce the budget deficit. The country continues to face increasing public debt, exceeding its former statutory limit of 60% of GDP in 2013 and reaching 73% in 2015. |
| GDP (purchasing power parity): | $32.65 billion (2015 est.) |
| GDP (purchasing power parity): | $31.81 billion (2014 est.) |
| GDP (purchasing power parity): | $31.18 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (purchasing power parity): | unreported output may be as large as 50% of official GDP |
| GDP (official exchange rate): | $11.54 billion (2015 est.) |
| GDP - real growth rate: | 2.6% (2015 est.) |
| GDP - real growth rate: | 2% (2014 est.) |
| GDP - real growth rate: | 1.1% (2013 est.) |
| GDP - per capita (PPP): | $11,900 (2015 est.) |
| GDP - per capita (PPP): | $11,400 (2014 est.) |
| GDP - per capita (PPP): | $11,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 18.4% of GDP (2015 est.) |
| Gross national saving: | 14% of GDP (2014 est.) |
| Gross national saving: | 17.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 85.8% |
| GDP - composition, by end use: | government consumption: 10.6% |
| GDP - composition, by end use: | investment in fixed capital: 27.7% |
| GDP - composition, by end use: | investment in inventories: 1.7% |
| GDP - composition, by end use: | exports of goods and services: 36.7% |
| GDP - composition, by end use: | imports of goods and services: -62.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 21.9% |
| GDP - composition, by sector of origin: | industry: 14.9% |
| GDP - composition, by sector of origin: | services: 63.3% |
| GDP - composition, by sector of origin: | (2015 est.) |
| Agriculture - products: | wheat, corn, potatoes, vegetables, fruits, sugar beets, grapes; meat, dairy products; sheep |
| Industries: | food and tobacco products; textiles and clothing; lumber, oil, cement, chemicals, mining, basic metals, hydropower |
| Industrial production growth rate: | 2.3% (2015 est.) |
| Labor force: | 1.122 million (2015 est.) |
| Labor force - by occupation: | agriculture: 41.8% |
| Labor force - by occupation: | industry: 11.4% |
| Labor force - by occupation: | services: 46.8% (December 2014 est) |
| Unemployment rate: | 17.3% (2015 est.) |
| Unemployment rate: | 17.5% (2014 est.) |
| Unemployment rate: | note: these official rates may not include those working at near-subsistence farming |
| Population below poverty line: | 14.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.1% |
| Household income or consumption by percentage share: | highest 10%: 20.5% (2012) |
| Distribution of family income - Gini index: | 29 (2012 est.) |
| Distribution of family income - Gini index: | 30 (2008 est.) |
| Budget: | revenues: $3.019 billion |
| Budget: | expenditures: $3.472 billion (2015 est.) |
| Taxes and other revenues: | 26.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.9% of GDP (2015 est.) |
| Public debt: | 71.4% of GDP (2015 est.) |
| Public debt: | 69.3% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.9% (2015 est.) |
| Inflation rate (consumer prices): | 1.6% (2014 est.) |
| Central bank discount rate: | 2.25% (31 December 2014) |
| Central bank discount rate: | 3% (31 December 2013) |
| Commercial bank prime lending rate: | 8.7% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.66% (31 December 2014 est.) |
| Stock of narrow money: | $3.054 billion (31 December 2015 est.) |
| Stock of narrow money: | $3.066 billion (31 December 2014 est.) |
| Stock of broad money: | $5.72 billion (31 December 2015 est.) |
