| Economy | Zimbabwe |
| --- | --- |
| Economy - overview: | Zimbabwe's economy depends heavily on its mining and agriculture sectors. Following a contraction from 1998 to 2008, the economy recorded real growth of more than 10% per year in the period 2010-13, before falling below 3% in the period 2014-17, due to poor harvests, low diamond revenues, and decreased investment. Lower mineral prices, infrastructure and regulatory deficiencies, a poor investment climate, a large public and external debt burden, and extremely high government wage expenses impede the countryâ€™s economic performance. |
| Economy - overview: | Until early 2009, the Reserve Bank of Zimbabwe (RBZ) routinely printed money to fund the budget deficit, causing hyperinflation. Adoption of a multi-currency basket in early 2009 - which allowed currencies such as the Botswana pula, the South Africa rand, and the US dollar to be used locally - reduced inflation below 10% per year. In January 2015, as part of the governmentâ€™s effort to boost trade and attract foreign investment, the RBZ announced that the Chinese renmimbi, Indian rupee, Australian dollar, and Japanese yen would be accepted as legal tender in Zimbabwe, though transactions were predominantly carried out in US dollars and South African rand until 2016, when the randâ€™s devaluation and instability led to near-exclusive use of the US dollar. The government in November 2016 began releasing bond notes, a parallel currency legal only in Zimbabwe which the government claims will have a one-to-one exchange ratio with the US dollar, to ease cash shortages. Bond notes began trading at a discount of up to 10% in the black market by the end of 2016. |
| Economy - overview: | Zimbabweâ€™s government entered a second Staff Monitored Program with the IMF in 2014 and undertook other measures to reengage with international financial institutions. Zimbabwe repaid roughly $108 million in arrears to the IMF in October 2016, but financial observers note that Zimbabwe is unlikely to gain new financing because the government has not disclosed how it plans to repay more than $1.7 billion in arrears to the World Bank and African Development Bank. International financial institutions want Zimbabwe to implement significant fiscal and structural reforms before granting new loans. Foreign and domestic investment continues to be hindered by the lack of land tenure and titling, the inability to repatriate dividends to investors overseas, and the lack of clarity regarding the governmentâ€™s Indigenization and Economic Empowerment Act. |
| GDP (purchasing power parity): | $34.27 billion (2017 est.) |
| GDP (purchasing power parity): | $33.04 billion (2016 est.) |
| GDP (purchasing power parity): | $32.82 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $17.64 billion (2017 est.) |
| GDP - real growth rate: | 3.7% (2017 est.) |
| GDP - real growth rate: | 0.7% (2016 est.) |
| GDP - real growth rate: | 1.4% (2015 est.) |
| GDP - per capita (PPP): | $2,300 (2017 est.) |
| GDP - per capita (PPP): | $2,300 (2016 est.) |
| GDP - per capita (PPP): | $2,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 23.3% of GDP (2017 est.) |
| Gross national saving: | 19.1% of GDP (2016 est.) |
| Gross national saving: | 8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 77.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 12.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 25.6% (2017 est.) |
