| Economy | ZIMBABWE |
| --- | --- |
| Economy - overview: | Zimbabwe's economy depends heavily on its mining and agriculture sectors. Following a decade of contraction from 1998 to 2008, the economy recorded real growth of more than 10% per year in the period 2010-13, before slowing to roughly 3% in 2014 due to poor harvests, low diamond revenues, and decreased investment. Lower mineral prices, infrastructure and regulatory deficiencies, a poor investment climate, a large public and external debt burden, and extremely high government wage expenses impede the country’s economic performance. |
| Economy - overview: | Until early 2009, the Reserve Bank of Zimbabwe (RBZ) routinely printed money to fund the budget deficit, causing hyperinflation. Dollarization in early 2009 - which allowed currencies such as the Botswana pula, the South Africa rand, and the US dollar to be used locally - ended hyperinflation and reduced inflation below 10% per year. The RBZ introduced bond coins denominated in 1, 5, 10, and 25 cent increments on a par with the US dollar in December 2014, more than five years after the Zimbabwe dollar was taken out of circulation. In January 2015, as part of the government’s effort to boost trade and attract foreign investment, the RBZ announced that the Chinese renmimbi, Indian rupee, Australian dollar, and Japanese yen would be accepted as legal tender in Zimbabwe. |
| Economy - overview: | Zimbabwe’s government entered a second Staff Monitored Program with the IMF in 2014 and undertook other measures to reengage with international financial institutions. Foreign and domestic investment continues to be hindered by the lack of clarity regarding the government’s Indigenization and Economic Empowerment Act. In 2015 the depreciation of the South African rand against the US dollar has led to deflation in Zimbabwe as prices for South African imports decline while the costs of domestic production in US dollars remains stable. |
| GDP (purchasing power parity): | $28.1 billion (2015 est.) |
| GDP (purchasing power parity): | $27.69 billion (2014 est.) |
| GDP (purchasing power parity): | $26.66 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $14.27 billion (2015 est.) |
| GDP - real growth rate: | 1.5% (2015 est.) |
| GDP - real growth rate: | 3.9% (2014 est.) |
| GDP - real growth rate: | 4.5% (2013 est.) |
| GDP - per capita (PPP): | $2,100 (2015 est.) |
| GDP - per capita (PPP): | $2,100 (2014 est.) |
| GDP - per capita (PPP): | $2,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | -0.4% of GDP (2015 est.) |
| Gross national saving: | 0.6% of GDP (2014 est.) |
| Gross national saving: | -3.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 84.2% |
| GDP - composition, by end use: | government consumption: 25.1% |
| GDP - composition, by end use: | investment in fixed capital: 13.2% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 26.2% |
| GDP - composition, by end use: | imports of goods and services: -48.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.2% |
| GDP - composition, by sector of origin: | industry: 28.5% |
| GDP - composition, by sector of origin: | services: 59% (2015 est.) |
| Agriculture - products: | tobacco, corn, cotton, wheat, coffee, sugarcane, peanuts; sheep, goats, pigs |
| Industries: | mining (coal, gold, platinum, copper, nickel, tin, diamonds, clay, numerous metallic and nonmetallic ores), steel; wood products, cement, chemicals, fertilizer, clothing and footwear, foodstuffs, beverages |
| Industrial production growth rate: | 0% (2015 est.) |
| Labor force: | 7.905 million (2015 est.) |
| Labor force - by occupation: | agriculture: 66% |
| Labor force - by occupation: | industry: 10% |
| Labor force - by occupation: | services: 24% (1996) |
| Unemployment rate: | 95% (2009 est.) |
| Unemployment rate: | 80% (2005 est.) |
| Unemployment rate: | note: figures include unemployment and underemployment; true unemployment is unknown and, under current economic conditions, unknowable |
| Population below poverty line: | 72.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 40.4% (1995) |
| Distribution of family income - Gini index: | 50.1 (2006) |
| Distribution of family income - Gini index: | 50.1 (1995) |
| Budget: | revenues: $3.5 billion |
| Budget: | expenditures: $3.8 billion (2015 est.) |
| Taxes and other revenues: | 24.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2015 est.) |
| Public debt: | 44.7% of GDP (2015 est.) |
| Public debt: | 41.2% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -2.4% (2015 est.) |
| Inflation rate (consumer prices): | -0.2% (2014 est.) |
| Central bank discount rate: | 7.17% (31 December 2010) |
| Central bank discount rate: | 975% (31 December 2007) |
| Commercial bank prime lending rate: | 18% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 22% (31 December 2014 est.) |
| Stock of narrow money: | $2.112 billion (31 December 2015 est.) |
