| Economy | ZIMBABWE |
| --- | --- |
| Economy - overview: | Zimbabwe's economy depends heavily on its mining and agriculture sectors. Following a decade of contraction from 1998 to 2008, the economy recorded real growth of more than 10% per year in the period 2010-13, before slowing to roughly 4% in 2014 due to poor harvests, low diamond revenues, and decreased investment. Growth turned negative in 2016. Lower mineral prices, infrastructure and regulatory deficiencies, a poor investment climate, a large public and external debt burden, and extremely high government wage expenses impede the country’s economic performance. |
| Economy - overview: | Until early 2009, the Reserve Bank of Zimbabwe (RBZ) routinely printed money to fund the budget deficit, causing hyperinflation. Adoption of a multi-currency basket in early 2009 - which allowed currencies such as the Botswana pula, the South Africa rand, and the US dollar to be used locally - reduced inflation below 10% per year. In January 2015, as part of the government’s effort to boost trade and attract foreign investment, the RBZ announced that the Chinese renmimbi, Indian rupee, Australian dollar, and Japanese yen would be accepted as legal tender in Zimbabwe, though transactions were predominantly carried out in US dollars and South African rand until 2016, when the rand’s devaluation and instability led to near-exclusive use of the US dollar. The government in November 2016 began releasing bond notes, a parallel currency legal only in Zimbabwe which the government claims will have a one-to-one exchange ratio with the US dollar, to ease cash shortages. Bond notes began trading at a discount of up to 10% in the black market by the end of 2016. |
| Economy - overview: | Zimbabwe’s government entered a second Staff Monitored Program with the IMF in 2014 and undertook other measures to reengage with international financial institutions. Zimbabwe repaid roughly $108 million in arrears to the IMF in October 2016, but financial observers note that Zimbabwe is unlikely to gain new financing because the government has not disclosed how it plans to repay more than $1.7 billion in arrears to the World Bank and African Development Bank. International financial institutions want Zimbabwe to implement significant fiscal and structural reforms before granting new loans. Foreign and domestic investment continues to be hindered by the lack of land tenure and titling, the inability to repatriate dividends to investors overseas, and the lack of clarity regarding the government’s Indigenization and Economic Empowerment Act. |
| GDP (purchasing power parity): | $32.38 billion (2016 est.) |
| GDP (purchasing power parity): | $31.77 billion (2015 est.) |
| GDP (purchasing power parity): | $30.98 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $16.12 billion (2016 est.) |
| GDP - real growth rate: | 0.7% (2016 est.) |
| GDP - real growth rate: | 1.4% (2015 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - per capita (PPP): | $2,200 (2016 est.) |
| GDP - per capita (PPP): | $2,300 (2015 est.) |
| GDP - per capita (PPP): | $2,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 15.5% of GDP (2016 est.) |
| Gross national saving: | 4.9% of GDP (2015 est.) |
| Gross national saving: | 3.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 83.8% |
| GDP - composition, by end use: | government consumption: 21.6% |
| GDP - composition, by end use: | investment in fixed capital: 13.5% |
| GDP - composition, by end use: | investment in inventories: 0% |
| GDP - composition, by end use: | exports of goods and services: 25.9% |
| GDP - composition, by end use: | imports of goods and services: -44.9% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.5% |
| GDP - composition, by sector of origin: | industry: 27% |
| GDP - composition, by sector of origin: | services: 60.6% (2016 est.) |
| Agriculture - products: | tobacco, corn, cotton, wheat, coffee, sugarcane, peanuts; sheep, goats, pigs |
| Industries: | mining (coal, gold, platinum, copper, nickel, tin, diamonds, clay, numerous metallic and nonmetallic ores), steel; wood products, cement, chemicals, fertilizer, clothing and footwear, foodstuffs, beverages |
| Industrial production growth rate: | -3% (2016 est.) |
| Labor force: | 7.701 million (2016 est.) |
| Labor force - by occupation: | agriculture: 66% |
| Labor force - by occupation: | industry: 10% |
| Labor force - by occupation: | services: 24% (1996) |
| Unemployment rate: | 95% (2009 est.) |
| Unemployment rate: | 80% (2005 est.) |
| Unemployment rate: | note: data include both unemployment and underemployment; true unemployment is unknown and, under current economic conditions, unknowable |
| Population below poverty line: | 72.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 40.4% (1995) |
| Distribution of family income - Gini index: | 50.1 (2006) |
| Distribution of family income - Gini index: | 50.1 (1995) |
| Budget: | revenues: $3.5 billion |
| Budget: | expenditures: $4.9 billion (2016 est.) |
| Taxes and other revenues: | 24.7% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -9.9% of GDP (2016 est.) |
| Public debt: | 69.9% of GDP (2016 est.) |
| Public debt: | 59.4% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -1.6% (2016 est.) |
| Inflation rate (consumer prices): | -2.8% (2015 est.) |
| Central bank discount rate: | 7.17% (31 December 2010) |
| Central bank discount rate: | 975% (31 December 2007) |
| Commercial bank prime lending rate: | 15% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 17% (31 December 2015 est.) |
| Stock of narrow money: | $2.274 billion (31 December 2016 est.) |
| Stock of narrow money: | $2.192 billion (31 December 2015 est.) |
| Stock of narrow money: | note: Zimbabwe's central bank no longer publishes data on monetary aggregates, except for bank deposits, which amounted to $2.1 billion in November 2010; the Zimbabwe dollar stopped circulating in early 2009; since then, the US dollar and South African rand have been the most frequently used currencies; there are no reliable estimates of the amount of foreign currency circulating in Zimbabwe |
