| Economy | Azerbaijan |
| --- | --- |
| Economy - overview: | Azerbaijan's high economic growth has been attributable to large and growing oil and gas exports, but some non-export sectors also featured double-digit growth, including construction, banking, and real estate. Oil exports through the Baku-Tbilisi-Ceyhan Pipeline, the Baku-Novorossiysk, and the Baku-Supsa pipelines remain the main economic driver, but efforts to boost Azerbaijan's gas production are underway. The eventual completion of the geopolitically important Southern Gas Corridor between Azerbaijan and Europe will open up another, albeit, smaller source of revenue from gas exports. Azerbaijan has made only limited progress on instituting market-based economic reforms. Pervasive public and private sector corruption and structural economic inefficiencies remain a drag on long-term growth, particularly in non-energy sectors. Several other obstacles impede Azerbaijan's economic progress, including the need for stepped up foreign investment in the non-energy sector and the continuing conflict with Armenia over the Nagorno-Karabakh region. Trade with Russia and the other former Soviet republics is declining in importance, while trade is building with Turkey and the nations of Europe. Long-term prospects depend on world oil prices, Azerbaijan's ability to negotiate export routes for its growing gas production, and its ability to use its energy wealth to promote growth and spur employment in non-energy sectors of the economy. |
| GDP (purchasing power parity): | $102.7 billion (2013 est.) |
| GDP (purchasing power parity): | $97.04 billion (2012 est.) |
| GDP (purchasing power parity): | $94.98 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $76.01 billion (2013 est.) |
| GDP - real growth rate: | 5.8% (2013 est.) |
| GDP - real growth rate: | 2.2% (2012 est.) |
| GDP - real growth rate: | 0.1% (2011 est.) |
| GDP - per capita (PPP): | $10,800 (2013 est.) |
| GDP - per capita (PPP): | $10,500 (2012 est.) |
| GDP - per capita (PPP): | $10,400 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 41% of GDP (2013 est.) |
| Gross national saving: | 44.4% of GDP (2012 est.) |
| Gross national saving: | 45.1% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 41.4% |
| GDP - composition, by end use: | government consumption: 10.5% |
| GDP - composition, by end use: | investment in fixed capital: 23.3% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
