| Economy | AZERBAIJAN |
| --- | --- |
| Economy - overview: | Azerbaijan's high economic growth has been attributable to large and growing oil and gas exports, but some non-export sectors also featured double-digit growth, including construction, banking, and real estate. Oil exports through the Baku-Tbilisi-Ceyhan Pipeline, the Baku-Novorossiysk, and the Baku-Supsa pipelines remain the main economic driver, but efforts to boost Azerbaijan's gas production are underway. The eventual completion of the geopolitically important Southern Gas Corridor between Azerbaijan and Europe will open up another, albeit, smaller source of revenue from gas exports. |
| Economy - overview: | Azerbaijan has made only limited progress on instituting market-based economic reforms. Pervasive public and private sector corruption and structural economic inefficiencies remain a drag on long-term growth, particularly in non-energy sectors. Several other obstacles impede Azerbaijan's economic progress, including the need for stepped up foreign investment in the non-energy sector and the continuing conflict with Armenia over the Nagorno-Karabakh region. Trade with Russia and the other former Soviet republics is declining in importance, while trade is building with Turkey and the nations of Europe. |
| Economy - overview: | Long-term prospects depend on world oil prices, Azerbaijan's ability to negotiate export routes for its growing gas production, and its ability to use its energy wealth to promote growth and spur employment in non-energy sectors of the economy. |
| GDP (purchasing power parity): | $169.4 billion (2015 est.) |
| GDP (purchasing power parity): | $167.6 billion (2014 est.) |
| GDP (purchasing power parity): | $163 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $54.05 billion (2015 est.) |
| GDP - real growth rate: | 1.1% (2015 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - real growth rate: | 5.8% (2013 est.) |
| GDP - per capita (PPP): | $18,000 (2015 est.) |
| GDP - per capita (PPP): | $17,900 (2014 est.) |
| GDP - per capita (PPP): | $17,600 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 28.3% of GDP (2015 est.) |
| Gross national saving: | 41.4% of GDP (2014 est.) |
| Gross national saving: | 43.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 55.8% |
| GDP - composition, by end use: | government consumption: 12.5% |
| GDP - composition, by end use: | investment in fixed capital: 28.6% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 37.8% |
| GDP - composition, by end use: | imports of goods and services: -34.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6% |
| GDP - composition, by sector of origin: | industry: 59.1% |
| GDP - composition, by sector of origin: | services: 34.9% (2015 est.) |
| Agriculture - products: | fruit, vegetables, grain, rice, grapes, tea, cotton, tobacco; cattle, pigs, sheep, goats |
| Industries: | petroleum and petroleum products, natural gas, oilfield equipment; steel, iron ore; cement; chemicals and petrochemicals; textiles |
| Industrial production growth rate: | 2.4% (2015 est.) |
| Labor force: | 4.899 million (2015 est.) |
| Labor force - by occupation: | agriculture: 38.3% |
| Labor force - by occupation: | industry: 12.1% |
| Labor force - by occupation: | services: 49.6% (2008) |
| Unemployment rate: | 5.3% (2015 est.) |
| Unemployment rate: | 5.4% (2014 est.) |
| Population below poverty line: | 6% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 27.4% (2008) |
| Distribution of family income - Gini index: | 33.7 (2008) |
| Distribution of family income - Gini index: | 36.5 (2001) |
| Budget: | revenues: $16.74 billion |
| Budget: | expenditures: $17.36 billion (2015 est.) |
| Taxes and other revenues: | 31% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.1% of GDP (2015 est.) |
| Public debt: | 20.1% of GDP (2015 est.) |
| Public debt: | 11.6% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.1% (2015 est.) |
| Inflation rate (consumer prices): | 1.5% (2014 est.) |
| Central bank discount rate: | 5% (31 December 2012) |
| Central bank discount rate: | 5.25% (31 December 2011) |
| Central bank discount rate: | note: this is the Refinancing Rate, the key policy rate for the National Bank of Azerbaijan |
| Commercial bank prime lending rate: | 13.86% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 14.19% (31 December 2014 est.) |
| Stock of narrow money: | $5.612 billion (31 December 2015 est.) |
| Stock of narrow money: | $16.36 billion (31 December 2014 est.) |
| Stock of broad money: | $24.18 billion (31 December 2014 est.) |
| Stock of broad money: | $20.95 billion (31 December 2013 est.) |
| Stock of domestic credit: | $15.63 billion (31 December 2015 est.) |
| Stock of domestic credit: | $25.38 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $125 million (2015 est.) |
| Current account balance: | $10.43 billion (2014 est.) |
| Exports: | $15.59 billion (2015 est.) |
| Exports: | $28.26 billion (2014 est.) |
| Exports - commodities: | oil and gas 90%, machinery, foodstuffs, cotton |
| Exports - partners: | Italy 26.3%, Germany 13.3%, Indonesia 7%, France 6.9%, Czech Republic 6% (2015) |
| Imports: | $9.774 billion (2015 est.) |
| Imports: | $9.332 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, metals, chemicals |
| Imports - partners: | Russia 19.9%, Turkey 16.5%, UK 8.6%, Germany 6.6%, Italy 6.3%, US 4.1% (2015) |
| Reserves of foreign exchange and gold: | $7.91 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $15.55 billion (31 December 2014 est.) |
| Debt - external: | $12.28 billion (31 December 2015 est.) |
| Debt - external: | $11.69 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $66.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $59.02 billion (31 December 2014 est.) |
