| Economy | Germany |
| --- | --- |
| Economy - overview: | The German economy - the fifth largest economy in the world in PPP terms and Europe's largest - is a leading exporter of machinery, vehicles, chemicals, and household equipment. Germany benefits from a highly skilled labor force, but, like its Western European neighbors, faces significant demographic challenges to sustained long-term growth. Low fertility rates and a large increase in net immigration are increasing pressure on the country's social welfare system and necessitate structural reforms. |
| Economy - overview: | Reforms launched by the government of Chancellor Gerhard SCHROEDER (1998-2005), deemed necessary to address chronically high unemployment and low average growth, contributed to strong economic growth and falling unemployment. These advances, as well as a government subsidized, reduced working hour scheme, help explain the relatively modest increase in unemployment during the 2008-09 recession - the deepest since World War II. The German Government introduced a minimum wage in 2015 that increased to $9.79 (8.84 euros) in January 2017. |
| Economy - overview: | Stimulus and stabilization efforts initiated in 2008 and 2009 and tax cuts introduced in Chancellor Angela MERKEL's second term increased Germany's total budget deficit - including federal, state, and municipal - to 4.1% in 2010, but slower spending and higher tax revenues reduced the deficit to 0.8% in 2011 and in 2017 Germany reached a budget surplus of 0.7%. A constitutional amendment approved in 2009 limits the federal government to structural deficits of no more than 0.35% of GDP per annum as of 2016, though the target was already reached in 2012. |
| Economy - overview: | Following the March 2011 Fukushima nuclear disaster, Chancellor Angela MERKEL announced in May 2011 that eight of the country's 17 nuclear reactors would be shut down immediately and the remaining plants would close by 2022. Germany plans to replace nuclear power largely with renewable energy, which accounted for 29.5% of gross electricity consumption in 2016, up from 9% in 2000. Before the shutdown of the eight reactors, Germany relied on nuclear power for 23% of its electricity generating capacity and 46% of its base-load electricity production. |
| Economy - overview: | The German economy suffers from low levels of investment, and a government plan to invest 15 billion euros during 2016-18, largely in infrastructure, is intended to spur needed private investment. Domestic consumption, investment, and exports are likely to drive German GDP growth in 2018, and the countryâ€™s budget and trade surpluses are likely to remain high. |
| GDP (purchasing power parity): | $4.199 trillion (2017 est.) |
| GDP (purchasing power parity): | $4.099 trillion (2016 est.) |
| GDP (purchasing power parity): | $4.012 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $3.701 trillion (2017 est.) |
| GDP - real growth rate: | 2.5% (2017 est.) |
| GDP - real growth rate: | 2.2% (2016 est.) |
| GDP - real growth rate: | 1.5% (2015 est.) |
| GDP - per capita (PPP): | $50,800 (2017 est.) |
| GDP - per capita (PPP): | $49,800 (2016 est.) |
| GDP - per capita (PPP): | $49,100 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 28% of GDP (2017 est.) |
| Gross national saving: | 28.2% of GDP (2016 est.) |
| Gross national saving: | 28.1% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 53.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.5% (2017 est.) |
