| Economy | Germany |
| --- | --- |
| Economy - overview: | The German economy - the fifth largest economy in the world in PPP terms and Europe's largest - is a leading exporter of machinery, vehicles, chemicals, and household equipment and benefits from a highly skilled labor force. Like its Western European neighbors, Germany faces significant demographic challenges to sustained long-term growth. Low fertility rates and declining net immigration are increasing pressure on the country's social welfare system and necessitate structural reforms. Reforms launched by the government of Chancellor Gerhard SCHROEDER (1998-2005), deemed necessary to address chronically high unemployment and low average growth, contributed to strong growth in 2006 and 2007 and falling unemployment. These advances, as well as a government subsidized, reduced working hour scheme, help explain the relatively modest increase in unemployment during the 2008-09 recession - the deepest since World War II - and its decrease to 6.5% in 2012. GDP contracted 5.1% in 2009 but grew by 4.2% in 2010, and 3.0% in 2011, before dipping to 0.7% in 2012 - a reflection of low investment spending due to crisis-induced uncertainty and the decreased demand for German exports from recession-stricken periphery countries. Stimulus and stabilization efforts initiated in 2008 and 2009 and tax cuts introduced in Chancellor Angela MERKEL's second term increased Germany's total budget deficit - including federal, state, and municipal - to 4.1% in 2010, but slower spending and higher tax revenues reduced the deficit to 0.8% in 2011. In 2012 Germany reached a budget surplus of 0.1%. A constitutional amendment approved in 2009 limits the federal government to structural deficits of no more than 0.35% of GDP per annum as of 2016 though the target was already reached in 2012. By 2014, the federal government wants to balance its budget. Following the March 2011 Fukushima nuclear disaster, Chancellor Angela Merkel announced in May 2011 that eight of the country's 17 nuclear reactors would be shut down immediately and the remaining plants would close by 2022. Germany hopes to replace nuclear power with renewable energy. Before the shutdown of the eight reactors, Germany relied on nuclear power for 23% of its electricity generating capacity and 46% of its base-load electricity production. |
| GDP (purchasing power parity): | $3.167 trillion (2012 est.) |
| GDP (purchasing power parity): | $3.139 trillion (2011 est.) |
| GDP (purchasing power parity): | $3.036 trillion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $3.383 trillion (2012 est.) |
| GDP - real growth rate: | 0.9% (2012 est.) |
| GDP - real growth rate: | 3.4% (2011 est.) |
| GDP - real growth rate: | 3.9% (2010 est.) |
| GDP - per capita (PPP): | $38,700 (2012 est.) |
| GDP - per capita (PPP): | $38,400 (2011 est.) |
| GDP - per capita (PPP): | $37,100 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 24.3% of GDP (2012 est.) |
| Gross national saving: | 24.4% of GDP (2011 est.) |
| Gross national saving: | 23.6% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 57.4% |
| GDP - composition, by end use: | government consumption: 19.3% |
| GDP - composition, by end use: | investment in fixed capital: 17.7% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 51.9% |
| GDP - composition, by end use: | imports of goods and services: -45.9% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.8% |
| GDP - composition, by sector of origin: | industry: 30.5% |
| GDP - composition, by sector of origin: | services: 68.6% |
| GDP - composition, by sector of origin: | (2012 est.) |
| Agriculture - products: | potatoes, wheat, barley, sugar beets, fruit, cabbages; cattle, pigs, poultry |
| Industries: | among the world's largest and most technologically advanced producers of iron, steel, coal, cement, chemicals, machinery, vehicles, machine tools, electronics, food and beverages, shipbuilding, textiles |
| Industrial production growth rate: | -0.2% (2012 est.) |
| Labor force: | 43.92 million (2012 est.) |
| Labor force - by occupation: | agriculture: 1.6% |
| Labor force - by occupation: | industry: 24.6% |
| Labor force - by occupation: | services: 73.8% |
| Labor force - by occupation: | (2011) |
| Unemployment rate: | 5.5% (2012 est.) |
| Unemployment rate: | 6% (2011 est.) |
| Population below poverty line: | 15.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 24% (2000) |
| Distribution of family income - Gini index: | 27 (2006) |
| Distribution of family income - Gini index: | 30 (1994) |
| Budget: | revenues: $1.535 trillion |
| Budget: | expenditures: $1.532 trillion (2012 est.) |
| Taxes and other revenues: | 45.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 0.1% of GDP (2012 est.) |
| Public debt: | 81% of GDP (2012 est.) |
| Public debt: | 80.1% of GDP (2011 est.) |
| Public debt: | note: general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the sub-sectors of central government, state government, local government and social security funds; the series are presented as a percentage of GDP and in millions of euro; GDP used as a denominator is the gross domestic product at current market prices; data expressed in national currency are converted into euro using end-of-year exchange rates provided by the European Central Bank |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.1% (2012 est.) |
