| Economy | Thailand |
| --- | --- |
| Economy - overview: | With a well-developed infrastructure, a free-enterprise economy, generally pro-investment policies, and strong export industries, Thailand achieved steady growth due largely to industrial and agriculture exports - mostly electronics, agricultural commodities, automobiles and parts, and processed foods. Thailand is trying to maintain growth by encouraging domestic consumption and public investment to offset weak exports in 2012. Unemployment, at less than 1% of the labor force, stands as one of the lowest levels in the world, which puts upward pressure on wages in some industries. Thailand also attracts nearly 2.5 million migrant workers from neighboring countries. The Thai government is implementing a nation-wide 300 baht ($10) per day minimum wage policy and deploying new tax reforms designed to lower rates on middle-income earners. The Thai economy has weathered internal and external economic shocks in recent years. The global economic crisis severely cut Thailand's exports, with most sectors experiencing double-digit drops. In 2009, the economy contracted 2.3%. However, in 2010, Thailand's economy expanded 7.8%, its fastest pace since 1995, as exports rebounded. In late 2011 growth was interrupted by historic flooding in the industrial areas in Bangkok and its five surrounding provinces, crippling the manufacturing sector. Industry recovered from the second quarter of 2012 onward with GDP growth at 5.5% in 2012. The government has approved flood mitigation projects worth $11.7 billion, which were started in 2012, to prevent similar economic damage, and an additional $75 billion for infrastructure over the next seven years with a plan to start in 2013. |
| GDP (purchasing power parity): | $645.2 billion (2012 est.) |
| GDP (purchasing power parity): | $605.9 billion (2011 est.) |
| GDP (purchasing power parity): | $605.4 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $361 billion (2012 est.) |
| GDP - real growth rate: | 6.5% (2012 est.) |
| GDP - real growth rate: | 0.1% (2011 est.) |
| GDP - real growth rate: | 7.8% (2010 est.) |
| GDP - per capita (PPP): | $9,500 (2012 est.) |
| GDP - per capita (PPP): | $9,000 (2011 est.) |
| GDP - per capita (PPP): | $9,000 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 30.5% of GDP (2012 est.) |
| Gross national saving: | 28.3% of GDP (2011 est.) |
| Gross national saving: | 29.1% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 55.3% |
| GDP - composition, by end use: | government consumption: 13.6% |
| GDP - composition, by end use: | investment in fixed capital: 28.5% |
| GDP - composition, by end use: | investment in inventories: 1.2% |
| GDP - composition, by end use: | exports of goods and services: 75% |
| GDP - composition, by end use: | imports of goods and services: -73.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 12.3% |
| GDP - composition, by sector of origin: | industry: 43.6% |
| GDP - composition, by sector of origin: | services: 44.2% (2012 est.) |
| Agriculture - products: | rice, cassava (manioc), rubber, corn, sugarcane, coconuts, soybeans |
| Industries: | tourism, textiles and garments, agricultural processing, beverages, tobacco, cement, light manufacturing such as jewelry and electric appliances, computers and parts, integrated circuits, furniture, plastics, automobiles and automotive parts; world's second-largest tungsten producer and third-largest tin producer |
| Industrial production growth rate: | 7.2% (2012 est.) |
| Labor force: | 39.41 million (2012 est.) |
| Labor force - by occupation: | agriculture: 38.2% |
| Labor force - by occupation: | industry: 13.6% |
| Labor force - by occupation: | services: 48.2% (2011 est.) |
| Unemployment rate: | 0.7% (2012 est.) |
| Unemployment rate: | 0.7% (2011 est.) |
| Population below poverty line: | 7.8% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 31.5% (2009 est.) |
| Distribution of family income - Gini index: | 53.6 (2009) |
| Distribution of family income - Gini index: | 42 (2002) |
| Budget: | revenues: $72.08 billion |
| Budget: | expenditures: $88.08 billion (2012 est.) |
| Taxes and other revenues: | 20% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2012 est.) |
| Public debt: | 45.7% of GDP (2012 est.) |
| Public debt: | 40.3% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 3% (2012 est.) |
| Inflation rate (consumer prices): | 3.8% (2011 est.) |
| Central bank discount rate: | 2.75% (31 December 2012 est.) |
| Central bank discount rate: | 3.25% (31 December 2011 est.) |
| Commercial bank prime lending rate: | 7.1% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 6.91% (31 December 2011 est.) |
| Stock of narrow money: | $52.18 billion (31 December 2012 est.) |
| Stock of narrow money: | $44.63 billion (31 December 2011 est.) |
| Stock of broad money: | $488.7 billion (31 December 2012 est.) |
| Stock of broad money: | $429.8 billion (31 December 2011 est.) |
| Stock of domestic credit: | $480.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $403.3 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $245 billion (31 December 2012) |
| Market value of publicly traded shares: | $230.9 billion (31 December 2011) |
| Market value of publicly traded shares: | $218.7 billion (31 December 2010) |
| Current account balance: | $2.759 billion (2012 est.) |
| Current account balance: | $5.918 billion (2011 est.) |
| Exports: | $226.1 billion (2012 est.) |
| Exports: | $219.1 billion (2011 est.) |
