| Economy | THAILAND |
| --- | --- |
| Economy - overview: | With a well-developed infrastructure, a free-enterprise economy, and generally pro-investment policies, Thailand historically has had a strong economy, but it experienced slow growth in 2013-15 as a result of domestic political turmoil and sluggish global demand, which curbed Thailand’s traditionally strong exports - mostly electronics, agricultural commodities, automobiles and parts, and processed foods. Following the May 2014 coup d'etat, tourism decreased 6-7% but is beginning to recover. The Thai baht depreciated more than 8% during 2015. |
| Economy - overview: | Thailand faces labor shortages, and has attracted an estimated 2-4 million migrant workers from neighboring countries. The Thai Government in 2013 implemented a nationwide 300 baht (roughly $10) per day minimum wage policy and deployed new tax reforms designed to lower rates on middle-income earners. The household debt to GDP ratio is over 80%. |
| GDP (purchasing power parity): | $1.108 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.078 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.069 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $395.3 billion (2015 est.) |
| GDP - real growth rate: | 2.8% (2015 est.) |
| GDP - real growth rate: | 0.8% (2014 est.) |
| GDP - real growth rate: | 2.7% (2013 est.) |
| GDP - per capita (PPP): | $16,100 (2015 est.) |
| GDP - per capita (PPP): | $15,700 (2014 est.) |
| GDP - per capita (PPP): | $15,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 32.1% of GDP (2015 est.) |
| Gross national saving: | 27.9% of GDP (2014 est.) |
| Gross national saving: | 26.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 51.5% |
| GDP - composition, by end use: | government consumption: 17.2% |
| GDP - composition, by end use: | investment in fixed capital: 24.9% |
| GDP - composition, by end use: | investment in inventories: -5% |
| GDP - composition, by end use: | exports of goods and services: 69% |
| GDP - composition, by end use: | imports of goods and services: -57.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.1% |
| GDP - composition, by sector of origin: | industry: 35.7% |
| GDP - composition, by sector of origin: | services: 55.1% (2015 est.) |
| Agriculture - products: | rice, cassava (manioc, tapioca), rubber, corn, sugarcane, coconuts, palm oil, pineapple, livestock, fish products |
