| Economy | THAILAND |
| --- | --- |
| Economy - overview: | With a well-developed infrastructure, a free-enterprise economy, and generally pro-investment policies Thailand has historically had a strong economy due in part to competitive industrial and agriculture exports - mostly electronics, agricultural commodities, automobiles and parts, and processed foods. The economy experienced slow growth and declining exports in 2014, in part due to domestic political turmoil and sluggish global demand. With full employment, Thailand attracts an estimated 2-4 million migrant workers from neighboring countries, and faces labor shortages. Following the May 2014 coup d&rsquo;tat, tourism decreased 6-7% but is beginning to recover. The household debt to GDP ratio is over 80%. The Thai government in 2013 implemented a nation-wide 300 baht ($10) per day minimum wage policy and deployed new tax reforms designed to lower rates on middle-income earners. The Thai baht has remained stable. |
| GDP (purchasing power parity): | $985.5 billion (2014 est.) |
| GDP (purchasing power parity): | $978.6 billion (2013 est.) |
| GDP (purchasing power parity): | $951.1 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $373.8 billion (2014 est.) |
| GDP - real growth rate: | 0.7% (2014 est.) |
| GDP - real growth rate: | 2.9% (2013 est.) |
| GDP - real growth rate: | 6.5% (2012 est.) |
| GDP - per capita (PPP): | $14,400 (2014 est.) |
| GDP - per capita (PPP): | $14,300 (2013 est.) |
| GDP - per capita (PPP): | $13,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 29.4% of GDP (2014 est.) |
| Gross national saving: | 28.6% of GDP (2013 est.) |
| Gross national saving: | 29.3% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 54.7% |
| GDP - composition, by end use: | government consumption: 14.2% |
| GDP - composition, by end use: | investment in fixed capital: 25.9% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 75% |
| GDP - composition, by end use: | imports of goods and services: -69.5% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 11.6% |
| GDP - composition, by sector of origin: | industry: 32.6% |
| GDP - composition, by sector of origin: | services: 55.8% (2014 est.) |
| Agriculture - products: | rice, cassava (manioc, tapioca), rubber, corn, sugarcane, coconuts, palm oil, pineapple, livestock, fish products |
| Industries: | tourism, textiles and garments, agricultural processing, beverages, tobacco, cement, light manufacturing such as jewelry and electric appliances, computers and parts, integrated circuits, furniture, plastics, automobiles and automotive parts, agricultural machinery, air conditioning and refrigeration, ceramics, aluminum, chemical, environmental management, glass, granite and marble, leather, machinery and metal work, petrochemical, petroleum refining, pharmaceuticals, printing, pulp and paper, rubber, sugar, rice, fishing, casava, world's second-largest tungsten producer and third-largest tin producer |
| Industrial production growth rate: | -1.1% (2014 est.) |
| Labor force: | 38.26 million (2014 est.) |
| Labor force - by occupation: | agriculture: 32.2% |
| Labor force - by occupation: | industry: 16.7% |
| Labor force - by occupation: | services: 51.1% (2014 est.) |
| Unemployment rate: | 0.8% (2014 est.) |
| Unemployment rate: | 0.7% (2013 est.) |
| Population below poverty line: | 12.6% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 31.5% (2009 est.) |
| Distribution of family income - Gini index: | 48.4 (2011) |
| Distribution of family income - Gini index: | 49 (2009) |
| Budget: | revenues: $76.43 billion |
| Budget: | expenditures: $84.75 billion (2014 est.) |
