| Economy | VENEZUELA |
| --- | --- |
| Economy - overview: | Venezuela remains highly dependent on oil revenues, which account for almost all export earnings and nearly half of the government’s revenue. In 2016, GDP contracted 10%, inflation hit 720%, people faced widespread shortages of consumer goods, and central bank international reserves dwindled. On the other hand, Venezuela managed to pay down its external debt and narrow its current account deficit. Domestic production and industry continues to severely underperform and the Venezuelan government continues to rely on imports to meet its basic food and consumer goods needs. |
| Economy - overview: | Falling oil prices since 2014 have aggravated Venezuela’s economic crisis. Insufficient access to dollars, price controls, and rigid labor regulations have led some US and multinational firms to reduce or shut down their Venezuelan operations. Market uncertainty and state oil company PDVSA’s poor cash flow have slowed investment in the petroleum sector, resulting in a decline in oil production. |
| Economy - overview: | Under President Nicolas MADURO, the Venezuelan Government’s response to the economic crisis has been to increase state control over the economy and blame the private sector for the shortages. MADURO has ceded increasing authority for the production and distribution of scarce goods to the military and to local socialist party member committees. The Venezuelan Government has maintained strict currency controls since 2003. On 17 February 2016, the Venezuelan Government announced a change from three official currency exchange mechanisms to only two official rates for the sale of dollars to private-sector firms and individuals, with rates based on the government's import priorities. The official exchange rate used for food and medicine imports was devalued to 10 bolivars per dollar from 6.3 bolivars per dollar. The second rate moved to a managed float. These currency controls present significant obstacles to trade with Venezuela because importers cannot obtain sufficient dollars to purchase goods needed to maintain their operations. Meting out access to the multiple exchange rates has created opportunities for arbitrage and corruption. MADURO has used decree powers to enact legislation to deepen the state’s role as the primary buyer and distributor of imports, further tighten currency controls, cap business profits, and extend price controls. |
| GDP (purchasing power parity): | $434.9 billion (2016 est.) |
| GDP (purchasing power parity): | $514 billion (2015 est.) |
| GDP (purchasing power parity): | $542.2 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $236.4 billion (2016 est.) |
| GDP - real growth rate: | -16.5% (2016 est.) |
| GDP - real growth rate: | -6.2% (2015 est.) |
| GDP - real growth rate: | -3.9% (2014 est.) |
| GDP - per capita (PPP): | $14,000 (2016 est.) |
| GDP - per capita (PPP): | $17,000 (2015 est.) |
| GDP - per capita (PPP): | $18,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 7.6% of GDP (2016 est.) |
| Gross national saving: | 31.8% of GDP (2015 est.) |
| Gross national saving: | 9.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 71.9% |
| GDP - composition, by end use: | government consumption: 16.2% |
| GDP - composition, by end use: | investment in fixed capital: 17.3% |
| GDP - composition, by end use: | investment in inventories: 1.9% |
| GDP - composition, by end use: | exports of goods and services: 6.1% |
| GDP - composition, by end use: | imports of goods and services: -13.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 4% |
| GDP - composition, by sector of origin: | industry: 35.5% |
| GDP - composition, by sector of origin: | services: 60.6% (2016 est.) |
| Agriculture - products: | corn, sorghum, sugarcane, rice, bananas, vegetables, coffee; beef, pork, milk, eggs; fish |
| Industries: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, pharmaceuticals, chemicals, iron and steel products, crude oil and petroleum products |
| Industrial production growth rate: | -8% (2016 est.) |
| Labor force: | 14.16 million (2016 est.) |
| Labor force - by occupation: | agriculture: 7.3% |
| Labor force - by occupation: | industry: 21.8% |
| Labor force - by occupation: | services: 70.9% (4th quarter, 2011) |
| Unemployment rate: | 20.6% (2016 est.) |
| Unemployment rate: | 6.8% (2015 est.) |
| Population below poverty line: | 19.7% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 32.7% (2006) |
| Distribution of family income - Gini index: | 39 (2011) |
| Distribution of family income - Gini index: | 49.5 (1998) |
| Budget: | revenues: $98.81 billion |
| Budget: | expenditures: $236.6 billion (2016 est.) |
| Taxes and other revenues: | 34.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -48% of GDP (2016 est.) |
| Public debt: | 39.3% of GDP (2016 est.) |
| Public debt: | 50.6% of GDP (2015 est.) |
| Public debt: | note: data cover central government debt, as well as the debt of state-owned oil company PDVSA; the data include treasury debt held by foreign entities; the data include some debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; some debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 254.4% (2016 est.) |
| Inflation rate (consumer prices): | 121.7% (2015 est.) |
| Central bank discount rate: | 29.5% (2015) |
| Commercial bank prime lending rate: | 20.78% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 19.4% (31 December 2015 est.) |
| Stock of narrow money: | $163.3 billion (31 December 2016 est.) |
| Stock of narrow money: | $273.3 billion (31 December 2015 est.) |
| Stock of broad money: | $165.4 billion (31 December 2016 est.) |
| Stock of broad money: | $279.1 billion (31 December 2015 est.) |
| Stock of domestic credit: | $339.6 billion (31 December 2016 est.) |
| Stock of domestic credit: | $339 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $25.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.143 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.991 billion (31 December 2011 est.) |
| Current account balance: | $-3.87 billion (2016 est.) |
| Current account balance: | $-20.36 billion (2015 est.) |
| Exports: | $27.2 billion (2016 est.) |
| Exports: | $37.23 billion (2015 est.) |
| Exports - commodities: | petroleum and petroleum products, bauxite and aluminum, minerals, chemicals, agricultural products |
| Exports - partners: | US 35.1%, India 17.2%, China 14.1%, Netherlands Antilles 8%, Singapore 5.3%, Cuba 4.1% (2016) |
| Imports: | $20.19 billion (2016 est.) |
| Imports: | $36.46 billion (2015 est.) |
| Imports - commodities: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, petroleum products, pharmaceuticals, chemicals, iron and steel products |
| Imports - partners: | US 22.1%, China 14.3%, Brazil 7.4%, Colombia 4.2% (2016) |
| Reserves of foreign exchange and gold: | $10.99 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $16.37 billion (31 December 2015 est.) |
| Debt - external: | $109.8 billion (31 December 2016 est.) |
| Debt - external: | $123.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $33.78 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $32.18 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $31.12 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $30.04 billion (31 December 2015 est.) |
